Timestamp: 11/2/2024 10:20:45 PM, Millisecond: 856,current eyeGaze_left: Position (0.03428677, 0.9930242, 0.3000622), Orientation(0.2048091, -0.01510114, -0.06540525, 0.9764975), Confidence: 0.5

Timestamp: 11/2/2024 10:20:45 PM, Millisecond: 869,current eyeGaze_left: Position (0.0343902, 0.9930223, 0.3001014), Orientation(0.2055068, -0.01406402, -0.06522981, 0.9763781), Confidence: 0.5

Timestamp: 11/2/2024 10:20:45 PM, Millisecond: 883,current eyeGaze_left: Position (0.0343902, 0.9930223, 0.3001014), Orientation(0.2055068, -0.01406402, -0.06522981, 0.9763781), Confidence: 0.5

Timestamp: 11/2/2024 10:20:45 PM, Millisecond: 911,current eyeGaze_left: Position (0.03436854, 0.9930483, 0.3001266), Orientation(0.2084217, -0.01532832, -0.06545377, 0.9757261), Confidence: 0.5

Timestamp: 11/2/2024 10:20:45 PM, Millisecond: 923,current eyeGaze_left: Position (0.03436854, 0.9930483, 0.3001266), Orientation(0.2084217, -0.01532832, -0.06545377, 0.9757261), Confidence: 0.5

Timestamp: 11/2/2024 10:20:45 PM, Millisecond: 938,current eyeGaze_left: Position (0.03429395, 0.9930639, 0.3001299), Orientation(0.2055855, -0.01552585, -0.06534838, 0.9763314), Confidence: 0.5

Timestamp: 11/2/2024 10:20:45 PM, Millisecond: 952,current eyeGaze_left: Position (0.03429395, 0.9930639, 0.3001299), Orientation(0.2055855, -0.01552585, -0.06534838, 0.9763314), Confidence: 0.5

Timestamp: 11/2/2024 10:20:45 PM, Millisecond: 965,current eyeGaze_left: Position (0.03416628, 0.9930735, 0.3001007), Orientation(0.2078778, -0.01553985, -0.06527179, 0.9758509), Confidence: 0.5

Timestamp: 11/2/2024 10:20:45 PM, Millisecond: 979,current eyeGaze_left: Position (0.03416628, 0.9930735, 0.3001007), Orientation(0.2078778, -0.01553985, -0.06527179, 0.9758509), Confidence: 0.5

Timestamp: 11/2/2024 10:20:45 PM, Millisecond: 994,current eyeGaze_left: Position (0.03414824, 0.9931368, 0.3001032), Orientation(0.2071503, -0.01369342, -0.0647933, 0.9760652), Confidence: 0.5

Timestamp: 11/2/2024 10:20:46 PM, Millisecond: 7,current eyeGaze_left: Position (0.03414824, 0.9931368, 0.3001032), Orientation(0.2071503, -0.01369342, -0.0647933, 0.9760652), Confidence: 0.5

Timestamp: 11/2/2024 10:20:46 PM, Millisecond: 21,current eyeGaze_left: Position (0.03414824, 0.9931368, 0.3001032), Orientation(0.2071503, -0.01369342, -0.0647933, 0.9760652), Confidence: 0.5

Timestamp: 11/2/2024 10:20:46 PM, Millisecond: 35,current eyeGaze_left: Position (0.03417631, 0.9932133, 0.300111), Orientation(0.2074962, -0.01355952, -0.06464198, 0.9760036), Confidence: 0.5

Timestamp: 11/2/2024 10:20:46 PM, Millisecond: 50,current eyeGaze_left: Position (0.03417631, 0.9932133, 0.300111), Orientation(0.2074962, -0.01355952, -0.06464198, 0.9760036), Confidence: 0.5

Timestamp: 11/2/2024 10:20:46 PM, Millisecond: 63,current eyeGaze_left: Position (0.03423447, 0.9932353, 0.3001387), Orientation(0.2074479, -0.01206013, -0.06440048, 0.9760494), Confidence: 0.5

Timestamp: 11/2/2024 10:20:46 PM, Millisecond: 77,current eyeGaze_left: Position (0.03423447, 0.9932353, 0.3001387), Orientation(0.2074479, -0.01206013, -0.06440048, 0.9760494), Confidence: 0.5

Timestamp: 11/2/2024 10:20:46 PM, Millisecond: 92,current eyeGaze_left: Position (0.03425986, 0.9932463, 0.3001403), Orientation(0.2073081, -0.01190958, -0.0643849, 0.976082), Confidence: 0.5

Timestamp: 11/2/2024 10:20:46 PM, Millisecond: 105,current eyeGaze_left: Position (0.03425986, 0.9932463, 0.3001403), Orientation(0.2073081, -0.01190958, -0.0643849, 0.976082), Confidence: 0.5

