Timestamp: 11/24/2024 7:27:58 PM, Millisecond: 968,current eyeGaze_left: Position (-0.0742534, 1.080167, 0.1239562), Orientation(0.08681374, 0.006633446, -0.02668452, 0.995845), Confidence: 0.5

Timestamp: 11/24/2024 7:27:58 PM, Millisecond: 982,current eyeGaze_left: Position (-0.07431559, 1.080116, 0.1240409), Orientation(0.08675991, 0.006808571, -0.02655488, 0.9958521), Confidence: 0.5

Timestamp: 11/24/2024 7:27:58 PM, Millisecond: 996,current eyeGaze_left: Position (-0.07431559, 1.080116, 0.1240409), Orientation(0.08675991, 0.006808571, -0.02655488, 0.9958521), Confidence: 0.5

Timestamp: 11/24/2024 7:27:59 PM, Millisecond: 10,current eyeGaze_left: Position (-0.07446565, 1.080103, 0.124081), Orientation(0.08608248, 0.006966948, -0.02629005, 0.9959168), Confidence: 0.5

Timestamp: 11/24/2024 7:27:59 PM, Millisecond: 23,current eyeGaze_left: Position (-0.07446565, 1.080103, 0.124081), Orientation(0.08608248, 0.006966948, -0.02629005, 0.9959168), Confidence: 0.5

Timestamp: 11/24/2024 7:27:59 PM, Millisecond: 38,current eyeGaze_left: Position (-0.07451296, 1.080148, 0.1241591), Orientation(0.08459636, 0.007134182, -0.02609307, 0.9960481), Confidence: 0.5

Timestamp: 11/24/2024 7:27:59 PM, Millisecond: 52,current eyeGaze_left: Position (-0.07451296, 1.080148, 0.1241591), Orientation(0.08459636, 0.007134182, -0.02609307, 0.9960481), Confidence: 0.5

Timestamp: 11/24/2024 7:27:59 PM, Millisecond: 66,current eyeGaze_left: Position (-0.07451296, 1.080148, 0.1241591), Orientation(0.08459636, 0.007134182, -0.02609307, 0.9960481), Confidence: 0.5

Timestamp: 11/24/2024 7:27:59 PM, Millisecond: 81,current eyeGaze_left: Position (-0.07454671, 1.080249, 0.1242288), Orientation(0.08662871, 0.007438574, -0.025783, 0.9958792), Confidence: 0.5

Timestamp: 11/24/2024 7:27:59 PM, Millisecond: 93,current eyeGaze_left: Position (-0.07454671, 1.080249, 0.1242288), Orientation(0.08662871, 0.007438574, -0.025783, 0.9958792), Confidence: 0.5

Timestamp: 11/24/2024 7:27:59 PM, Millisecond: 107,current eyeGaze_left: Position (-0.0745925, 1.080363, 0.1243094), Orientation(0.08526564, 0.006822225, -0.02562934, 0.9960052), Confidence: 0.5

Timestamp: 11/24/2024 7:27:59 PM, Millisecond: 121,current eyeGaze_left: Position (-0.0745925, 1.080363, 0.1243094), Orientation(0.08526564, 0.006822225, -0.02562934, 0.9960052), Confidence: 0.5

Timestamp: 11/24/2024 7:27:59 PM, Millisecond: 135,current eyeGaze_left: Position (-0.07461546, 1.080418, 0.1243749), Orientation(0.08781211, 0.006149123, -0.02559097, 0.9957894), Confidence: 0.5

Timestamp: 11/24/2024 7:27:59 PM, Millisecond: 150,current eyeGaze_left: Position (-0.07461546, 1.080418, 0.1243749), Orientation(0.08781211, 0.006149123, -0.02559097, 0.9957894), Confidence: 0.5

Timestamp: 11/24/2024 7:27:59 PM, Millisecond: 163,current eyeGaze_left: Position (-0.07461546, 1.080418, 0.1243749), Orientation(0.08781211, 0.006149123, -0.02559097, 0.9957894), Confidence: 0.5

Timestamp: 11/24/2024 7:27:59 PM, Millisecond: 178,current eyeGaze_left: Position (-0.07464194, 1.08043, 0.1244404), Orientation(0.08548692, 0.006249393, -0.02568757, 0.9959886), Confidence: 0.5

