Timestamp: 11/2/2024 4:48:55 PM, Millisecond: 993,current eyeGaze_left: Position (0.05740729, 1.05562, 0.2544165), Orientation(0.2056358, 0.05724752, -0.004119542, 0.9769441), Confidence: 0.5

Timestamp: 11/2/2024 4:48:56 PM, Millisecond: 8,current eyeGaze_left: Position (0.05771758, 1.055606, 0.2544824), Orientation(0.1921157, 0.04743763, -0.005105952, 0.9802119), Confidence: 0.5

Timestamp: 11/2/2024 4:48:56 PM, Millisecond: 22,current eyeGaze_left: Position (0.05771758, 1.055606, 0.2544824), Orientation(0.1921157, 0.04743763, -0.005105952, 0.9802119), Confidence: 0.5

Timestamp: 11/2/2024 4:48:56 PM, Millisecond: 37,current eyeGaze_left: Position (0.05771758, 1.055606, 0.2544824), Orientation(0.1921157, 0.04743763, -0.005105952, 0.9802119), Confidence: 0.5

Timestamp: 11/2/2024 4:48:56 PM, Millisecond: 49,current eyeGaze_left: Position (0.05810415, 1.055592, 0.2545475), Orientation(0.1888949, -0.008259267, -0.01427728, 0.9818587), Confidence: 0.5

Timestamp: 11/2/2024 4:48:56 PM, Millisecond: 62,current eyeGaze_left: Position (0.05810415, 1.055592, 0.2545475), Orientation(0.1888949, -0.008259267, -0.01427728, 0.9818587), Confidence: 0.5

Timestamp: 11/2/2024 4:48:56 PM, Millisecond: 78,current eyeGaze_left: Position (0.05835892, 1.055545, 0.2546732), Orientation(0.1885518, -0.008527809, -0.01444263, 0.98192), Confidence: 0.5

Timestamp: 11/2/2024 4:48:56 PM, Millisecond: 90,current eyeGaze_left: Position (0.05835892, 1.055545, 0.2546732), Orientation(0.1885518, -0.008527809, -0.01444263, 0.98192), Confidence: 0.5

Timestamp: 11/2/2024 4:48:56 PM, Millisecond: 105,current eyeGaze_left: Position (0.0585832, 1.055514, 0.2548168), Orientation(0.1956815, 0.001638173, -0.01337024, 0.980575), Confidence: 0.5

Timestamp: 11/2/2024 4:48:56 PM, Millisecond: 119,current eyeGaze_left: Position (0.0585832, 1.055514, 0.2548168), Orientation(0.1956815, 0.001638173, -0.01337024, 0.980575), Confidence: 0.5

Timestamp: 11/2/2024 4:48:56 PM, Millisecond: 133,current eyeGaze_left: Position (0.0585832, 1.055514, 0.2548168), Orientation(0.1956815, 0.001638173, -0.01337024, 0.980575), Confidence: 0.5

Timestamp: 11/2/2024 4:48:56 PM, Millisecond: 149,current eyeGaze_left: Position (0.0587359, 1.055495, 0.254883), Orientation(0.195706, 0.009398991, -0.01265857, 0.980536), Confidence: 0.5

Timestamp: 11/2/2024 4:48:56 PM, Millisecond: 159,current eyeGaze_left: Position (0.0587359, 1.055495, 0.254883), Orientation(0.195706, 0.009398991, -0.01265857, 0.980536), Confidence: 0.5

Timestamp: 11/2/2024 4:48:56 PM, Millisecond: 174,current eyeGaze_left: Position (0.0587359, 1.055495, 0.254883), Orientation(0.195706, 0.009398991, -0.01265857, 0.980536), Confidence: 0.5

Timestamp: 11/2/2024 4:48:56 PM, Millisecond: 187,current eyeGaze_left: Position (0.05888814, 1.055506, 0.2550355), Orientation(0.1890851, 0.009261942, -0.01264135, 0.9818357), Confidence: 0.5

Timestamp: 11/2/2024 4:48:56 PM, Millisecond: 202,current eyeGaze_left: Position (0.05888814, 1.055506, 0.2550355), Orientation(0.1890851, 0.009261942, -0.01264135, 0.9818357), Confidence: 0.5

Timestamp: 11/2/2024 4:48:56 PM, Millisecond: 216,current eyeGaze_left: Position (0.05897023, 1.055517, 0.2551884), Orientation(0.1852589, 0.008151875, -0.01261953, 0.982575), Confidence: 0.5

Timestamp: 11/2/2024 4:48:56 PM, Millisecond: 229,current eyeGaze_left: Position (0.05897023, 1.055517, 0.2551884), Orientation(0.1852589, 0.008151875, -0.01261953, 0.982575), Confidence: 0.5

Timestamp: 11/2/2024 4:48:56 PM, Millisecond: 244,current eyeGaze_left: Position (0.05921529, 1.055585, 0.2553717), Orientation(0.1855314, 0.008152291, -0.01253503, 0.9825248), Confidence: 0.5

