Timestamp: 11/2/2024 5:25:17 PM, Millisecond: 754,current eyeGaze_left: Position (0.00491235, 1.078957, -0.05885408), Orientation(0.2098419, 0.004030845, -0.01966162, 0.9775293), Confidence: 0.5

Timestamp: 11/2/2024 5:25:17 PM, Millisecond: 768,current eyeGaze_left: Position (0.00491235, 1.078957, -0.05885408), Orientation(0.2098419, 0.004030845, -0.01966162, 0.9775293), Confidence: 0.5

Timestamp: 11/2/2024 5:25:17 PM, Millisecond: 782,current eyeGaze_left: Position (0.00491235, 1.078957, -0.05885408), Orientation(0.2098419, 0.004030845, -0.01966162, 0.9775293), Confidence: 0.5

Timestamp: 11/2/2024 5:25:17 PM, Millisecond: 796,current eyeGaze_left: Position (0.005324345, 1.078639, -0.05878583), Orientation(0.2091368, 0.003958147, -0.01935018, 0.9776869), Confidence: 0.5

Timestamp: 11/2/2024 5:25:17 PM, Millisecond: 810,current eyeGaze_left: Position (0.005324345, 1.078639, -0.05878583), Orientation(0.2091368, 0.003958147, -0.01935018, 0.9776869), Confidence: 0.5

Timestamp: 11/2/2024 5:25:17 PM, Millisecond: 824,current eyeGaze_left: Position (0.005616609, 1.078479, -0.05880287), Orientation(0.2103986, 0.002006372, -0.01997672, 0.9774095), Confidence: 0.5

Timestamp: 11/2/2024 5:25:17 PM, Millisecond: 837,current eyeGaze_left: Position (0.005616609, 1.078479, -0.05880287), Orientation(0.2103986, 0.002006372, -0.01997672, 0.9774095), Confidence: 0.5

Timestamp: 11/2/2024 5:25:17 PM, Millisecond: 852,current eyeGaze_left: Position (0.005616609, 1.078479, -0.05880287), Orientation(0.2103986, 0.002006372, -0.01997672, 0.9774095), Confidence: 0.5

Timestamp: 11/2/2024 5:25:17 PM, Millisecond: 865,current eyeGaze_left: Position (0.005566038, 1.078493, -0.05853832), Orientation(0.2134567, 0.002811154, -0.02009138, 0.976742), Confidence: 0.5

Timestamp: 11/2/2024 5:25:17 PM, Millisecond: 880,current eyeGaze_left: Position (0.005566038, 1.078493, -0.05853832), Orientation(0.2134567, 0.002811154, -0.02009138, 0.976742), Confidence: 0.5

Timestamp: 11/2/2024 5:25:17 PM, Millisecond: 894,current eyeGaze_left: Position (0.005325783, 1.078655, -0.05815008), Orientation(0.2139974, 0.002325204, -0.01958773, 0.976635), Confidence: 0.5

Timestamp: 11/2/2024 5:25:17 PM, Millisecond: 907,current eyeGaze_left: Position (0.005325783, 1.078655, -0.05815008), Orientation(0.2139974, 0.002325204, -0.01958773, 0.976635), Confidence: 0.5

