Timestamp: 11/2/2024 6:49:45 PM, Millisecond: 825,current eyeGaze_left: Position (-0.04104063, 1.150755, 0.1565512), Orientation(0.06851374, -0.09909538, -0.03164862, 0.9922118), Confidence: 0.5

Timestamp: 11/2/2024 6:49:45 PM, Millisecond: 840,current eyeGaze_left: Position (-0.04107773, 1.150722, 0.1565786), Orientation(0.06775893, -0.007787272, -0.01574274, 0.9975473), Confidence: 0.5

Timestamp: 11/2/2024 6:49:45 PM, Millisecond: 853,current eyeGaze_left: Position (-0.04107773, 1.150722, 0.1565786), Orientation(0.06775893, -0.007787272, -0.01574274, 0.9975473), Confidence: 0.5

Timestamp: 11/2/2024 6:49:45 PM, Millisecond: 867,current eyeGaze_left: Position (-0.04107773, 1.150722, 0.1565786), Orientation(0.06775893, -0.007787272, -0.01574274, 0.9975473), Confidence: 0.5

Timestamp: 11/2/2024 6:49:45 PM, Millisecond: 881,current eyeGaze_left: Position (-0.04115107, 1.150699, 0.1566228), Orientation(0.06790909, -0.0005161096, -0.01440822, 0.9975875), Confidence: 0.5

Timestamp: 11/2/2024 6:49:45 PM, Millisecond: 895,current eyeGaze_left: Position (-0.04115107, 1.150699, 0.1566228), Orientation(0.06790909, -0.0005161096, -0.01440822, 0.9975875), Confidence: 0.5

Timestamp: 11/2/2024 6:49:45 PM, Millisecond: 909,current eyeGaze_left: Position (-0.04117802, 1.150686, 0.1566423), Orientation(0.0676939, -0.0004126334, -0.01439725, 0.9976022), Confidence: 0.5

Timestamp: 11/2/2024 6:49:45 PM, Millisecond: 922,current eyeGaze_left: Position (-0.04117802, 1.150686, 0.1566423), Orientation(0.0676939, -0.0004126334, -0.01439725, 0.9976022), Confidence: 0.5

Timestamp: 11/2/2024 6:49:45 PM, Millisecond: 937,current eyeGaze_left: Position (-0.04117763, 1.150684, 0.1566557), Orientation(0.06735147, -0.001242589, -0.01442392, 0.9976244), Confidence: 0.5

Timestamp: 11/2/2024 6:49:45 PM, Millisecond: 951,current eyeGaze_left: Position (-0.04117763, 1.150684, 0.1566557), Orientation(0.06735147, -0.001242589, -0.01442392, 0.9976244), Confidence: 0.5

Timestamp: 11/2/2024 6:49:45 PM, Millisecond: 965,current eyeGaze_left: Position (-0.04117763, 1.150684, 0.1566557), Orientation(0.06735147, -0.001242589, -0.01442392, 0.9976244), Confidence: 0.5

Timestamp: 11/2/2024 6:49:45 PM, Millisecond: 978,current eyeGaze_left: Position (-0.0411769, 1.150712, 0.1566931), Orientation(0.06642894, -0.001363915, -0.01456011, 0.9976841), Confidence: 0.5

Timestamp: 11/2/2024 6:49:45 PM, Millisecond: 993,current eyeGaze_left: Position (-0.0411769, 1.150712, 0.1566931), Orientation(0.06642894, -0.001363915, -0.01456011, 0.9976841), Confidence: 0.5

Timestamp: 11/2/2024 6:49:46 PM, Millisecond: 7,current eyeGaze_left: Position (-0.04115254, 1.150738, 0.1566932), Orientation(0.06657391, -0.001345391, -0.01462176, 0.9976736), Confidence: 0.5

Timestamp: 11/2/2024 6:49:46 PM, Millisecond: 20,current eyeGaze_left: Position (-0.04115254, 1.150738, 0.1566932), Orientation(0.06657391, -0.001345391, -0.01462176, 0.9976736), Confidence: 0.5

Timestamp: 11/2/2024 6:49:46 PM, Millisecond: 35,current eyeGaze_left: Position (-0.04115254, 1.150738, 0.1566932), Orientation(0.06657391, -0.001345391, -0.01462176, 0.9976736), Confidence: 0.5

Timestamp: 11/2/2024 6:49:46 PM, Millisecond: 48,current eyeGaze_left: Position (-0.04110959, 1.15075, 0.1566861), Orientation(0.0666692, -0.0008696041, -0.01451805, 0.9976692), Confidence: 0.5

Timestamp: 11/2/2024 6:49:46 PM, Millisecond: 63,current eyeGaze_left: Position (-0.04110959, 1.15075, 0.1566861), Orientation(0.0666692, -0.0008696041, -0.01451805, 0.9976692), Confidence: 0.5

Timestamp: 11/2/2024 6:49:46 PM, Millisecond: 76,current eyeGaze_left: Position (-0.04109065, 1.150728, 0.1566597), Orientation(0.06757782, -0.000952617, -0.01462933, 0.9976063), Confidence: 0.5

Timestamp: 11/2/2024 6:49:46 PM, Millisecond: 90,current eyeGaze_left: Position (-0.04109065, 1.150728, 0.1566597), Orientation(0.06757782, -0.000952617, -0.01462933, 0.9976063), Confidence: 0.5

Timestamp: 11/2/2024 6:49:46 PM, Millisecond: 105,current eyeGaze_left: Position (-0.04103291, 1.150728, 0.1566295), Orientation(0.06655964, -0.002436985, -0.01503417, 0.9976663), Confidence: 0.5

Timestamp: 11/2/2024 6:49:46 PM, Millisecond: 118,current eyeGaze_left: Position (-0.04103291, 1.150728, 0.1566295), Orientation(0.06655964, -0.002436985, -0.01503417, 0.9976663), Confidence: 0.5

Timestamp: 11/2/2024 6:49:46 PM, Millisecond: 133,current eyeGaze_left: Position (-0.04103291, 1.150728, 0.1566295), Orientation(0.06655964, -0.002436985, -0.01503417, 0.9976663), Confidence: 0.5

Timestamp: 11/2/2024 6:49:46 PM, Millisecond: 146,current eyeGaze_left: Position (-0.04096099, 1.150734, 0.1565902), Orientation(0.06477989, -0.002937833, -0.01526732, 0.9977784), Confidence: 0.5

Timestamp: 11/2/2024 6:49:46 PM, Millisecond: 160,current eyeGaze_left: Position (-0.04096099, 1.150734, 0.1565902), Orientation(0.06477989, -0.002937833, -0.01526732, 0.9977784), Confidence: 0.5

Timestamp: 11/2/2024 6:49:46 PM, Millisecond: 174,current eyeGaze_left: Position (-0.04091854, 1.150767, 0.1565832), Orientation(0.06475733, -0.004356235, -0.01560929, 0.9977697), Confidence: 0.5

Timestamp: 11/2/2024 6:49:46 PM, Millisecond: 187,current eyeGaze_left: Position (-0.04091854, 1.150767, 0.1565832), Orientation(0.06475733, -0.004356235, -0.01560929, 0.9977697), Confidence: 0.5

Timestamp: 11/2/2024 6:49:46 PM, Millisecond: 202,current eyeGaze_left: Position (-0.04086998, 1.150769, 0.156528), Orientation(0.06791972, -0.004516409, -0.01557741, 0.9975591), Confidence: 0.5

Timestamp: 11/2/2024 6:49:46 PM, Millisecond: 216,current eyeGaze_left: Position (-0.04086998, 1.150769, 0.156528), Orientation(0.06791972, -0.004516409, -0.01557741, 0.9975591), Confidence: 0.5

Timestamp: 11/2/2024 6:49:46 PM, Millisecond: 230,current eyeGaze_left: Position (-0.04086998, 1.150769, 0.156528), Orientation(0.06791972, -0.004516409, -0.01557741, 0.9975591), Confidence: 0.5

Timestamp: 11/2/2024 6:49:46 PM, Millisecond: 243,current eyeGaze_left: Position (-0.04085172, 1.150749, 0.1564689), Orientation(0.06784356, -0.004606247, -0.0155737, 0.997564), Confidence: 0.5

Timestamp: 11/2/2024 6:49:46 PM, Millisecond: 258,current eyeGaze_left: Position (-0.04085172, 1.150749, 0.1564689), Orientation(0.06784356, -0.004606247, -0.0155737, 0.997564), Confidence: 0.5

Timestamp: 11/2/2024 6:49:46 PM, Millisecond: 272,current eyeGaze_left: Position (-0.04088558, 1.150664, 0.1563899), Orientation(0.06570353, -0.004489808, -0.01561918, 0.9977069), Confidence: 0.5

