
Timestamp: 10/27/2024 10:59:20 AM, Millisecond: 615,current eyeGaze_left: Position (0.02472965, 1.149921, 0.2111405), Orientation(0.1136179, -0.01396058, -0.03105185, 0.992941), Confidence: 0.5

Timestamp: 10/27/2024 10:59:20 AM, Millisecond: 629,current eyeGaze_left: Position (0.02463103, 1.149931, 0.2113867), Orientation(0.1139042, -0.01254769, -0.03072336, 0.9929373), Confidence: 0.5

Timestamp: 10/27/2024 10:59:20 AM, Millisecond: 642,current eyeGaze_left: Position (0.02463103, 1.149931, 0.2113867), Orientation(0.1139042, -0.01254769, -0.03072336, 0.9929373), Confidence: 0.5

Timestamp: 10/27/2024 10:59:20 AM, Millisecond: 657,current eyeGaze_left: Position (0.02450815, 1.149957, 0.2116029), Orientation(0.1145556, -0.01326546, -0.03072045, 0.9928532), Confidence: 0.5

Timestamp: 10/27/2024 10:59:20 AM, Millisecond: 670,current eyeGaze_left: Position (0.02450815, 1.149957, 0.2116029), Orientation(0.1145556, -0.01326546, -0.03072045, 0.9928532), Confidence: 0.5

Timestamp: 10/27/2024 10:59:20 AM, Millisecond: 688,current eyeGaze_left: Position (0.02450815, 1.149957, 0.2116029), Orientation(0.1145556, -0.01326546, -0.03072045, 0.9928532), Confidence: 0.5

Timestamp: 10/27/2024 10:59:20 AM, Millisecond: 698,current eyeGaze_left: Position (0.02433223, 1.150051, 0.2117136), Orientation(0.1148739, -0.01284814, -0.03074072, 0.9928212), Confidence: 0.5

Timestamp: 10/27/2024 10:59:20 AM, Millisecond: 711,current eyeGaze_left: Position (0.02433223, 1.150051, 0.2117136), Orientation(0.1148739, -0.01284814, -0.03074072, 0.9928212), Confidence: 0.5

Timestamp: 10/27/2024 10:59:20 AM, Millisecond: 727,current eyeGaze_left: Position (0.02429264, 1.150134, 0.2118095), Orientation(0.1141496, -0.0133539, -0.03067716, 0.9929), Confidence: 0.5

Timestamp: 10/27/2024 10:59:20 AM, Millisecond: 739,current eyeGaze_left: Position (0.02429264, 1.150134, 0.2118095), Orientation(0.1141496, -0.0133539, -0.03067716, 0.9929), Confidence: 0.5

Timestamp: 10/27/2024 10:59:20 AM, Millisecond: 754,current eyeGaze_left: Position (0.02429264, 1.150134, 0.2118095), Orientation(0.1141496, -0.0133539, -0.03067716, 0.9929), Confidence: 0.5

Timestamp: 10/27/2024 10:59:20 AM, Millisecond: 768,current eyeGaze_left: Position (0.02432879, 1.150221, 0.2118533), Orientation(0.1121349, -0.01437935, -0.03064074, 0.9931164), Confidence: 0.5

Timestamp: 10/27/2024 10:59:20 AM, Millisecond: 782,current eyeGaze_left: Position (0.02432879, 1.150221, 0.2118533), Orientation(0.1121349, -0.01437935, -0.03064074, 0.9931164), Confidence: 0.5

Timestamp: 10/27/2024 10:59:20 AM, Millisecond: 796,current eyeGaze_left: Position (0.02445859, 1.150231, 0.211858), Orientation(0.1111154, -0.0148505, -0.03064366, 0.993224), Confidence: 0.5

Timestamp: 10/27/2024 10:59:20 AM, Millisecond: 809,current eyeGaze_left: Position (0.02445859, 1.150231, 0.211858), Orientation(0.1111154, -0.0148505, -0.03064366, 0.993224), Confidence: 0.5

Timestamp: 10/27/2024 10:59:20 AM, Millisecond: 824,current eyeGaze_left: Position (0.02459139, 1.150303, 0.2118286), Orientation(0.1124675, -0.01488891, -0.03074361, 0.9930681), Confidence: 0.5

Timestamp: 10/27/2024 10:59:20 AM, Millisecond: 837,current eyeGaze_left: Position (0.02459139, 1.150303, 0.2118286), Orientation(0.1124675, -0.01488891, -0.03074361, 0.9930681), Confidence: 0.5

Timestamp: 10/27/2024 10:59:20 AM, Millisecond: 852,current eyeGaze_left: Position (0.02459139, 1.150303, 0.2118286), Orientation(0.1124675, -0.01488891, -0.03074361, 0.9930681), Confidence: 0.5

Timestamp: 10/27/2024 10:59:20 AM, Millisecond: 866,current eyeGaze_left: Position (0.0246967, 1.150461, 0.211747), Orientation(0.1167461, -0.01588844, -0.03122279, 0.9925438), Confidence: 0.5

Timestamp: 10/27/2024 10:59:20 AM, Millisecond: 879,current eyeGaze_left: Position (0.0246967, 1.150461, 0.211747), Orientation(0.1167461, -0.01588844, -0.03122279, 0.9925438), Confidence: 0.5

Timestamp: 10/27/2024 10:59:20 AM, Millisecond: 894,current eyeGaze_left: Position (0.02474937, 1.150385, 0.2116934), Orientation(0.1161331, -0.01371775, -0.03105928, 0.9926533), Confidence: 0.5

Timestamp: 10/27/2024 10:59:20 AM, Millisecond: 907,current eyeGaze_left: Position (0.02474937, 1.150385, 0.2116934), Orientation(0.1161331, -0.01371775, -0.03105928, 0.9926533), Confidence: 0.5

Timestamp: 10/27/2024 10:59:20 AM, Millisecond: 922,current eyeGaze_left: Position (0.02474937, 1.150385, 0.2116934), Orientation(0.1161331, -0.01371775, -0.03105928, 0.9926533), Confidence: 0.5

Timestamp: 10/27/2024 10:59:20 AM, Millisecond: 935,current eyeGaze_left: Position (0.02477601, 1.150389, 0.2116246), Orientation(0.1161697, -0.01350676, -0.03096882, 0.9926546), Confidence: 0.5

Timestamp: 10/27/2024 10:59:20 AM, Millisecond: 950,current eyeGaze_left: Position (0.02477601, 1.150389, 0.2116246), Orientation(0.1161697, -0.01350676, -0.03096882, 0.9926546), Confidence: 0.5

Timestamp: 10/27/2024 10:59:20 AM, Millisecond: 963,current eyeGaze_left: Position (0.02471596, 1.150397, 0.2115698), Orientation(0.1147748, -0.01346347, -0.03087512, 0.9928204), Confidence: 0.5

Timestamp: 10/27/2024 10:59:20 AM, Millisecond: 976,current eyeGaze_left: Position (0.02471596, 1.150397, 0.2115698), Orientation(0.1147748, -0.01346347, -0.03087512, 0.9928204), Confidence: 0.5

Timestamp: 10/27/2024 10:59:20 AM, Millisecond: 991,current eyeGaze_left: Position (0.02465823, 1.150345, 0.211542), Orientation(0.1126625, -0.0133709, -0.03067008, 0.9930699), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 4,current eyeGaze_left: Position (0.02465823, 1.150345, 0.211542), Orientation(0.1126625, -0.0133709, -0.03067008, 0.9930699), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 19,current eyeGaze_left: Position (0.02465823, 1.150345, 0.211542), Orientation(0.1126625, -0.0133709, -0.03067008, 0.9930699), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 32,current eyeGaze_left: Position (0.02458539, 1.150304, 0.2115544), Orientation(0.1126231, -0.01298738, -0.03028857, 0.9930912), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 46,current eyeGaze_left: Position (0.02458539, 1.150304, 0.2115544), Orientation(0.1126231, -0.01298738, -0.03028857, 0.9930912), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 61,current eyeGaze_left: Position (0.0244717, 1.150277, 0.2116003), Orientation(0.1129535, -0.01293599, -0.03009138, 0.9930602), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 74,current eyeGaze_left: Position (0.0244717, 1.150277, 0.2116003), Orientation(0.1129535, -0.01293599, -0.03009138, 0.9930602), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 89,current eyeGaze_left: Position (0.02429697, 1.150349, 0.2116398), Orientation(0.1134635, -0.01232135, -0.02989104, 0.9930159), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 101,current eyeGaze_left: Position (0.02429697, 1.150349, 0.2116398), Orientation(0.1134635, -0.01232135, -0.02989104, 0.9930159), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 117,current eyeGaze_left: Position (0.02429697, 1.150349, 0.2116398), Orientation(0.1134635, -0.01232135, -0.02989104, 0.9930159), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 130,current eyeGaze_left: Position (0.02421336, 1.15034, 0.2117442), Orientation(0.1151064, -0.01337373, -0.02986726, 0.9928139), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 144,current eyeGaze_left: Position (0.02421336, 1.15034, 0.2117442), Orientation(0.1151064, -0.01337373, -0.02986726, 0.9928139), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 159,current eyeGaze_left: Position (0.02414428, 1.150393, 0.211851), Orientation(0.1151876, -0.01333124, -0.0297805, 0.9928078), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 172,current eyeGaze_left: Position (0.02414428, 1.150393, 0.211851), Orientation(0.1151876, -0.01333124, -0.0297805, 0.9928078), Confidence: 0.5

