
Timestamp: 2/4/2025 1:54:05 AM, Millisecond: 736,current eyeGaze_left: Position (-0.08253931, 0.6097218, 0.1428333), Orientation(0.08840407, 0.1082516, -0.005051957, 0.9901722), Confidence: 0.9980469

Timestamp: 2/4/2025 1:54:05 AM, Millisecond: 751,current eyeGaze_left: Position (-0.08253931, 0.6097218, 0.1428333), Orientation(0.08840407, 0.1082516, -0.005051957, 0.9901722), Confidence: 0.9980469

Timestamp: 2/4/2025 1:54:05 AM, Millisecond: 764,current eyeGaze_left: Position (-0.0823822, 0.6097276, 0.1428144), Orientation(0.08826743, 0.108146, -0.005173134, 0.9901953), Confidence: 0.9980469

Timestamp: 2/4/2025 1:54:05 AM, Millisecond: 778,current eyeGaze_left: Position (-0.0823822, 0.6097276, 0.1428144), Orientation(0.08826743, 0.108146, -0.005173134, 0.9901953), Confidence: 0.9980469

Timestamp: 2/4/2025 1:54:05 AM, Millisecond: 793,current eyeGaze_left: Position (-0.08222878, 0.6097993, 0.142861), Orientation(0.08938867, 0.1112566, -0.005027635, 0.9897507), Confidence: 0.9980469

Timestamp: 2/4/2025 1:54:05 AM, Millisecond: 806,current eyeGaze_left: Position (-0.08222878, 0.6097993, 0.142861), Orientation(0.08938867, 0.1112566, -0.005027635, 0.9897507), Confidence: 0.9980469

Timestamp: 2/4/2025 1:54:05 AM, Millisecond: 820,current eyeGaze_left: Position (-0.08222878, 0.6097993, 0.142861), Orientation(0.08938867, 0.1112566, -0.005027635, 0.9897507), Confidence: 0.9980469

Timestamp: 2/4/2025 1:54:05 AM, Millisecond: 834,current eyeGaze_left: Position (-0.08210678, 0.6098573, 0.1429103), Orientation(0.09114423, 0.1110072, -0.005241371, 0.9896175), Confidence: 0.9980469

Timestamp: 2/4/2025 1:54:05 AM, Millisecond: 848,current eyeGaze_left: Position (-0.08210678, 0.6098573, 0.1429103), Orientation(0.09114423, 0.1110072, -0.005241371, 0.9896175), Confidence: 0.9980469

Timestamp: 2/4/2025 1:54:05 AM, Millisecond: 862,current eyeGaze_left: Position (-0.08201981, 0.6099216, 0.1429587), Orientation(0.09148262, 0.11085, -0.005458312, 0.9896026), Confidence: 0.9980469

Timestamp: 2/4/2025 1:54:05 AM, Millisecond: 875,current eyeGaze_left: Position (-0.08201981, 0.6099216, 0.1429587), Orientation(0.09148262, 0.11085, -0.005458312, 0.9896026), Confidence: 0.9980469

Timestamp: 2/4/2025 1:54:05 AM, Millisecond: 890,current eyeGaze_left: Position (-0.08201981, 0.6099216, 0.1429587), Orientation(0.09148262, 0.11085, -0.005458312, 0.9896026), Confidence: 0.9980469

Timestamp: 2/4/2025 1:54:05 AM, Millisecond: 903,current eyeGaze_left: Position (-0.08198059, 0.6099827, 0.143011), Orientation(0.08987395, 0.111356, -0.005460293, 0.9896933), Confidence: 0.9980469

Timestamp: 2/4/2025 1:54:05 AM, Millisecond: 918,current eyeGaze_left: Position (-0.08198059, 0.6099827, 0.143011), Orientation(0.08987395, 0.111356, -0.005460293, 0.9896933), Confidence: 0.9980469

Timestamp: 2/4/2025 1:54:05 AM, Millisecond: 931,current eyeGaze_left: Position (-0.08194798, 0.6100352, 0.1430597), Orientation(0.09016492, 0.1112235, -0.005494222, 0.9896814), Confidence: 0.9980469

Timestamp: 2/4/2025 1:54:05 AM, Millisecond: 945,current eyeGaze_left: Position (-0.08194798, 0.6100352, 0.1430597), Orientation(0.09016492, 0.1112235, -0.005494222, 0.9896814), Confidence: 0.9980469

Timestamp: 2/4/2025 1:54:05 AM, Millisecond: 959,current eyeGaze_left: Position (-0.08193013, 0.6100768, 0.1431001), Orientation(0.09130747, 0.1117301, -0.005421548, 0.9895201), Confidence: 0.9980469

Timestamp: 2/4/2025 1:54:05 AM, Millisecond: 972,current eyeGaze_left: Position (-0.08193013, 0.6100768, 0.1431001), Orientation(0.09130747, 0.1117301, -0.005421548, 0.9895201), Confidence: 0.9980469

Timestamp: 2/4/2025 1:54:05 AM, Millisecond: 987,current eyeGaze_left: Position (-0.08193013, 0.6100768, 0.1431001), Orientation(0.09130747, 0.1117301, -0.005421548, 0.9895201), Confidence: 0.9980469

Timestamp: 2/4/2025 1:54:06 AM, Millisecond: 1,current eyeGaze_left: Position (-0.08190647, 0.6101102, 0.1431313), Orientation(0.09142219, 0.1116628, -0.005365558, 0.9895173), Confidence: 0.9980469

Timestamp: 2/4/2025 1:54:06 AM, Millisecond: 14,current eyeGaze_left: Position (-0.08190647, 0.6101102, 0.1431313), Orientation(0.09142219, 0.1116628, -0.005365558, 0.9895173), Confidence: 0.9980469

Timestamp: 2/4/2025 1:54:06 AM, Millisecond: 29,current eyeGaze_left: Position (-0.08191103, 0.6100947, 0.1431594), Orientation(0.09073376, 0.1120633, -0.005207019, 0.9895363), Confidence: 0.9980469

Timestamp: 2/4/2025 1:54:06 AM, Millisecond: 42,current eyeGaze_left: Position (-0.08191103, 0.6100947, 0.1431594), Orientation(0.09073376, 0.1120633, -0.005207019, 0.9895363), Confidence: 0.9980469

Timestamp: 2/4/2025 1:54:06 AM, Millisecond: 57,current eyeGaze_left: Position (-0.08193506, 0.6100652, 0.1431858), Orientation(0.09070104, 0.1121495, -0.005085679, 0.9895301), Confidence: 0.9980469

Timestamp: 2/4/2025 1:54:06 AM, Millisecond: 70,current eyeGaze_left: Position (-0.08193506, 0.6100652, 0.1431858), Orientation(0.09070104, 0.1121495, -0.005085679, 0.9895301), Confidence: 0.9980469

Timestamp: 2/4/2025 1:54:06 AM, Millisecond: 85,current eyeGaze_left: Position (-0.08193506, 0.6100652, 0.1431858), Orientation(0.09070104, 0.1121495, -0.005085679, 0.9895301), Confidence: 0.9980469

Timestamp: 2/4/2025 1:54:06 AM, Millisecond: 98,current eyeGaze_left: Position (-0.08196099, 0.610094, 0.1432054), Orientation(0.0924284, 0.1086369, -0.005351437, 0.9897608), Confidence: 0.9980469

