Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 294,current eyeGaze_left: Position (-0.06494419, 1.190132, -0.001310612), Orientation(0.1674287, -0.01892138, -0.03900651, 0.9849305), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 310,current eyeGaze_left: Position (-0.06505355, 1.190566, -0.0005312526), Orientation(0.1686052, -0.01847837, -0.0393079, 0.9847263), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 323,current eyeGaze_left: Position (-0.06505355, 1.190566, -0.0005312526), Orientation(0.1686052, -0.01847837, -0.0393079, 0.9847263), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 338,current eyeGaze_left: Position (-0.06523485, 1.190879, 0.0001267291), Orientation(0.1674504, -0.01663344, -0.0393305, 0.9849553), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 350,current eyeGaze_left: Position (-0.06523485, 1.190879, 0.0001267291), Orientation(0.1674504, -0.01663344, -0.0393305, 0.9849553), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 366,current eyeGaze_left: Position (-0.06559128, 1.191022, 0.0006634), Orientation(0.1684594, -0.01704881, -0.03941211, 0.9847729), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 379,current eyeGaze_left: Position (-0.06559128, 1.191022, 0.0006634), Orientation(0.1684594, -0.01704881, -0.03941211, 0.9847729), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 393,current eyeGaze_left: Position (-0.06559128, 1.191022, 0.0006634), Orientation(0.1684594, -0.01704881, -0.03941211, 0.9847729), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 407,current eyeGaze_left: Position (-0.06584522, 1.191104, 0.001116654), Orientation(0.1692315, -0.015874, -0.03889445, 0.9846805), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 422,current eyeGaze_left: Position (-0.06584522, 1.191104, 0.001116654), Orientation(0.1692315, -0.015874, -0.03889445, 0.9846805), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 435,current eyeGaze_left: Position (-0.06598179, 1.191121, 0.001426435), Orientation(0.1694326, -0.01600457, -0.03853257, 0.9846581), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 449,current eyeGaze_left: Position (-0.06598179, 1.191121, 0.001426435), Orientation(0.1694326, -0.01600457, -0.03853257, 0.9846581), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 464,current eyeGaze_left: Position (-0.066119, 1.191105, 0.001747517), Orientation(0.1697205, -0.01754415, -0.03872934, 0.9845746), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 477,current eyeGaze_left: Position (-0.066119, 1.191105, 0.001747517), Orientation(0.1697205, -0.01754415, -0.03872934, 0.9845746), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 491,current eyeGaze_left: Position (-0.066119, 1.191105, 0.001747517), Orientation(0.1697205, -0.01754415, -0.03872934, 0.9845746), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 506,current eyeGaze_left: Position (-0.06622101, 1.191066, 0.002051507), Orientation(0.1693951, -0.01932585, -0.03917068, 0.9845798), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 520,current eyeGaze_left: Position (-0.06622101, 1.191066, 0.002051507), Orientation(0.1693951, -0.01932585, -0.03917068, 0.9845798), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 534,current eyeGaze_left: Position (-0.06631912, 1.190968, 0.002351484), Orientation(0.168594, -0.0195025, -0.03937004, 0.9847059), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 547,current eyeGaze_left: Position (-0.06631912, 1.190968, 0.002351484), Orientation(0.168594, -0.0195025, -0.03937004, 0.9847059), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 561,current eyeGaze_left: Position (-0.06644422, 1.190785, 0.002595821), Orientation(0.1671727, -0.02070597, -0.03975473, 0.9849082), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 576,current eyeGaze_left: Position (-0.06644422, 1.190785, 0.002595821), Orientation(0.1671727, -0.02070597, -0.03975473, 0.9849082), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 590,current eyeGaze_left: Position (-0.06644422, 1.190785, 0.002595821), Orientation(0.1671727, -0.02070597, -0.03975473, 0.9849082), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 604,current eyeGaze_left: Position (-0.06653149, 1.190582, 0.002841826), Orientation(0.1658253, -0.01900027, -0.03914273, 0.9851947), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 617,current eyeGaze_left: Position (-0.06653149, 1.190582, 0.002841826), Orientation(0.1658253, -0.01900027, -0.03914273, 0.9851947), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 632,current eyeGaze_left: Position (-0.06664783, 1.190372, 0.003144292), Orientation(0.1173595, -0.01252247, -0.03876235, 0.9922537), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 645,current eyeGaze_left: Position (-0.06664783, 1.190372, 0.003144292), Orientation(0.1173595, -0.01252247, -0.03876235, 0.9922537), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 659,current eyeGaze_left: Position (-0.06664783, 1.190372, 0.003144292), Orientation(0.1173595, -0.01252247, -0.03876235, 0.9922537), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 673,current eyeGaze_left: Position (-0.06684445, 1.190131, 0.003503263), Orientation(0.1158561, -0.01217047, -0.03862808, 0.99244), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 687,current eyeGaze_left: Position (-0.06684445, 1.190131, 0.003503263), Orientation(0.1158561, -0.01217047, -0.03862808, 0.99244), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 701,current eyeGaze_left: Position (-0.06709895, 1.189882, 0.003900363), Orientation(0.1187801, -0.01196815, -0.03839783, 0.9921057), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 714,current eyeGaze_left: Position (-0.06709895, 1.189882, 0.003900363), Orientation(0.1187801, -0.01196815, -0.03839783, 0.9921057), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 729,current eyeGaze_left: Position (-0.06709895, 1.189882, 0.003900363), Orientation(0.1187801, -0.01196815, -0.03839783, 0.9921057), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 742,current eyeGaze_left: Position (-0.0673717, 1.189773, 0.004345772), Orientation(0.1226862, -0.01261091, -0.0380374, 0.9916363), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 757,current eyeGaze_left: Position (-0.0673717, 1.189773, 0.004345772), Orientation(0.1226862, -0.01261091, -0.0380374, 0.9916363), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 770,current eyeGaze_left: Position (-0.0676835, 1.189804, 0.004838783), Orientation(0.1234119, -0.01337706, -0.03762498, 0.9915518), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 784,current eyeGaze_left: Position (-0.0676835, 1.189804, 0.004838783), Orientation(0.1234119, -0.01337706, -0.03762498, 0.9915518), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 798,current eyeGaze_left: Position (-0.06795871, 1.189934, 0.005380454), Orientation(0.1232402, -0.01407064, -0.03713502, 0.991582), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 811,current eyeGaze_left: Position (-0.06795871, 1.189934, 0.005380454), Orientation(0.1232402, -0.01407064, -0.03713502, 0.991582), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 826,current eyeGaze_left: Position (-0.06818984, 1.190078, 0.005907143), Orientation(0.1238917, -0.01504322, -0.03678363, 0.9914995), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 840,current eyeGaze_left: Position (-0.06818984, 1.190078, 0.005907143), Orientation(0.1238917, -0.01504322, -0.03678363, 0.9914995), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 854,current eyeGaze_left: Position (-0.06818984, 1.190078, 0.005907143), Orientation(0.1238917, -0.01504322, -0.03678363, 0.9914995), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 868,current eyeGaze_left: Position (-0.06841171, 1.190228, 0.006489719), Orientation(0.1225102, -0.01560254, -0.03669719, 0.9916658), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 881,current eyeGaze_left: Position (-0.06841171, 1.190228, 0.006489719), Orientation(0.1225102, -0.01560254, -0.03669719, 0.9916658), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 895,current eyeGaze_left: Position (-0.06861433, 1.190395, 0.007077992), Orientation(0.1202357, -0.01021715, -0.0354662, 0.9920591), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 909,current eyeGaze_left: Position (-0.06861433, 1.190395, 0.007077992), Orientation(0.1202357, -0.01021715, -0.0354662, 0.9920591), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 924,current eyeGaze_left: Position (-0.06861433, 1.190395, 0.007077992), Orientation(0.1202357, -0.01021715, -0.0354662, 0.9920591), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 937,current eyeGaze_left: Position (-0.06880096, 1.190491, 0.007651619), Orientation(0.1195501, -0.008543822, -0.03489376, 0.992178), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 951,current eyeGaze_left: Position (-0.06880096, 1.190491, 0.007651619), Orientation(0.1195501, -0.008543822, -0.03489376, 0.992178), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 966,current eyeGaze_left: Position (-0.06904304, 1.190528, 0.008198964), Orientation(0.1166954, -0.009415067, -0.03463653, 0.992519), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 978,current eyeGaze_left: Position (-0.06904304, 1.190528, 0.008198964), Orientation(0.1166954, -0.009415067, -0.03463653, 0.992519), Confidence: 0.5

Timestamp: 11/24/2024 2:25:47 PM, Millisecond: 994,current eyeGaze_left: Position (-0.06904304, 1.190528, 0.008198964), Orientation(0.1166954, -0.009415067, -0.03463653, 0.992519), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 7,current eyeGaze_left: Position (-0.06909503, 1.190554, 0.00868186), Orientation(0.1171175, -0.0112462, -0.03402314, 0.9924715), Confidence: 0.5

