Timestamp: 11/2/2024 9:11:27 PM, Millisecond: 177,current eyeGaze_left: Position (0.02132167, 1.090748, -0.02437169), Orientation(-0.3212958, -0.2086593, -0.05620423, 0.9219933), Confidence: 0.5

Timestamp: 11/2/2024 9:11:27 PM, Millisecond: 191,current eyeGaze_left: Position (0.02132167, 1.090748, -0.02437169), Orientation(-0.3212958, -0.2086593, -0.05620423, 0.9219933), Confidence: 0.5

Timestamp: 11/2/2024 9:11:27 PM, Millisecond: 205,current eyeGaze_left: Position (0.02176415, 1.091175, -0.02357058), Orientation(-0.3197076, -0.2105083, -0.05666938, 0.9220965), Confidence: 0.5

Timestamp: 11/2/2024 9:11:27 PM, Millisecond: 219,current eyeGaze_left: Position (0.02176415, 1.091175, -0.02357058), Orientation(-0.3197076, -0.2105083, -0.05666938, 0.9220965), Confidence: 0.5

Timestamp: 11/2/2024 9:11:27 PM, Millisecond: 234,current eyeGaze_left: Position (0.02252831, 1.091366, -0.02278211), Orientation(-0.3195129, -0.2075217, -0.0580815, 0.9227529), Confidence: 0.5

Timestamp: 11/2/2024 9:11:27 PM, Millisecond: 246,current eyeGaze_left: Position (0.02252831, 1.091366, -0.02278211), Orientation(-0.3195129, -0.2075217, -0.0580815, 0.9227529), Confidence: 0.5

Timestamp: 11/2/2024 9:11:27 PM, Millisecond: 260,current eyeGaze_left: Position (0.02252831, 1.091366, -0.02278211), Orientation(-0.3195129, -0.2075217, -0.0580815, 0.9227529), Confidence: 0.5

Timestamp: 11/2/2024 9:11:27 PM, Millisecond: 276,current eyeGaze_left: Position (0.02351202, 1.091399, -0.02203151), Orientation(-0.3196269, -0.2100449, -0.06057864, 0.9219816), Confidence: 0.5

Timestamp: 11/2/2024 9:11:27 PM, Millisecond: 288,current eyeGaze_left: Position (0.02351202, 1.091399, -0.02203151), Orientation(-0.3196269, -0.2100449, -0.06057864, 0.9219816), Confidence: 0.5

Timestamp: 11/2/2024 9:11:27 PM, Millisecond: 303,current eyeGaze_left: Position (0.02458612, 1.091372, -0.02131739), Orientation(-0.3211486, -0.2152082, -0.06477703, 0.9199745), Confidence: 0.5

Timestamp: 11/2/2024 9:11:27 PM, Millisecond: 317,current eyeGaze_left: Position (0.02458612, 1.091372, -0.02131739), Orientation(-0.3211486, -0.2152082, -0.06477703, 0.9199745), Confidence: 0.5

Timestamp: 11/2/2024 9:11:27 PM, Millisecond: 329,current eyeGaze_left: Position (0.02458612, 1.091372, -0.02131739), Orientation(-0.3211486, -0.2152082, -0.06477703, 0.9199745), Confidence: 0.5

Timestamp: 11/2/2024 9:11:27 PM, Millisecond: 339,current eyeGaze_left: Position (0.02550579, 1.091129, -0.02062249), Orientation(-0.3220304, -0.2191407, -0.07088424, 0.9182861), Confidence: 0.5

Timestamp: 11/2/2024 9:11:27 PM, Millisecond: 350,current eyeGaze_left: Position (0.02550579, 1.091129, -0.02062249), Orientation(-0.3220304, -0.2191407, -0.07088424, 0.9182861), Confidence: 0.5

Timestamp: 11/2/2024 9:11:27 PM, Millisecond: 361,current eyeGaze_left: Position (0.02550579, 1.091129, -0.02062249), Orientation(-0.3220304, -0.2191407, -0.07088424, 0.9182861), Confidence: 0.5

Timestamp: 11/2/2024 9:11:27 PM, Millisecond: 375,current eyeGaze_left: Position (0.0260284, 1.090603, -0.01972227), Orientation(-0.3231459, -0.2217231, -0.0767791, 0.9167991), Confidence: 0.5

Timestamp: 11/2/2024 9:11:27 PM, Millisecond: 389,current eyeGaze_left: Position (0.0260284, 1.090603, -0.01972227), Orientation(-0.3231459, -0.2217231, -0.0767791, 0.9167991), Confidence: 0.5

Timestamp: 11/2/2024 9:11:27 PM, Millisecond: 404,current eyeGaze_left: Position (0.02615165, 1.090324, -0.01875942), Orientation(-0.3304757, -0.2202273, -0.08188084, 0.9141014), Confidence: 0.5

Timestamp: 11/2/2024 9:11:27 PM, Millisecond: 417,current eyeGaze_left: Position (0.02615165, 1.090324, -0.01875942), Orientation(-0.3304757, -0.2202273, -0.08188084, 0.9141014), Confidence: 0.5

Timestamp: 11/2/2024 9:11:27 PM, Millisecond: 431,current eyeGaze_left: Position (0.02569965, 1.090344, -0.01800088), Orientation(-0.329835, -0.223664, -0.08517517, 0.9131968), Confidence: 0.5

Timestamp: 11/2/2024 9:11:27 PM, Millisecond: 446,current eyeGaze_left: Position (0.02569965, 1.090344, -0.01800088), Orientation(-0.329835, -0.223664, -0.08517517, 0.9131968), Confidence: 0.5

Timestamp: 11/2/2024 9:11:27 PM, Millisecond: 460,current eyeGaze_left: Position (0.02569965, 1.090344, -0.01800088), Orientation(-0.329835, -0.223664, -0.08517517, 0.9131968), Confidence: 0.5

Timestamp: 11/2/2024 9:11:27 PM, Millisecond: 475,current eyeGaze_left: Position (0.02473242, 1.090158, -0.01711207), Orientation(-0.3239014, -0.235117, -0.08669021, 0.9123008), Confidence: 0.5

Timestamp: 11/2/2024 9:11:27 PM, Millisecond: 487,current eyeGaze_left: Position (0.02473242, 1.090158, -0.01711207), Orientation(-0.3239014, -0.235117, -0.08669021, 0.9123008), Confidence: 0.5

Timestamp: 11/2/2024 9:11:27 PM, Millisecond: 501,current eyeGaze_left: Position (0.02340735, 1.08962, -0.01591087), Orientation(-0.3255785, -0.2369283, -0.08851677, 0.911059), Confidence: 0.5

Timestamp: 11/2/2024 9:11:27 PM, Millisecond: 516,current eyeGaze_left: Position (0.02340735, 1.08962, -0.01591087), Orientation(-0.3255785, -0.2369283, -0.08851677, 0.911059), Confidence: 0.5

Timestamp: 11/2/2024 9:11:27 PM, Millisecond: 529,current eyeGaze_left: Position (0.02164067, 1.088921, -0.01443029), Orientation(-0.3278312, -0.2389372, -0.08955526, 0.9096239), Confidence: 0.5

Timestamp: 11/2/2024 9:11:27 PM, Millisecond: 543,current eyeGaze_left: Position (0.02164067, 1.088921, -0.01443029), Orientation(-0.3278312, -0.2389372, -0.08955526, 0.9096239), Confidence: 0.5

Timestamp: 11/2/2024 9:11:27 PM, Millisecond: 557,current eyeGaze_left: Position (0.02164067, 1.088921, -0.01443029), Orientation(-0.3278312, -0.2389372, -0.08955526, 0.9096239), Confidence: 0.5

Timestamp: 11/2/2024 9:11:27 PM, Millisecond: 571,current eyeGaze_left: Position (0.01960796, 1.088413, -0.01284144), Orientation(-0.3289076, -0.2410515, -0.08890297, 0.908741), Confidence: 0.5

Timestamp: 11/2/2024 9:11:27 PM, Millisecond: 585,current eyeGaze_left: Position (0.01960796, 1.088413, -0.01284144), Orientation(-0.3289076, -0.2410515, -0.08890297, 0.908741), Confidence: 0.5

Timestamp: 11/2/2024 9:11:27 PM, Millisecond: 600,current eyeGaze_left: Position (0.01745092, 1.08841, -0.01138495), Orientation(-0.3279247, -0.245975, -0.08624414, 0.908033), Confidence: 0.5

