Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 598,current eyeGaze_left: Position (-0.08276585, 1.101375, -0.0252324), Orientation(0.1136847, 0.008330653, -0.03048104, 0.9930143), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 614,current eyeGaze_left: Position (-0.08226077, 1.101682, -0.02386899), Orientation(0.1144884, 0.009387631, -0.03082693, 0.9929018), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 626,current eyeGaze_left: Position (-0.08226077, 1.101682, -0.02386899), Orientation(0.1144884, 0.009387631, -0.03082693, 0.9929018), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 642,current eyeGaze_left: Position (-0.08226077, 1.101682, -0.02386899), Orientation(0.1144884, 0.009387631, -0.03082693, 0.9929018), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 653,current eyeGaze_left: Position (-0.08173294, 1.101916, -0.02253662), Orientation(0.1148266, 0.01028084, -0.03124501, 0.9928409), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 668,current eyeGaze_left: Position (-0.08173294, 1.101916, -0.02253662), Orientation(0.1148266, 0.01028084, -0.03124501, 0.9928409), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 682,current eyeGaze_left: Position (-0.0811211, 1.102181, -0.02130454), Orientation(0.1151154, 0.008341951, -0.03172245, 0.9928104), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 696,current eyeGaze_left: Position (-0.0811211, 1.102181, -0.02130454), Orientation(0.1151154, 0.008341951, -0.03172245, 0.9928104), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 712,current eyeGaze_left: Position (-0.0811211, 1.102181, -0.02130454), Orientation(0.1151154, 0.008341951, -0.03172245, 0.9928104), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 725,current eyeGaze_left: Position (-0.08042468, 1.102513, -0.02018265), Orientation(0.1149376, 0.008075828, -0.03202857, 0.9928234), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 740,current eyeGaze_left: Position (-0.08042468, 1.102513, -0.02018265), Orientation(0.1149376, 0.008075828, -0.03202857, 0.9928234), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 753,current eyeGaze_left: Position (-0.0795825, 1.102805, -0.01920704), Orientation(0.1148907, 0.007748206, -0.03187667, 0.9928364), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 767,current eyeGaze_left: Position (-0.0795825, 1.102805, -0.01920704), Orientation(0.1148907, 0.007748206, -0.03187667, 0.9928364), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 781,current eyeGaze_left: Position (-0.07860436, 1.103123, -0.01825833), Orientation(0.1158351, 0.007922755, -0.03181052, 0.9927273), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 794,current eyeGaze_left: Position (-0.07860436, 1.103123, -0.01825833), Orientation(0.1158351, 0.007922755, -0.03181052, 0.9927273), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 809,current eyeGaze_left: Position (-0.07860436, 1.103123, -0.01825833), Orientation(0.1158351, 0.007922755, -0.03181052, 0.9927273), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 823,current eyeGaze_left: Position (-0.07750187, 1.103434, -0.01741431), Orientation(0.1167333, 0.007627436, -0.03197769, 0.992619), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 837,current eyeGaze_left: Position (-0.07750187, 1.103434, -0.01741431), Orientation(0.1167333, 0.007627436, -0.03197769, 0.992619), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 851,current eyeGaze_left: Position (-0.07632656, 1.103638, -0.0166061), Orientation(0.1140488, 0.007288597, -0.03235087, 0.9929216), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 865,current eyeGaze_left: Position (-0.07632656, 1.103638, -0.0166061), Orientation(0.1140488, 0.007288597, -0.03235087, 0.9929216), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 880,current eyeGaze_left: Position (-0.07510433, 1.103775, -0.01592728), Orientation(0.1129592, 0.005608986, -0.03320849, 0.9930287), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 893,current eyeGaze_left: Position (-0.07510433, 1.103775, -0.01592728), Orientation(0.1129592, 0.005608986, -0.03320849, 0.9930287), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 908,current eyeGaze_left: Position (-0.07510433, 1.103775, -0.01592728), Orientation(0.1129592, 0.005608986, -0.03320849, 0.9930287), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 921,current eyeGaze_left: Position (-0.07392769, 1.103866, -0.01521428), Orientation(0.1126731, 0.002927164, -0.03448326, 0.9930293), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 935,current eyeGaze_left: Position (-0.07392769, 1.103866, -0.01521428), Orientation(0.1126731, 0.002927164, -0.03448326, 0.9930293), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 949,current eyeGaze_left: Position (-0.0727948, 1.103816, -0.01453653), Orientation(0.1277541, -0.01352547, -0.03736619, 0.9910095), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 962,current eyeGaze_left: Position (-0.0727948, 1.103816, -0.01453653), Orientation(0.1277541, -0.01352547, -0.03736619, 0.9910095), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 977,current eyeGaze_left: Position (-0.0727948, 1.103816, -0.01453653), Orientation(0.1277541, -0.01352547, -0.03736619, 0.9910095), Confidence: 0.5

Timestamp: 11/24/2024 1:56:28 PM, Millisecond: 991,current eyeGaze_left: Position (-0.07171816, 1.103785, -0.01392255), Orientation(0.1282177, -0.01497833, -0.03865096, 0.9908794), Confidence: 0.5

