Timestamp: 2/4/2025 5:50:57 PM, Millisecond: 747,current eyeGaze_left: Position (-0.03308025, 0.6306896, 0.0006987122), Orientation(0.07665946, -0.02165643, -0.02164994, 0.9965869), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:57 PM, Millisecond: 760,current eyeGaze_left: Position (-0.03381896, 0.6307383, 0.0006580508), Orientation(0.07749744, -0.0210184, -0.02071204, 0.9965558), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:57 PM, Millisecond: 774,current eyeGaze_left: Position (-0.03381896, 0.6307383, 0.0006580508), Orientation(0.07749744, -0.0210184, -0.02071204, 0.9965558), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:57 PM, Millisecond: 790,current eyeGaze_left: Position (-0.03381896, 0.6307383, 0.0006580508), Orientation(0.07749744, -0.0210184, -0.02071204, 0.9965558), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:57 PM, Millisecond: 803,current eyeGaze_left: Position (-0.03440868, 0.6309788, 0.000806243), Orientation(0.07740596, -0.02152489, -0.02007375, 0.9965652), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:57 PM, Millisecond: 819,current eyeGaze_left: Position (-0.03440868, 0.6309788, 0.000806243), Orientation(0.07740596, -0.02152489, -0.02007375, 0.9965652), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:57 PM, Millisecond: 831,current eyeGaze_left: Position (-0.03490526, 0.6312748, 0.001036663), Orientation(0.07641245, -0.02181, -0.01962049, 0.9966447), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:57 PM, Millisecond: 844,current eyeGaze_left: Position (-0.03490526, 0.6312748, 0.001036663), Orientation(0.07641245, -0.02181, -0.01962049, 0.9966447), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:57 PM, Millisecond: 859,current eyeGaze_left: Position (-0.03540742, 0.6315119, 0.001341541), Orientation(0.07586192, -0.0208227, -0.01931906, 0.9967138), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:57 PM, Millisecond: 872,current eyeGaze_left: Position (-0.03540742, 0.6315119, 0.001341541), Orientation(0.07586192, -0.0208227, -0.01931906, 0.9967138), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:57 PM, Millisecond: 887,current eyeGaze_left: Position (-0.03540742, 0.6315119, 0.001341541), Orientation(0.07586192, -0.0208227, -0.01931906, 0.9967138), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:57 PM, Millisecond: 900,current eyeGaze_left: Position (-0.03567954, 0.6316801, 0.001653592), Orientation(0.07655902, -0.02040971, -0.01926827, 0.9966699), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:57 PM, Millisecond: 915,current eyeGaze_left: Position (-0.03567954, 0.6316801, 0.001653592), Orientation(0.07655902, -0.02040971, -0.01926827, 0.9966699), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:57 PM, Millisecond: 928,current eyeGaze_left: Position (-0.03574857, 0.6320267, 0.001907111), Orientation(0.07776177, -0.02008552, -0.01944269, 0.9965801), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:57 PM, Millisecond: 942,current eyeGaze_left: Position (-0.03574857, 0.6320267, 0.001907111), Orientation(0.07776177, -0.02008552, -0.01944269, 0.9965801), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:57 PM, Millisecond: 957,current eyeGaze_left: Position (-0.03574857, 0.6320267, 0.001907111), Orientation(0.07776177, -0.02008552, -0.01944269, 0.9965801), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:57 PM, Millisecond: 970,current eyeGaze_left: Position (-0.03582726, 0.6323205, 0.002101195), Orientation(0.08375585, 0.003980216, -0.01736191, 0.9963272), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:57 PM, Millisecond: 985,current eyeGaze_left: Position (-0.03582726, 0.6323205, 0.002101195), Orientation(0.08375585, 0.003980216, -0.01736191, 0.9963272), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:57 PM, Millisecond: 998,current eyeGaze_left: Position (-0.03557085, 0.6326486, 0.002380564), Orientation(0.08581938, 0.02985853, -0.01479463, 0.9957532), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:58 PM, Millisecond: 13,current eyeGaze_left: Position (-0.03557085, 0.6326486, 0.002380564), Orientation(0.08581938, 0.02985853, -0.01479463, 0.9957532), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:58 PM, Millisecond: 27,current eyeGaze_left: Position (-0.03513246, 0.6328744, 0.002646504), Orientation(0.086824, 0.02968664, -0.01485335, 0.9956706), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:58 PM, Millisecond: 40,current eyeGaze_left: Position (-0.03513246, 0.6328744, 0.002646504), Orientation(0.086824, 0.02968664, -0.01485335, 0.9956706), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:58 PM, Millisecond: 55,current eyeGaze_left: Position (-0.03513246, 0.6328744, 0.002646504), Orientation(0.086824, 0.02968664, -0.01485335, 0.9956706), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:58 PM, Millisecond: 68,current eyeGaze_left: Position (-0.03465705, 0.6329932, 0.002888635), Orientation(0.08470289, 0.03291959, -0.01491992, 0.9957507), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:58 PM, Millisecond: 82,current eyeGaze_left: Position (-0.03465705, 0.6329932, 0.002888635), Orientation(0.08470289, 0.03291959, -0.01491992, 0.9957507), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:58 PM, Millisecond: 96,current eyeGaze_left: Position (-0.03423212, 0.6329868, 0.003210484), Orientation(0.08358587, 0.0326372, -0.01555043, 0.9958446), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:58 PM, Millisecond: 109,current eyeGaze_left: Position (-0.03423212, 0.6329868, 0.003210484), Orientation(0.08358587, 0.0326372, -0.01555043, 0.9958446), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:58 PM, Millisecond: 124,current eyeGaze_left: Position (-0.03423212, 0.6329868, 0.003210484), Orientation(0.08358587, 0.0326372, -0.01555043, 0.9958446), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:58 PM, Millisecond: 138,current eyeGaze_left: Position (-0.03384801, 0.6329267, 0.003527114), Orientation(0.08327252, 0.03231495, -0.01590122, 0.9958759), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:58 PM, Millisecond: 153,current eyeGaze_left: Position (-0.03384801, 0.6329267, 0.003527114), Orientation(0.08327252, 0.03231495, -0.01590122, 0.9958759), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:58 PM, Millisecond: 165,current eyeGaze_left: Position (-0.03354689, 0.6326053, 0.00366676), Orientation(0.08462248, 0.03150526, -0.01622366, 0.9957829), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:58 PM, Millisecond: 179,current eyeGaze_left: Position (-0.03354689, 0.6326053, 0.00366676), Orientation(0.08462248, 0.03150526, -0.01622366, 0.9957829), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:58 PM, Millisecond: 194,current eyeGaze_left: Position (-0.03321474, 0.6325237, 0.003866929), Orientation(0.08443838, 0.03113945, -0.01654406, 0.9958047), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:58 PM, Millisecond: 207,current eyeGaze_left: Position (-0.03321474, 0.6325237, 0.003866929), Orientation(0.08443838, 0.03113945, -0.01654406, 0.9958047), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:58 PM, Millisecond: 222,current eyeGaze_left: Position (-0.03321474, 0.6325237, 0.003866929), Orientation(0.08443838, 0.03113945, -0.01654406, 0.9958047), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:58 PM, Millisecond: 236,current eyeGaze_left: Position (-0.03289505, 0.6326196, 0.004012368), Orientation(0.08454292, 0.03101151, -0.01673418, 0.9957966), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:58 PM, Millisecond: 250,current eyeGaze_left: Position (-0.03289505, 0.6326196, 0.004012368), Orientation(0.08454292, 0.03101151, -0.01673418, 0.9957966), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:58 PM, Millisecond: 263,current eyeGaze_left: Position (-0.03252005, 0.6327428, 0.004084518), Orientation(0.08276346, 0.0311737, -0.01670188, 0.9959415), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:58 PM, Millisecond: 277,current eyeGaze_left: Position (-0.03252005, 0.6327428, 0.004084518), Orientation(0.08276346, 0.0311737, -0.01670188, 0.9959415), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:58 PM, Millisecond: 292,current eyeGaze_left: Position (-0.03221599, 0.6330175, 0.004201845), Orientation(0.08587395, 0.03043896, -0.01659462, 0.9957027), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:58 PM, Millisecond: 305,current eyeGaze_left: Position (-0.03221599, 0.6330175, 0.004201845), Orientation(0.08587395, 0.03043896, -0.01659462, 0.9957027), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:58 PM, Millisecond: 320,current eyeGaze_left: Position (-0.03221599, 0.6330175, 0.004201845), Orientation(0.08587395, 0.03043896, -0.01659462, 0.9957027), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:58 PM, Millisecond: 333,current eyeGaze_left: Position (-0.03195642, 0.6333171, 0.004354282), Orientation(0.09994788, 0.008243242, -0.01864189, 0.9947839), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:58 PM, Millisecond: 347,current eyeGaze_left: Position (-0.03195642, 0.6333171, 0.004354282), Orientation(0.09994788, 0.008243242, -0.01864189, 0.9947839), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:58 PM, Millisecond: 360,current eyeGaze_left: Position (-0.03185659, 0.63348, 0.004467264), Orientation(0.1101876, 0.006018959, -0.01865198, 0.9937176), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:58 PM, Millisecond: 375,current eyeGaze_left: Position (-0.03185659, 0.63348, 0.004467264), Orientation(0.1101876, 0.006018959, -0.01865198, 0.9937176), Confidence: 0.9980469

Timestamp: 2/4/2025 5:50:58 PM, Millisecond: 389,current eyeGaze_left: Position (-0.03185659, 0.63348, 0.004467264), Orientation(0.1101876, 0.006018959, -0.01865198, 0.9937176), Confidence: 0.9980469

