
Timestamp: 11/24/2024 2:01:55 PM, Millisecond: 882,current eyeGaze_left: Position (0.02385195, 1.083684, -0.01505245), Orientation(0.1254908, 0.002503267, -0.01696262, 0.9919466), Confidence: 0.5

Timestamp: 11/24/2024 2:01:55 PM, Millisecond: 896,current eyeGaze_left: Position (0.02385195, 1.083684, -0.01505245), Orientation(0.1254908, 0.002503267, -0.01696262, 0.9919466), Confidence: 0.5

Timestamp: 11/24/2024 2:01:55 PM, Millisecond: 910,current eyeGaze_left: Position (0.02385195, 1.083684, -0.01505245), Orientation(0.1254908, 0.002503267, -0.01696262, 0.9919466), Confidence: 0.5

Timestamp: 11/24/2024 2:01:55 PM, Millisecond: 923,current eyeGaze_left: Position (0.02383406, 1.083522, -0.01521274), Orientation(0.1262531, 0.001914608, -0.01710742, 0.9918486), Confidence: 0.5

Timestamp: 11/24/2024 2:01:55 PM, Millisecond: 938,current eyeGaze_left: Position (0.02383406, 1.083522, -0.01521274), Orientation(0.1262531, 0.001914608, -0.01710742, 0.9918486), Confidence: 0.5

Timestamp: 11/24/2024 2:01:55 PM, Millisecond: 951,current eyeGaze_left: Position (0.02396113, 1.083334, -0.01541651), Orientation(0.127348, -0.001562408, -0.01739241, 0.9917044), Confidence: 0.5

Timestamp: 11/24/2024 2:01:55 PM, Millisecond: 966,current eyeGaze_left: Position (0.02396113, 1.083334, -0.01541651), Orientation(0.127348, -0.001562408, -0.01739241, 0.9917044), Confidence: 0.5

Timestamp: 11/24/2024 2:01:55 PM, Millisecond: 979,current eyeGaze_left: Position (0.02412082, 1.083226, -0.01563488), Orientation(0.1267885, -0.003435064, -0.01750035, 0.9917693), Confidence: 0.5

Timestamp: 11/24/2024 2:01:55 PM, Millisecond: 993,current eyeGaze_left: Position (0.02412082, 1.083226, -0.01563488), Orientation(0.1267885, -0.003435064, -0.01750035, 0.9917693), Confidence: 0.5

Timestamp: 11/24/2024 2:01:56 PM, Millisecond: 7,current eyeGaze_left: Position (0.02434143, 1.083214, -0.01586318), Orientation(0.1270801, -0.004568631, -0.01757986, 0.9917262), Confidence: 0.5

Timestamp: 11/24/2024 2:01:56 PM, Millisecond: 21,current eyeGaze_left: Position (0.02434143, 1.083214, -0.01586318), Orientation(0.1270801, -0.004568631, -0.01757986, 0.9917262), Confidence: 0.5

Timestamp: 11/24/2024 2:01:56 PM, Millisecond: 35,current eyeGaze_left: Position (0.02434143, 1.083214, -0.01586318), Orientation(0.1270801, -0.004568631, -0.01757986, 0.9917262), Confidence: 0.5

Timestamp: 11/24/2024 2:01:56 PM, Millisecond: 49,current eyeGaze_left: Position (0.02457597, 1.083201, -0.01607051), Orientation(0.1281472, -0.00534505, -0.01764373, 0.9915839), Confidence: 0.5

Timestamp: 11/24/2024 2:01:56 PM, Millisecond: 63,current eyeGaze_left: Position (0.02457597, 1.083201, -0.01607051), Orientation(0.1281472, -0.00534505, -0.01764373, 0.9915839), Confidence: 0.5

Timestamp: 11/24/2024 2:01:56 PM, Millisecond: 77,current eyeGaze_left: Position (0.02457597, 1.083201, -0.01607051), Orientation(0.1281472, -0.00534505, -0.01764373, 0.9915839), Confidence: 0.5

Timestamp: 11/24/2024 2:01:56 PM, Millisecond: 90,current eyeGaze_left: Position (0.02471718, 1.083164, -0.01620012), Orientation(0.1279612, -0.004142822, -0.0175698, 0.9916149), Confidence: 0.5

Timestamp: 11/24/2024 2:01:56 PM, Millisecond: 105,current eyeGaze_left: Position (0.02471718, 1.083164, -0.01620012), Orientation(0.1279612, -0.004142822, -0.0175698, 0.9916149), Confidence: 0.5

Timestamp: 11/24/2024 2:01:56 PM, Millisecond: 118,current eyeGaze_left: Position (0.02482527, 1.083079, -0.01628086), Orientation(0.1282347, -0.004067008, -0.01764889, 0.9915785), Confidence: 0.5
