Timestamp: 10/17/2024 7:13:37 PM, Millisecond: 215,current eyeGaze_left: Position (-0.1540117, 1.098615, 0.2290037), Orientation(0.04062772, -0.06619493, -0.02435271, 0.9966817), Confidence: 0.5

Timestamp: 10/17/2024 7:13:37 PM, Millisecond: 229,current eyeGaze_left: Position (-0.1539982, 1.098622, 0.2290385), Orientation(0.04131158, -0.06699353, -0.02437258, 0.9965999), Confidence: 0.5

Timestamp: 10/17/2024 7:13:37 PM, Millisecond: 243,current eyeGaze_left: Position (-0.1539982, 1.098622, 0.2290385), Orientation(0.04131158, -0.06699353, -0.02437258, 0.9965999), Confidence: 0.5

Timestamp: 10/17/2024 7:13:37 PM, Millisecond: 257,current eyeGaze_left: Position (-0.1539831, 1.098619, 0.2290652), Orientation(0.0396963, -0.06883847, -0.02457462, 0.9965348), Confidence: 0.5

Timestamp: 10/17/2024 7:13:37 PM, Millisecond: 271,current eyeGaze_left: Position (-0.1539831, 1.098619, 0.2290652), Orientation(0.0396963, -0.06883847, -0.02457462, 0.9965348), Confidence: 0.5

Timestamp: 10/17/2024 7:13:37 PM, Millisecond: 284,current eyeGaze_left: Position (-0.1539831, 1.098619, 0.2290652), Orientation(0.0396963, -0.06883847, -0.02457462, 0.9965348), Confidence: 0.5

Timestamp: 10/17/2024 7:13:37 PM, Millisecond: 298,current eyeGaze_left: Position (-0.1539175, 1.098587, 0.2290248), Orientation(0.0398982, -0.06883733, -0.02452194, 0.9965281), Confidence: 0.5

Timestamp: 10/17/2024 7:13:37 PM, Millisecond: 312,current eyeGaze_left: Position (-0.1539175, 1.098587, 0.2290248), Orientation(0.0398982, -0.06883733, -0.02452194, 0.9965281), Confidence: 0.5

Timestamp: 10/17/2024 7:13:37 PM, Millisecond: 326,current eyeGaze_left: Position (-0.1538984, 1.098589, 0.2290311), Orientation(0.03915415, -0.07092275, -0.02482926, 0.9964036), Confidence: 0.5

Timestamp: 10/17/2024 7:13:37 PM, Millisecond: 340,current eyeGaze_left: Position (-0.1538984, 1.098589, 0.2290311), Orientation(0.03915415, -0.07092275, -0.02482926, 0.9964036), Confidence: 0.5

Timestamp: 10/17/2024 7:13:37 PM, Millisecond: 355,current eyeGaze_left: Position (-0.1538984, 1.098589, 0.2290311), Orientation(0.03915415, -0.07092275, -0.02482926, 0.9964036), Confidence: 0.5

Timestamp: 10/17/2024 7:13:37 PM, Millisecond: 368,current eyeGaze_left: Position (-0.1538641, 1.098585, 0.2290208), Orientation(0.0398143, -0.06860592, -0.02459768, 0.9965455), Confidence: 0.5

Timestamp: 10/17/2024 7:13:37 PM, Millisecond: 382,current eyeGaze_left: Position (-0.1538641, 1.098585, 0.2290208), Orientation(0.0398143, -0.06860592, -0.02459768, 0.9965455), Confidence: 0.5

Timestamp: 10/17/2024 7:13:37 PM, Millisecond: 396,current eyeGaze_left: Position (-0.1538085, 1.098593, 0.2289583), Orientation(0.04150283, -0.06830937, -0.02451725, 0.996499), Confidence: 0.5

Timestamp: 10/17/2024 7:13:37 PM, Millisecond: 410,current eyeGaze_left: Position (-0.1538085, 1.098593, 0.2289583), Orientation(0.04150283, -0.06830937, -0.02451725, 0.996499), Confidence: 0.5

Timestamp: 10/17/2024 7:13:37 PM, Millisecond: 424,current eyeGaze_left: Position (-0.153798, 1.098653, 0.2289313), Orientation(0.04276761, -0.06807059, -0.02459087, 0.9964601), Confidence: 0.5

Timestamp: 10/17/2024 7:13:37 PM, Millisecond: 438,current eyeGaze_left: Position (-0.153798, 1.098653, 0.2289313), Orientation(0.04276761, -0.06807059, -0.02459087, 0.9964601), Confidence: 0.5

Timestamp: 10/17/2024 7:13:37 PM, Millisecond: 453,current eyeGaze_left: Position (-0.153798, 1.098653, 0.2289313), Orientation(0.04276761, -0.06807059, -0.02459087, 0.9964601), Confidence: 0.5

Timestamp: 10/17/2024 7:13:37 PM, Millisecond: 466,current eyeGaze_left: Position (-0.1538279, 1.098683, 0.2289382), Orientation(0.04380939, -0.06785842, -0.02457113, 0.9964298), Confidence: 0.5

Timestamp: 10/17/2024 7:13:37 PM, Millisecond: 478,current eyeGaze_left: Position (-0.1538279, 1.098683, 0.2289382), Orientation(0.04380939, -0.06785842, -0.02457113, 0.9964298), Confidence: 0.5

Timestamp: 10/17/2024 7:13:37 PM, Millisecond: 493,current eyeGaze_left: Position (-0.1538793, 1.098681, 0.2289853), Orientation(0.0435638, -0.06788071, -0.0244874, 0.9964411), Confidence: 0.5

Timestamp: 10/17/2024 7:13:37 PM, Millisecond: 507,current eyeGaze_left: Position (-0.1538793, 1.098681, 0.2289853), Orientation(0.0435638, -0.06788071, -0.0244874, 0.9964411), Confidence: 0.5

Timestamp: 10/17/2024 7:13:37 PM, Millisecond: 522,current eyeGaze_left: Position (-0.1539132, 1.098672, 0.2290112), Orientation(0.04343353, -0.06772037, -0.02446133, 0.9964581), Confidence: 0.5

Timestamp: 10/17/2024 7:13:37 PM, Millisecond: 535,current eyeGaze_left: Position (-0.1539132, 1.098672, 0.2290112), Orientation(0.04343353, -0.06772037, -0.02446133, 0.9964581), Confidence: 0.5

Timestamp: 10/17/2024 7:13:37 PM, Millisecond: 550,current eyeGaze_left: Position (-0.1539132, 1.098672, 0.2290112), Orientation(0.04343353, -0.06772037, -0.02446133, 0.9964581), Confidence: 0.5

Timestamp: 10/17/2024 7:13:37 PM, Millisecond: 563,current eyeGaze_left: Position (-0.1539165, 1.098654, 0.2290417), Orientation(0.04418719, -0.07029307, -0.0247316, 0.9962403), Confidence: 0.5

Timestamp: 10/17/2024 7:13:37 PM, Millisecond: 577,current eyeGaze_left: Position (-0.1539165, 1.098654, 0.2290417), Orientation(0.04418719, -0.07029307, -0.0247316, 0.9962403), Confidence: 0.5

Timestamp: 10/17/2024 7:13:37 PM, Millisecond: 591,current eyeGaze_left: Position (-0.1538645, 1.098621, 0.2291102), Orientation(0.04437537, -0.07022711, -0.02473609, 0.9962366), Confidence: 0.5

Timestamp: 10/17/2024 7:13:37 PM, Millisecond: 604,current eyeGaze_left: Position (-0.1538645, 1.098621, 0.2291102), Orientation(0.04437537, -0.07022711, -0.02473609, 0.9962366), Confidence: 0.5

Timestamp: 10/17/2024 7:13:37 PM, Millisecond: 619,current eyeGaze_left: Position (-0.1538645, 1.098621, 0.2291102), Orientation(0.04437537, -0.07022711, -0.02473609, 0.9962366), Confidence: 0.5

Timestamp: 10/17/2024 7:13:37 PM, Millisecond: 632,current eyeGaze_left: Position (-0.1538108, 1.098644, 0.2291254), Orientation(0.04449353, -0.0707794, -0.02488033, 0.9961886), Confidence: 0.5

Timestamp: 10/17/2024 7:13:37 PM, Millisecond: 646,current eyeGaze_left: Position (-0.1538108, 1.098644, 0.2291254), Orientation(0.04449353, -0.0707794, -0.02488033, 0.9961886), Confidence: 0.5

