Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 537,current eyeGaze_left: Position (-0.03216733, 1.126549, 0.03842748), Orientation(0.1279769, -0.002015533, -0.0190442, 0.9915922), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 550,current eyeGaze_left: Position (-0.03216733, 1.126549, 0.03842748), Orientation(0.1279769, -0.002015533, -0.0190442, 0.9915922), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 564,current eyeGaze_left: Position (-0.03216733, 1.126549, 0.03842748), Orientation(0.1279769, -0.002015533, -0.0190442, 0.9915922), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 577,current eyeGaze_left: Position (-0.02962388, 1.127127, 0.03987543), Orientation(0.09762443, 0.02689076, -0.02049891, 0.9946488), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 590,current eyeGaze_left: Position (-0.02962388, 1.127127, 0.03987543), Orientation(0.09762443, 0.02689076, -0.02049891, 0.9946488), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 604,current eyeGaze_left: Position (-0.02681164, 1.127686, 0.04112196), Orientation(0.0927202, 0.005302029, -0.02914438, 0.9952515), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 618,current eyeGaze_left: Position (-0.02681164, 1.127686, 0.04112196), Orientation(0.0927202, 0.005302029, -0.02914438, 0.9952515), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 633,current eyeGaze_left: Position (-0.02681164, 1.127686, 0.04112196), Orientation(0.0927202, 0.005302029, -0.02914438, 0.9952515), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 646,current eyeGaze_left: Position (-0.02389476, 1.127846, 0.04219643), Orientation(0.05185105, -0.007187226, -0.03799821, 0.9979057), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 661,current eyeGaze_left: Position (-0.02389476, 1.127846, 0.04219643), Orientation(0.05185105, -0.007187226, -0.03799821, 0.9979057), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 674,current eyeGaze_left: Position (-0.0209847, 1.127621, 0.04299252), Orientation(0.03973529, -0.05051778, -0.04955376, 0.9967014), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 687,current eyeGaze_left: Position (-0.0209847, 1.127621, 0.04299252), Orientation(0.03973529, -0.05051778, -0.04955376, 0.9967014), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 702,current eyeGaze_left: Position (-0.01824633, 1.127182, 0.04374844), Orientation(0.03468855, -0.04990524, -0.05388336, 0.9966959), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 715,current eyeGaze_left: Position (-0.01824633, 1.127182, 0.04374844), Orientation(0.03468855, -0.04990524, -0.05388336, 0.9966959), Confidence: 0.5

