
Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 400,current eyeGaze_left: Position (-0.2102916, 1.139803, 0.1651191), Orientation(-0.1328738, 0.002468375, 0.04388821, -0.9901577), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 414,current eyeGaze_left: Position (-0.2102916, 1.139803, 0.1651191), Orientation(-0.1328738, 0.002468375, 0.04388821, -0.9901577), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 428,current eyeGaze_left: Position (-0.2104233, 1.139805, 0.1651649), Orientation(-0.1330284, 0.0005433144, 0.04351307, -0.9901566), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 439,current eyeGaze_left: Position (-0.2104233, 1.139805, 0.1651649), Orientation(-0.1330284, 0.0005433144, 0.04351307, -0.9901566), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 454,current eyeGaze_left: Position (-0.2104233, 1.139805, 0.1651649), Orientation(-0.1330284, 0.0005433144, 0.04351307, -0.9901566), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 468,current eyeGaze_left: Position (-0.2105246, 1.139815, 0.1652208), Orientation(-0.1366485, 0.002020537, 0.04350044, -0.9896621), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 482,current eyeGaze_left: Position (-0.2105246, 1.139815, 0.1652208), Orientation(-0.1366485, 0.002020537, 0.04350044, -0.9896621), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 496,current eyeGaze_left: Position (-0.2105818, 1.139841, 0.1652702), Orientation(-0.13553, 0.002032171, 0.04343224, -0.9898187), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 510,current eyeGaze_left: Position (-0.2105818, 1.139841, 0.1652702), Orientation(-0.13553, 0.002032171, 0.04343224, -0.9898187), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 525,current eyeGaze_left: Position (-0.2105818, 1.139841, 0.1652702), Orientation(-0.13553, 0.002032171, 0.04343224, -0.9898187), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 538,current eyeGaze_left: Position (-0.2105722, 1.139874, 0.1653151), Orientation(-0.1368416, 0.002260363, 0.04335948, -0.9896411), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 554,current eyeGaze_left: Position (-0.2105722, 1.139874, 0.1653151), Orientation(-0.1368416, 0.002260363, 0.04335948, -0.9896411), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 568,current eyeGaze_left: Position (-0.2105403, 1.13988, 0.1653585), Orientation(-0.1356577, 0.002400057, 0.0433228, -0.9898052), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 580,current eyeGaze_left: Position (-0.2105403, 1.13988, 0.1653585), Orientation(-0.1356577, 0.002400057, 0.0433228, -0.9898052), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 595,current eyeGaze_left: Position (-0.2105428, 1.139866, 0.165391), Orientation(-0.1344727, 0.002324214, 0.04327101, -0.9899693), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 607,current eyeGaze_left: Position (-0.2105428, 1.139866, 0.165391), Orientation(-0.1344727, 0.002324214, 0.04327101, -0.9899693), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 623,current eyeGaze_left: Position (-0.2105428, 1.139866, 0.165391), Orientation(-0.1344727, 0.002324214, 0.04327101, -0.9899693), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 635,current eyeGaze_left: Position (-0.2105545, 1.139846, 0.1653773), Orientation(-0.1330448, 0.002794278, 0.04332928, -0.9901584), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 649,current eyeGaze_left: Position (-0.2105545, 1.139846, 0.1653773), Orientation(-0.1330448, 0.002794278, 0.04332928, -0.9901584), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 663,current eyeGaze_left: Position (-0.2105604, 1.139822, 0.1653442), Orientation(-0.131083, 0.002496419, 0.04339506, -0.990418), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 677,current eyeGaze_left: Position (-0.2105604, 1.139822, 0.1653442), Orientation(-0.131083, 0.002496419, 0.04339506, -0.990418), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 691,current eyeGaze_left: Position (-0.2105604, 1.139822, 0.1653442), Orientation(-0.131083, 0.002496419, 0.04339506, -0.990418), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 705,current eyeGaze_left: Position (-0.2105544, 1.139841, 0.1653194), Orientation(-0.1110752, 0.01001426, 0.04505644, -0.9927395), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 721,current eyeGaze_left: Position (-0.2105544, 1.139841, 0.1653194), Orientation(-0.1110752, 0.01001426, 0.04505644, -0.9927395), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 733,current eyeGaze_left: Position (-0.2105337, 1.13984, 0.1652514), Orientation(-0.1109511, 0.01024712, 0.04495415, -0.9927557), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 748,current eyeGaze_left: Position (-0.2105337, 1.13984, 0.1652514), Orientation(-0.1109511, 0.01024712, 0.04495415, -0.9927557), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 764,current eyeGaze_left: Position (-0.2105173, 1.139824, 0.1651823), Orientation(-0.1107825, 0.01034702, 0.04482656, -0.9927793), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 776,current eyeGaze_left: Position (-0.2105173, 1.139824, 0.1651823), Orientation(-0.1107825, 0.01034702, 0.04482656, -0.9927793), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 789,current eyeGaze_left: Position (-0.2105173, 1.139824, 0.1651823), Orientation(-0.1107825, 0.01034702, 0.04482656, -0.9927793), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 802,current eyeGaze_left: Position (-0.2105293, 1.139786, 0.1651346), Orientation(-0.1095072, 0.00995669, 0.04466915, -0.9929318), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 815,current eyeGaze_left: Position (-0.2105293, 1.139786, 0.1651346), Orientation(-0.1095072, 0.00995669, 0.04466915, -0.9929318), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 831,current eyeGaze_left: Position (-0.2106396, 1.139738, 0.1651559), Orientation(-0.1093519, 0.009773149, 0.0445478, -0.9929563), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 843,current eyeGaze_left: Position (-0.2106396, 1.139738, 0.1651559), Orientation(-0.1093519, 0.009773149, 0.0445478, -0.9929563), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 857,current eyeGaze_left: Position (-0.2107405, 1.139687, 0.1651814), Orientation(-0.1081272, 0.0127616, 0.04491756, -0.9930398), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 871,current eyeGaze_left: Position (-0.2107405, 1.139687, 0.1651814), Orientation(-0.1081272, 0.0127616, 0.04491756, -0.9930398), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 886,current eyeGaze_left: Position (-0.2107405, 1.139687, 0.1651814), Orientation(-0.1081272, 0.0127616, 0.04491756, -0.9930398), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 903,current eyeGaze_left: Position (-0.2107692, 1.139662, 0.1651816), Orientation(-0.1100571, 0.01403176, 0.04504213, -0.9928049), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 914,current eyeGaze_left: Position (-0.2107692, 1.139662, 0.1651816), Orientation(-0.1100571, 0.01403176, 0.04504213, -0.9928049), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 930,current eyeGaze_left: Position (-0.2107854, 1.139691, 0.1651914), Orientation(-0.1099205, 0.01596925, 0.04528834, -0.9927797), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 942,current eyeGaze_left: Position (-0.2107854, 1.139691, 0.1651914), Orientation(-0.1099205, 0.01596925, 0.04528834, -0.9927797), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 958,current eyeGaze_left: Position (-0.2107751, 1.13974, 0.1652025), Orientation(-0.1099453, 0.01603181, 0.04535206, -0.9927731), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 970,current eyeGaze_left: Position (-0.2107751, 1.13974, 0.1652025), Orientation(-0.1099453, 0.01603181, 0.04535206, -0.9927731), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 982,current eyeGaze_left: Position (-0.2107751, 1.13974, 0.1652025), Orientation(-0.1099453, 0.01603181, 0.04535206, -0.9927731), Confidence: 0.5

Timestamp: 10/27/2024 10:54:16 AM, Millisecond: 997,current eyeGaze_left: Position (-0.2107283, 1.139766, 0.1651938), Orientation(-0.1071933, 0.01232809, 0.04499503, -0.993143), Confidence: 0.5

Timestamp: 10/27/2024 10:54:17 AM, Millisecond: 10,current eyeGaze_left: Position (-0.2107283, 1.139766, 0.1651938), Orientation(-0.1071933, 0.01232809, 0.04499503, -0.993143), Confidence: 0.5

Timestamp: 10/27/2024 10:54:17 AM, Millisecond: 25,current eyeGaze_left: Position (-0.210707, 1.139758, 0.1651829), Orientation(-0.09001436, 0.01022575, 0.04511868, -0.9948655), Confidence: 0.5

Timestamp: 10/27/2024 10:54:17 AM, Millisecond: 38,current eyeGaze_left: Position (-0.210707, 1.139758, 0.1651829), Orientation(-0.09001436, 0.01022575, 0.04511868, -0.9948655), Confidence: 0.5

Timestamp: 10/27/2024 10:54:17 AM, Millisecond: 52,current eyeGaze_left: Position (-0.210707, 1.139758, 0.1651829), Orientation(-0.09001436, 0.01022575, 0.04511868, -0.9948655), Confidence: 0.5

Timestamp: 10/27/2024 10:54:17 AM, Millisecond: 66,current eyeGaze_left: Position (-0.2106904, 1.139722, 0.1651835), Orientation(-0.08731348, 0.01022212, 0.04517611, -0.9951036), Confidence: 0.5

