Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 367,current eyeGaze_left: Position (-0.02907991, 0.6618879, 0.02828568), Orientation(0.08437179, -0.0210768, -0.0305201, 0.9957439), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 382,current eyeGaze_left: Position (-0.02907991, 0.6618879, 0.02828568), Orientation(0.08437179, -0.0210768, -0.0305201, 0.9957439), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 395,current eyeGaze_left: Position (-0.02916491, 0.6616, 0.02857001), Orientation(0.0838221, -0.01863832, -0.03108018, 0.9958215), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 409,current eyeGaze_left: Position (-0.02916491, 0.6616, 0.02857001), Orientation(0.0838221, -0.01863832, -0.03108018, 0.9958215), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 423,current eyeGaze_left: Position (-0.02940757, 0.6613687, 0.0287862), Orientation(0.08336232, -0.01761525, -0.03161766, 0.9958617), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 436,current eyeGaze_left: Position (-0.02940757, 0.6613687, 0.0287862), Orientation(0.08336232, -0.01761525, -0.03161766, 0.9958617), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 452,current eyeGaze_left: Position (-0.02940757, 0.6613687, 0.0287862), Orientation(0.08336232, -0.01761525, -0.03161766, 0.9958617), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 465,current eyeGaze_left: Position (-0.02960687, 0.6613303, 0.02907683), Orientation(0.08382016, -0.01622163, -0.03186403, 0.9958392), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 479,current eyeGaze_left: Position (-0.02960687, 0.6613303, 0.02907683), Orientation(0.08382016, -0.01622163, -0.03186403, 0.9958392), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 493,current eyeGaze_left: Position (-0.02990825, 0.6613334, 0.02929178), Orientation(0.08361094, -0.01650997, -0.03164547, 0.9958591), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 507,current eyeGaze_left: Position (-0.02990825, 0.6613334, 0.02929178), Orientation(0.08361094, -0.01650997, -0.03164547, 0.9958591), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 521,current eyeGaze_left: Position (-0.02990825, 0.6613334, 0.02929178), Orientation(0.08361094, -0.01650997, -0.03164547, 0.9958591), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 535,current eyeGaze_left: Position (-0.03027585, 0.6612371, 0.0294894), Orientation(0.08379895, -0.01655488, -0.03085795, 0.9958673), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 551,current eyeGaze_left: Position (-0.03027585, 0.6612371, 0.0294894), Orientation(0.08379895, -0.01655488, -0.03085795, 0.9958673), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 564,current eyeGaze_left: Position (-0.03063872, 0.6609591, 0.02974998), Orientation(0.08285348, -0.01522237, -0.02975312, 0.9960011), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 578,current eyeGaze_left: Position (-0.03063872, 0.6609591, 0.02974998), Orientation(0.08285348, -0.01522237, -0.02975312, 0.9960011), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 592,current eyeGaze_left: Position (-0.03113693, 0.660506, 0.03004599), Orientation(0.083165, -0.01560324, -0.02874025, 0.995999), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 605,current eyeGaze_left: Position (-0.03113693, 0.660506, 0.03004599), Orientation(0.083165, -0.01560324, -0.02874025, 0.995999), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 619,current eyeGaze_left: Position (-0.03113693, 0.660506, 0.03004599), Orientation(0.083165, -0.01560324, -0.02874025, 0.995999), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 633,current eyeGaze_left: Position (-0.03173242, 0.6600997, 0.03032466), Orientation(0.08156165, -0.0158098, -0.02783624, 0.996154), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 649,current eyeGaze_left: Position (-0.03173242, 0.6600997, 0.03032466), Orientation(0.08156165, -0.0158098, -0.02783624, 0.996154), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 662,current eyeGaze_left: Position (-0.03232057, 0.6600031, 0.03049122), Orientation(0.08295272, -0.01623398, -0.02704226, 0.9960542), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 675,current eyeGaze_left: Position (-0.03232057, 0.6600031, 0.03049122), Orientation(0.08295272, -0.01623398, -0.02704226, 0.9960542), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 690,current eyeGaze_left: Position (-0.03288836, 0.6600187, 0.03056397), Orientation(0.08381013, -0.01617522, -0.0260731, 0.9960092), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 703,current eyeGaze_left: Position (-0.03288836, 0.6600187, 0.03056397), Orientation(0.08381013, -0.01617522, -0.0260731, 0.9960092), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 718,current eyeGaze_left: Position (-0.03288836, 0.6600187, 0.03056397), Orientation(0.08381013, -0.01617522, -0.0260731, 0.9960092), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 731,current eyeGaze_left: Position (-0.03343964, 0.6600095, 0.03051901), Orientation(0.08453488, -0.01904949, -0.02517484, 0.9959204), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 746,current eyeGaze_left: Position (-0.03343964, 0.6600095, 0.03051901), Orientation(0.08453488, -0.01904949, -0.02517484, 0.9959204), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 760,current eyeGaze_left: Position (-0.03390619, 0.6599733, 0.03042842), Orientation(0.08456727, -0.01811547, -0.02377254, 0.9959695), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 773,current eyeGaze_left: Position (-0.03390619, 0.6599733, 0.03042842), Orientation(0.08456727, -0.01811547, -0.02377254, 0.9959695), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 789,current eyeGaze_left: Position (-0.03390619, 0.6599733, 0.03042842), Orientation(0.08456727, -0.01811547, -0.02377254, 0.9959695), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 802,current eyeGaze_left: Position (-0.03432546, 0.6599157, 0.03031031), Orientation(0.08465303, -0.01887164, -0.02281905, 0.9959705), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 817,current eyeGaze_left: Position (-0.03432546, 0.6599157, 0.03031031), Orientation(0.08465303, -0.01887164, -0.02281905, 0.9959705), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 830,current eyeGaze_left: Position (-0.03474655, 0.6599044, 0.0301557), Orientation(0.09906372, -0.0187223, -0.0225791, 0.9946486), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 845,current eyeGaze_left: Position (-0.03474655, 0.6599044, 0.0301557), Orientation(0.09906372, -0.0187223, -0.0225791, 0.9946486), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 858,current eyeGaze_left: Position (-0.03504675, 0.6599381, 0.02995453), Orientation(0.09894946, -0.01811355, -0.02293711, 0.9946632), Confidence: 0.9980469

