Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 319,current eyeGaze_left: Position (-0.1109624, 1.005955, 0.2138286), Orientation(0.144592, -0.04498094, 0.003610038, 0.988462), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 332,current eyeGaze_left: Position (-0.1109624, 1.005955, 0.2138286), Orientation(0.144592, -0.04498094, 0.003610038, 0.988462), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 347,current eyeGaze_left: Position (-0.1109001, 1.006301, 0.2137558), Orientation(0.1444173, -0.04365187, 0.003704212, 0.9885467), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 361,current eyeGaze_left: Position (-0.1109001, 1.006301, 0.2137558), Orientation(0.1444173, -0.04365187, 0.003704212, 0.9885467), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 376,current eyeGaze_left: Position (-0.1109001, 1.006301, 0.2137558), Orientation(0.1444173, -0.04365187, 0.003704212, 0.9885467), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 389,current eyeGaze_left: Position (-0.1108971, 1.006442, 0.2138029), Orientation(0.1446059, -0.04385555, 0.003511489, 0.9885108), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 403,current eyeGaze_left: Position (-0.1108971, 1.006442, 0.2138029), Orientation(0.1446059, -0.04385555, 0.003511489, 0.9885108), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 417,current eyeGaze_left: Position (-0.1109646, 1.006454, 0.2139766), Orientation(0.140634, -0.04404155, 0.003011186, 0.9890772), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 431,current eyeGaze_left: Position (-0.1109646, 1.006454, 0.2139766), Orientation(0.140634, -0.04404155, 0.003011186, 0.9890772), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 445,current eyeGaze_left: Position (-0.1110826, 1.006428, 0.2142582), Orientation(0.1409108, -0.04425745, 0.002584882, 0.9890291), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 459,current eyeGaze_left: Position (-0.1110826, 1.006428, 0.2142582), Orientation(0.1409108, -0.04425745, 0.002584882, 0.9890291), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 474,current eyeGaze_left: Position (-0.1110826, 1.006428, 0.2142582), Orientation(0.1409108, -0.04425745, 0.002584882, 0.9890291), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 488,current eyeGaze_left: Position (-0.111205, 1.006537, 0.2144062), Orientation(0.1418526, -0.04587054, 0.002267241, 0.988822), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 501,current eyeGaze_left: Position (-0.111205, 1.006537, 0.2144062), Orientation(0.1418526, -0.04587054, 0.002267241, 0.988822), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 516,current eyeGaze_left: Position (-0.111205, 1.006537, 0.2144062), Orientation(0.1418526, -0.04587054, 0.002267241, 0.988822), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 529,current eyeGaze_left: Position (-0.1112771, 1.006678, 0.2145214), Orientation(0.14251, -0.04673429, 0.002138251, 0.9886872), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 543,current eyeGaze_left: Position (-0.1113134, 1.006818, 0.2145855), Orientation(0.1402266, -0.04348569, 0.002701397, 0.9891604), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 557,current eyeGaze_left: Position (-0.1113134, 1.006818, 0.2145855), Orientation(0.1402266, -0.04348569, 0.002701397, 0.9891604), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 572,current eyeGaze_left: Position (-0.1113134, 1.006818, 0.2145855), Orientation(0.1402266, -0.04348569, 0.002701397, 0.9891604), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 587,current eyeGaze_left: Position (-0.1113984, 1.006959, 0.2146476), Orientation(0.1407499, -0.04193412, 0.003445649, 0.9891508), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 599,current eyeGaze_left: Position (-0.1113984, 1.006959, 0.2146476), Orientation(0.1407499, -0.04193412, 0.003445649, 0.9891508), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 615,current eyeGaze_left: Position (-0.1115166, 1.006986, 0.2147285), Orientation(0.1410171, -0.04168001, 0.003969986, 0.9891215), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 627,current eyeGaze_left: Position (-0.1115166, 1.006986, 0.2147285), Orientation(0.1410171, -0.04168001, 0.003969986, 0.9891215), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 641,current eyeGaze_left: Position (-0.1115166, 1.006986, 0.2147285), Orientation(0.1410171, -0.04168001, 0.003969986, 0.9891215), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 656,current eyeGaze_left: Position (-0.111645, 1.006845, 0.2148639), Orientation(0.1411775, -0.04198663, 0.004289384, 0.9890842), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 669,current eyeGaze_left: Position (-0.111645, 1.006845, 0.2148639), Orientation(0.1411775, -0.04198663, 0.004289384, 0.9890842), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 685,current eyeGaze_left: Position (-0.1117117, 1.006715, 0.214897), Orientation(0.140547, -0.04172809, 0.00448116, 0.9891843), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 697,current eyeGaze_left: Position (-0.1117117, 1.006715, 0.214897), Orientation(0.140547, -0.04172809, 0.00448116, 0.9891843), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 711,current eyeGaze_left: Position (-0.1116849, 1.00657, 0.2148866), Orientation(0.1399726, -0.04156366, 0.004602648, 0.989272), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 725,current eyeGaze_left: Position (-0.1116849, 1.00657, 0.2148866), Orientation(0.1399726, -0.04156366, 0.004602648, 0.989272), Confidence: 0.5

