Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 112,current eyeGaze_left: Position (-0.01297097, 0.6795053, 0.03600003), Orientation(0.03096827, -0.02067452, -0.001647303, 0.9993052), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 126,current eyeGaze_left: Position (-0.0127143, 0.67971, 0.03614725), Orientation(0.03182252, -0.02090627, -0.002880018, 0.9992706), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 141,current eyeGaze_left: Position (-0.0127143, 0.67971, 0.03614725), Orientation(0.03182252, -0.02090627, -0.002880018, 0.9992706), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 155,current eyeGaze_left: Position (-0.0127143, 0.67971, 0.03614725), Orientation(0.03182252, -0.02090627, -0.002880018, 0.9992706), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 167,current eyeGaze_left: Position (-0.0123499, 0.6798593, 0.03630297), Orientation(0.03215906, -0.02183885, -0.003321995, 0.9992387), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 182,current eyeGaze_left: Position (-0.0123499, 0.6798593, 0.03630297), Orientation(0.03215906, -0.02183885, -0.003321995, 0.9992387), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 196,current eyeGaze_left: Position (-0.01197094, 0.6799869, 0.0364661), Orientation(0.02873361, -0.01908354, -0.003539593, 0.9993988), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 209,current eyeGaze_left: Position (-0.01197094, 0.6799869, 0.0364661), Orientation(0.02873361, -0.01908354, -0.003539593, 0.9993988), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 224,current eyeGaze_left: Position (-0.01173461, 0.6801715, 0.03665028), Orientation(0.02879501, -0.0207109, -0.00387172, 0.9993633), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 238,current eyeGaze_left: Position (-0.01173461, 0.6801715, 0.03665028), Orientation(0.02879501, -0.0207109, -0.00387172, 0.9993633), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 253,current eyeGaze_left: Position (-0.01173461, 0.6801715, 0.03665028), Orientation(0.02879501, -0.0207109, -0.00387172, 0.9993633), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 267,current eyeGaze_left: Position (-0.0115388, 0.680308, 0.03689793), Orientation(0.02911903, -0.02334922, -0.00420033, 0.9992944), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 281,current eyeGaze_left: Position (-0.0115388, 0.680308, 0.03689793), Orientation(0.02911903, -0.02334922, -0.00420033, 0.9992944), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 294,current eyeGaze_left: Position (-0.011434, 0.6804662, 0.03720764), Orientation(0.03236213, -0.02492097, -0.004377138, 0.9991559), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 307,current eyeGaze_left: Position (-0.011434, 0.6804662, 0.03720764), Orientation(0.03236213, -0.02492097, -0.004377138, 0.9991559), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 322,current eyeGaze_left: Position (-0.01152126, 0.6806658, 0.03753459), Orientation(0.03919367, -0.01128684, -0.004045747, 0.9991597), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 335,current eyeGaze_left: Position (-0.01152126, 0.6806658, 0.03753459), Orientation(0.03919367, -0.01128684, -0.004045747, 0.9991597), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 351,current eyeGaze_left: Position (-0.01152126, 0.6806658, 0.03753459), Orientation(0.03919367, -0.01128684, -0.004045747, 0.9991597), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 364,current eyeGaze_left: Position (-0.01167673, 0.6809426, 0.03792332), Orientation(0.04227185, -0.011883, -0.003693218, 0.9990287), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 378,current eyeGaze_left: Position (-0.01167673, 0.6809426, 0.03792332), Orientation(0.04227185, -0.011883, -0.003693218, 0.9990287), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 391,current eyeGaze_left: Position (-0.01189769, 0.6813139, 0.03832309), Orientation(0.04379842, -0.01236989, -0.003173611, 0.9989588), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 404,current eyeGaze_left: Position (-0.01189769, 0.6813139, 0.03832309), Orientation(0.04379842, -0.01236989, -0.003173611, 0.9989588), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 420,current eyeGaze_left: Position (-0.01189769, 0.6813139, 0.03832309), Orientation(0.04379842, -0.01236989, -0.003173611, 0.9989588), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 433,current eyeGaze_left: Position (-0.01219093, 0.6818659, 0.03864244), Orientation(0.04263626, -0.01340894, -0.002636796, 0.9989974), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 448,current eyeGaze_left: Position (-0.01219093, 0.6818659, 0.03864244), Orientation(0.04263626, -0.01340894, -0.002636796, 0.9989974), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 461,current eyeGaze_left: Position (-0.01248726, 0.6823575, 0.03892541), Orientation(0.04351359, -0.0151333, -0.002161968, 0.9989359), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 475,current eyeGaze_left: Position (-0.01248726, 0.6823575, 0.03892541), Orientation(0.04351359, -0.0151333, -0.002161968, 0.9989359), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 489,current eyeGaze_left: Position (-0.01275723, 0.6827422, 0.0391703), Orientation(0.04515765, -0.01594499, -0.001776255, 0.998851), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 503,current eyeGaze_left: Position (-0.01275723, 0.6827422, 0.0391703), Orientation(0.04515765, -0.01594499, -0.001776255, 0.998851), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 518,current eyeGaze_left: Position (-0.01275723, 0.6827422, 0.0391703), Orientation(0.04515765, -0.01594499, -0.001776255, 0.998851), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 530,current eyeGaze_left: Position (-0.01300641, 0.6830389, 0.03943478), Orientation(0.04477118, -0.01646703, -0.001882247, 0.9988598), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 545,current eyeGaze_left: Position (-0.01300641, 0.6830389, 0.03943478), Orientation(0.04477118, -0.01646703, -0.001882247, 0.9988598), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 559,current eyeGaze_left: Position (-0.01310315, 0.6832736, 0.03964861), Orientation(0.04532243, -0.02036748, -0.002194375, 0.9987624), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 572,current eyeGaze_left: Position (-0.01310315, 0.6832736, 0.03964861), Orientation(0.04532243, -0.02036748, -0.002194375, 0.9987624), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 588,current eyeGaze_left: Position (-0.01310315, 0.6832736, 0.03964861), Orientation(0.04532243, -0.02036748, -0.002194375, 0.9987624), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 600,current eyeGaze_left: Position (-0.013111, 0.6834789, 0.03982467), Orientation(0.04457623, -0.02267702, -0.002386471, 0.9987457), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 614,current eyeGaze_left: Position (-0.013111, 0.6834789, 0.03982467), Orientation(0.04457623, -0.02267702, -0.002386471, 0.9987457), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 628,current eyeGaze_left: Position (-0.01314756, 0.6835685, 0.04003081), Orientation(0.04340043, -0.02435881, -0.002346704, 0.9987579), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 642,current eyeGaze_left: Position (-0.01314756, 0.6835685, 0.04003081), Orientation(0.04340043, -0.02435881, -0.002346704, 0.9987579), Confidence: 0.9980469

