Timestamp: 10/27/2024 10:46:48 AM, Millisecond: 854,current eyeGaze_left: Position (-0.2561866, 1.140204, 0.1568845), Orientation(-0.125663, 0.02786379, 0.005885433, -0.9916642), Confidence: 0.5

Timestamp: 10/27/2024 10:46:48 AM, Millisecond: 868,current eyeGaze_left: Position (-0.2562028, 1.140128, 0.1568603), Orientation(-0.1275206, 0.02760297, 0.005622902, -0.9914359), Confidence: 0.5

Timestamp: 10/27/2024 10:46:48 AM, Millisecond: 881,current eyeGaze_left: Position (-0.2562028, 1.140128, 0.1568603), Orientation(-0.1275206, 0.02760297, 0.005622902, -0.9914359), Confidence: 0.5

Timestamp: 10/27/2024 10:46:48 AM, Millisecond: 896,current eyeGaze_left: Position (-0.2562661, 1.140151, 0.156786), Orientation(-0.1277432, 0.02756368, 0.005380242, -0.9914095), Confidence: 0.5

Timestamp: 10/27/2024 10:46:48 AM, Millisecond: 910,current eyeGaze_left: Position (-0.2562661, 1.140151, 0.156786), Orientation(-0.1277432, 0.02756368, 0.005380242, -0.9914095), Confidence: 0.5

Timestamp: 10/27/2024 10:46:48 AM, Millisecond: 924,current eyeGaze_left: Position (-0.2562661, 1.140151, 0.156786), Orientation(-0.1277432, 0.02756368, 0.005380242, -0.9914095), Confidence: 0.5

Timestamp: 10/27/2024 10:46:48 AM, Millisecond: 938,current eyeGaze_left: Position (-0.2564229, 1.140127, 0.1567529), Orientation(-0.1279144, 0.02966416, 0.005667541, -0.9913254), Confidence: 0.5

Timestamp: 10/27/2024 10:46:48 AM, Millisecond: 951,current eyeGaze_left: Position (-0.2564229, 1.140127, 0.1567529), Orientation(-0.1279144, 0.02966416, 0.005667541, -0.9913254), Confidence: 0.5

Timestamp: 10/27/2024 10:46:48 AM, Millisecond: 966,current eyeGaze_left: Position (-0.2565709, 1.140112, 0.1567587), Orientation(-0.1281263, 0.02962722, 0.005710701, -0.9912989), Confidence: 0.5

Timestamp: 10/27/2024 10:46:48 AM, Millisecond: 980,current eyeGaze_left: Position (-0.2565709, 1.140112, 0.1567587), Orientation(-0.1281263, 0.02962722, 0.005710701, -0.9912989), Confidence: 0.5

Timestamp: 10/27/2024 10:46:48 AM, Millisecond: 994,current eyeGaze_left: Position (-0.2565709, 1.140112, 0.1567587), Orientation(-0.1281263, 0.02962722, 0.005710701, -0.9912989), Confidence: 0.5

Timestamp: 10/27/2024 10:46:49 AM, Millisecond: 22,current eyeGaze_left: Position (-0.2566208, 1.140145, 0.156714), Orientation(-0.128057, 0.02960543, 0.00585291, -0.9913077), Confidence: 0.5

Timestamp: 10/27/2024 10:46:49 AM, Millisecond: 34,current eyeGaze_left: Position (-0.2566084, 1.140121, 0.1567009), Orientation(-0.1244713, 0.03017999, 0.005925791, -0.9917464), Confidence: 0.5

Timestamp: 10/27/2024 10:46:49 AM, Millisecond: 47,current eyeGaze_left: Position (-0.2566084, 1.140121, 0.1567009), Orientation(-0.1244713, 0.03017999, 0.005925791, -0.9917464), Confidence: 0.5

