Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 487,current eyeGaze_left: Position (-0.07452585, 1.111512, 0.1065612), Orientation(0.1765795, -0.0466986, 0.01690898, 0.9830326), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 500,current eyeGaze_left: Position (-0.0744056, 1.111483, 0.1065228), Orientation(0.1741081, -0.04710049, 0.01675778, 0.9834568), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 514,current eyeGaze_left: Position (-0.0744056, 1.111483, 0.1065228), Orientation(0.1741081, -0.04710049, 0.01675778, 0.9834568), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 529,current eyeGaze_left: Position (-0.0744056, 1.111483, 0.1065228), Orientation(0.1741081, -0.04710049, 0.01675778, 0.9834568), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 542,current eyeGaze_left: Position (-0.07422589, 1.111383, 0.1064685), Orientation(0.158709, -0.1266811, 0.004020948, 0.9791564), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 556,current eyeGaze_left: Position (-0.07422589, 1.111383, 0.1064685), Orientation(0.158709, -0.1266811, 0.004020948, 0.9791564), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 571,current eyeGaze_left: Position (-0.07397286, 1.11131, 0.1063267), Orientation(0.1582564, -0.1324272, 0.003043558, 0.9784726), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 584,current eyeGaze_left: Position (-0.07397286, 1.11131, 0.1063267), Orientation(0.1582564, -0.1324272, 0.003043558, 0.9784726), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 598,current eyeGaze_left: Position (-0.07397286, 1.11131, 0.1063267), Orientation(0.1582564, -0.1324272, 0.003043558, 0.9784726), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 612,current eyeGaze_left: Position (-0.07371034, 1.111282, 0.10608), Orientation(0.1581268, -0.1335624, 0.00301367, 0.9783393), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 626,current eyeGaze_left: Position (-0.07371034, 1.111282, 0.10608), Orientation(0.1581268, -0.1335624, 0.00301367, 0.9783393), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 640,current eyeGaze_left: Position (-0.07352631, 1.111351, 0.1059866), Orientation(0.1599251, -0.1319745, 0.003150206, 0.9782621), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 654,current eyeGaze_left: Position (-0.07352631, 1.111351, 0.1059866), Orientation(0.1599251, -0.1319745, 0.003150206, 0.9782621), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 668,current eyeGaze_left: Position (-0.07345836, 1.111427, 0.1059299), Orientation(0.1610212, -0.1294903, 0.003475485, 0.9784132), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 681,current eyeGaze_left: Position (-0.07345836, 1.111427, 0.1059299), Orientation(0.1610212, -0.1294903, 0.003475485, 0.9784132), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 697,current eyeGaze_left: Position (-0.07345836, 1.111427, 0.1059299), Orientation(0.1610212, -0.1294903, 0.003475485, 0.9784132), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 710,current eyeGaze_left: Position (-0.07344449, 1.111489, 0.1058695), Orientation(0.1611328, -0.1269803, 0.004073603, 0.9787216), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 723,current eyeGaze_left: Position (-0.07344449, 1.111489, 0.1058695), Orientation(0.1611328, -0.1269803, 0.004073603, 0.9787216), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 738,current eyeGaze_left: Position (-0.07350701, 1.111397, 0.1058022), Orientation(0.1628641, -0.1263265, 0.004263639, 0.9785188), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 751,current eyeGaze_left: Position (-0.07350701, 1.111397, 0.1058022), Orientation(0.1628641, -0.1263265, 0.004263639, 0.9785188), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 765,current eyeGaze_left: Position (-0.07350701, 1.111397, 0.1058022), Orientation(0.1628641, -0.1263265, 0.004263639, 0.9785188), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 780,current eyeGaze_left: Position (-0.07350002, 1.111251, 0.1056728), Orientation(0.1598917, -0.1247743, 0.004711716, 0.9792057), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 794,current eyeGaze_left: Position (-0.07350002, 1.111251, 0.1056728), Orientation(0.1598917, -0.1247743, 0.004711716, 0.9792057), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 807,current eyeGaze_left: Position (-0.07341534, 1.111054, 0.1054925), Orientation(0.1594119, -0.1227172, 0.005447758, 0.9795402), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 821,current eyeGaze_left: Position (-0.07341534, 1.111054, 0.1054925), Orientation(0.1594119, -0.1227172, 0.005447758, 0.9795402), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 836,current eyeGaze_left: Position (-0.07339287, 1.110878, 0.105281), Orientation(0.1588362, -0.1228741, 0.005921382, 0.9796112), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 849,current eyeGaze_left: Position (-0.07339287, 1.110878, 0.105281), Orientation(0.1588362, -0.1228741, 0.005921382, 0.9796112), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 863,current eyeGaze_left: Position (-0.07339287, 1.110878, 0.105281), Orientation(0.1588362, -0.1228741, 0.005921382, 0.9796112), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 877,current eyeGaze_left: Position (-0.07340644, 1.110703, 0.1050295), Orientation(0.1585897, -0.1218224, 0.00662338, 0.9797779), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 891,current eyeGaze_left: Position (-0.07340644, 1.110703, 0.1050295), Orientation(0.1585897, -0.1218224, 0.00662338, 0.9797779), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 905,current eyeGaze_left: Position (-0.0734355, 1.110543, 0.1046945), Orientation(0.1581087, -0.1225017, 0.007020803, 0.9797682), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 918,current eyeGaze_left: Position (-0.0734355, 1.110543, 0.1046945), Orientation(0.1581087, -0.1225017, 0.007020803, 0.9797682), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 933,current eyeGaze_left: Position (-0.0734355, 1.110543, 0.1046945), Orientation(0.1581087, -0.1225017, 0.007020803, 0.9797682), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 947,current eyeGaze_left: Position (-0.07344138, 1.110345, 0.104423), Orientation(0.1568591, -0.1229794, 0.007327368, 0.9799069), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 961,current eyeGaze_left: Position (-0.07344138, 1.110345, 0.104423), Orientation(0.1568591, -0.1229794, 0.007327368, 0.9799069), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 974,current eyeGaze_left: Position (-0.07346876, 1.110119, 0.1041622), Orientation(0.1410469, -0.1591095, 0.002166221, 0.9771311), Confidence: 0.5

Timestamp: 11/2/2024 9:05:33 PM, Millisecond: 988,current eyeGaze_left: Position (-0.07346876, 1.110119, 0.1041622), Orientation(0.1410469, -0.1591095, 0.002166221, 0.9771311), Confidence: 0.5

Timestamp: 11/2/2024 9:05:34 PM, Millisecond: 2,current eyeGaze_left: Position (-0.07351877, 1.109871, 0.1039334), Orientation(0.1223621, -0.1886478, -0.002071999, 0.9743898), Confidence: 0.5

Timestamp: 11/2/2024 9:05:34 PM, Millisecond: 16,current eyeGaze_left: Position (-0.07351877, 1.109871, 0.1039334), Orientation(0.1223621, -0.1886478, -0.002071999, 0.9743898), Confidence: 0.5

Timestamp: 11/2/2024 9:05:34 PM, Millisecond: 30,current eyeGaze_left: Position (-0.07351877, 1.109871, 0.1039334), Orientation(0.1223621, -0.1886478, -0.002071999, 0.9743898), Confidence: 0.5

Timestamp: 11/2/2024 9:05:34 PM, Millisecond: 43,current eyeGaze_left: Position (-0.07351336, 1.109682, 0.1036852), Orientation(0.1201765, -0.1886246, -0.001894498, 0.9746665), Confidence: 0.5

Timestamp: 11/2/2024 9:05:34 PM, Millisecond: 57,current eyeGaze_left: Position (-0.07351336, 1.109682, 0.1036852), Orientation(0.1201765, -0.1886246, -0.001894498, 0.9746665), Confidence: 0.5

Timestamp: 11/2/2024 9:05:34 PM, Millisecond: 71,current eyeGaze_left: Position (-0.07339094, 1.109522, 0.1034069), Orientation(0.1191479, -0.1844982, -0.001320878, 0.9755833), Confidence: 0.5

Timestamp: 11/2/2024 9:05:34 PM, Millisecond: 84,current eyeGaze_left: Position (-0.07339094, 1.109522, 0.1034069), Orientation(0.1191479, -0.1844982, -0.001320878, 0.9755833), Confidence: 0.5

Timestamp: 11/2/2024 9:05:34 PM, Millisecond: 99,current eyeGaze_left: Position (-0.07339094, 1.109522, 0.1034069), Orientation(0.1191479, -0.1844982, -0.001320878, 0.9755833), Confidence: 0.5

Timestamp: 11/2/2024 9:05:34 PM, Millisecond: 113,current eyeGaze_left: Position (-0.07311938, 1.109399, 0.1030525), Orientation(0.1181376, -0.1852168, -0.001185127, 0.97557), Confidence: 0.5

Timestamp: 11/2/2024 9:05:34 PM, Millisecond: 127,current eyeGaze_left: Position (-0.07311938, 1.109399, 0.1030525), Orientation(0.1181376, -0.1852168, -0.001185127, 0.97557), Confidence: 0.5

Timestamp: 11/2/2024 9:05:34 PM, Millisecond: 140,current eyeGaze_left: Position (-0.07276981, 1.109346, 0.1027345), Orientation(0.1173623, -0.1807999, -0.0002177842, 0.9764925), Confidence: 0.5

Timestamp: 11/2/2024 9:05:34 PM, Millisecond: 154,current eyeGaze_left: Position (-0.07276981, 1.109346, 0.1027345), Orientation(0.1173623, -0.1807999, -0.0002177842, 0.9764925), Confidence: 0.5

Timestamp: 11/2/2024 9:05:34 PM, Millisecond: 168,current eyeGaze_left: Position (-0.07250031, 1.109342, 0.1024629), Orientation(0.1154546, -0.1817247, -0.0004021004, 0.9765481), Confidence: 0.5

Timestamp: 11/2/2024 9:05:34 PM, Millisecond: 181,current eyeGaze_left: Position (-0.07250031, 1.109342, 0.1024629), Orientation(0.1154546, -0.1817247, -0.0004021004, 0.9765481), Confidence: 0.5

Timestamp: 11/2/2024 9:05:34 PM, Millisecond: 197,current eyeGaze_left: Position (-0.07250031, 1.109342, 0.1024629), Orientation(0.1154546, -0.1817247, -0.0004021004, 0.9765481), Confidence: 0.5

Timestamp: 11/2/2024 9:05:34 PM, Millisecond: 223,current eyeGaze_left: Position (-0.07229513, 1.109311, 0.102246), Orientation(0.09178839, -0.2009832, -0.003292091, 0.9752794), Confidence: 0.5

