
Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 152,current eyeGaze_left: Position (0.002460666, 1.088664, -0.005125058), Orientation(0.1302455, -0.00923031, -0.01516299, 0.9913229), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 166,current eyeGaze_left: Position (0.002460666, 1.088664, -0.005125058), Orientation(0.1302455, -0.00923031, -0.01516299, 0.9913229), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 180,current eyeGaze_left: Position (0.002437439, 1.088602, -0.005183091), Orientation(0.1263353, -0.01069759, -0.01508369, 0.9918151), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 194,current eyeGaze_left: Position (0.002437439, 1.088602, -0.005183091), Orientation(0.1263353, -0.01069759, -0.01508369, 0.9918151), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 208,current eyeGaze_left: Position (0.002437439, 1.088602, -0.005183091), Orientation(0.1263353, -0.01069759, -0.01508369, 0.9918151), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 223,current eyeGaze_left: Position (0.002353352, 1.088502, -0.005218314), Orientation(0.1174128, -0.01072555, -0.01460009, 0.992918), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 236,current eyeGaze_left: Position (0.002353352, 1.088502, -0.005218314), Orientation(0.1174128, -0.01072555, -0.01460009, 0.992918), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 250,current eyeGaze_left: Position (0.002189819, 1.088375, -0.005210526), Orientation(0.1157616, -0.01051897, -0.01452814, 0.9931151), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 264,current eyeGaze_left: Position (0.002189819, 1.088375, -0.005210526), Orientation(0.1157616, -0.01051897, -0.01452814, 0.9931151), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 278,current eyeGaze_left: Position (0.002189819, 1.088375, -0.005210526), Orientation(0.1157616, -0.01051897, -0.01452814, 0.9931151), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 292,current eyeGaze_left: Position (0.002089422, 1.088332, -0.005275996), Orientation(0.1151947, -0.009851263, -0.01432289, 0.9931908), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 306,current eyeGaze_left: Position (0.002089422, 1.088332, -0.005275996), Orientation(0.1151947, -0.009851263, -0.01432289, 0.9931908), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 320,current eyeGaze_left: Position (0.001990732, 1.088321, -0.005367814), Orientation(0.1155912, -0.009640337, -0.0142014, 0.9931486), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 333,current eyeGaze_left: Position (0.001990732, 1.088321, -0.005367814), Orientation(0.1155912, -0.009640337, -0.0142014, 0.9931486), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 348,current eyeGaze_left: Position (0.001880206, 1.088353, -0.005501916), Orientation(0.1157667, -0.01079912, -0.01417101, 0.9931165), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 361,current eyeGaze_left: Position (0.001880206, 1.088353, -0.005501916), Orientation(0.1157667, -0.01079912, -0.01417101, 0.9931165), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 376,current eyeGaze_left: Position (0.001712982, 1.088314, -0.005569739), Orientation(0.1161881, -0.01175419, -0.0140898, 0.9930577), Confidence: 0.5

