Timestamp: 11/24/2024 4:13:30 PM, Millisecond: 658,current eyeGaze_left: Position (0.1172912, 1.001354, 0.3798903), Orientation(0.1200116, 0.02429565, -0.00215908, 0.9924729), Confidence: 0.5

Timestamp: 11/24/2024 4:13:30 PM, Millisecond: 671,current eyeGaze_left: Position (0.117152, 1.001371, 0.3799099), Orientation(0.1202289, 0.02465348, -0.001981866, 0.9924382), Confidence: 0.5

Timestamp: 11/24/2024 4:13:30 PM, Millisecond: 685,current eyeGaze_left: Position (0.117152, 1.001371, 0.3799099), Orientation(0.1202289, 0.02465348, -0.001981866, 0.9924382), Confidence: 0.5

Timestamp: 11/24/2024 4:13:30 PM, Millisecond: 700,current eyeGaze_left: Position (0.117152, 1.001371, 0.3799099), Orientation(0.1202289, 0.02465348, -0.001981866, 0.9924382), Confidence: 0.5

Timestamp: 11/24/2024 4:13:30 PM, Millisecond: 713,current eyeGaze_left: Position (0.1169656, 1.001465, 0.3799908), Orientation(0.1223668, 0.02090385, -0.002281498, 0.9922622), Confidence: 0.5

Timestamp: 11/24/2024 4:13:30 PM, Millisecond: 727,current eyeGaze_left: Position (0.1169656, 1.001465, 0.3799908), Orientation(0.1223668, 0.02090385, -0.002281498, 0.9922622), Confidence: 0.5

Timestamp: 11/24/2024 4:13:30 PM, Millisecond: 741,current eyeGaze_left: Position (0.1167868, 1.001559, 0.3800724), Orientation(0.1228817, 0.02118339, -0.002035901, 0.9921933), Confidence: 0.5

Timestamp: 11/24/2024 4:13:30 PM, Millisecond: 755,current eyeGaze_left: Position (0.1167868, 1.001559, 0.3800724), Orientation(0.1228817, 0.02118339, -0.002035901, 0.9921933), Confidence: 0.5

Timestamp: 11/24/2024 4:13:30 PM, Millisecond: 768,current eyeGaze_left: Position (0.1167868, 1.001559, 0.3800724), Orientation(0.1228817, 0.02118339, -0.002035901, 0.9921933), Confidence: 0.5

Timestamp: 11/24/2024 4:13:30 PM, Millisecond: 782,current eyeGaze_left: Position (0.1166032, 1.001618, 0.3801409), Orientation(0.1245404, 0.02130087, -0.002040512, 0.9919839), Confidence: 0.5

Timestamp: 11/24/2024 4:13:30 PM, Millisecond: 797,current eyeGaze_left: Position (0.1166032, 1.001618, 0.3801409), Orientation(0.1245404, 0.02130087, -0.002040512, 0.9919839), Confidence: 0.5

Timestamp: 11/24/2024 4:13:30 PM, Millisecond: 810,current eyeGaze_left: Position (0.1163963, 1.001562, 0.3802148), Orientation(0.1244405, 0.02194175, -0.001830819, 0.9919829), Confidence: 0.5

Timestamp: 11/24/2024 4:13:30 PM, Millisecond: 825,current eyeGaze_left: Position (0.1163963, 1.001562, 0.3802148), Orientation(0.1244405, 0.02194175, -0.001830819, 0.9919829), Confidence: 0.5

Timestamp: 11/24/2024 4:13:30 PM, Millisecond: 838,current eyeGaze_left: Position (0.1161704, 1.001474, 0.3802891), Orientation(0.1251844, 0.0216223, -0.001729944, 0.9918965), Confidence: 0.5

Timestamp: 11/24/2024 4:13:30 PM, Millisecond: 852,current eyeGaze_left: Position (0.1161704, 1.001474, 0.3802891), Orientation(0.1251844, 0.0216223, -0.001729944, 0.9918965), Confidence: 0.5

Timestamp: 11/24/2024 4:13:30 PM, Millisecond: 867,current eyeGaze_left: Position (0.1161704, 1.001474, 0.3802891), Orientation(0.1251844, 0.0216223, -0.001729944, 0.9918965), Confidence: 0.5

Timestamp: 11/24/2024 4:13:30 PM, Millisecond: 880,current eyeGaze_left: Position (0.1159015, 1.001393, 0.3803919), Orientation(0.1251119, 0.02085601, -0.001638245, 0.9919221), Confidence: 0.5

Timestamp: 11/24/2024 4:13:30 PM, Millisecond: 894,current eyeGaze_left: Position (0.1159015, 1.001393, 0.3803919), Orientation(0.1251119, 0.02085601, -0.001638245, 0.9919221), Confidence: 0.5

Timestamp: 11/24/2024 4:13:30 PM, Millisecond: 908,current eyeGaze_left: Position (0.1155482, 1.001306, 0.3805488), Orientation(0.1248545, 0.02225189, -0.001085142, 0.991925), Confidence: 0.5

Timestamp: 11/24/2024 4:13:30 PM, Millisecond: 922,current eyeGaze_left: Position (0.1155482, 1.001306, 0.3805488), Orientation(0.1248545, 0.02225189, -0.001085142, 0.991925), Confidence: 0.5

Timestamp: 11/24/2024 4:13:30 PM, Millisecond: 936,current eyeGaze_left: Position (0.1155482, 1.001306, 0.3805488), Orientation(0.1248545, 0.02225189, -0.001085142, 0.991925), Confidence: 0.5

Timestamp: 11/24/2024 4:13:30 PM, Millisecond: 950,current eyeGaze_left: Position (0.1150151, 1.00115, 0.3807869), Orientation(0.1187165, 0.04875033, 0.002514115, 0.9917277), Confidence: 0.5

Timestamp: 11/24/2024 4:13:30 PM, Millisecond: 964,current eyeGaze_left: Position (0.1150151, 1.00115, 0.3807869), Orientation(0.1187165, 0.04875033, 0.002514115, 0.9917277), Confidence: 0.5

Timestamp: 11/24/2024 4:13:30 PM, Millisecond: 977,current eyeGaze_left: Position (0.1143324, 1.000895, 0.3810869), Orientation(0.0464104, 0.1688318, 0.01919959, 0.9843644), Confidence: 0.5

Timestamp: 11/24/2024 4:13:30 PM, Millisecond: 991,current eyeGaze_left: Position (0.1143324, 1.000895, 0.3810869), Orientation(0.0464104, 0.1688318, 0.01919959, 0.9843644), Confidence: 0.5

Timestamp: 11/24/2024 4:13:31 PM, Millisecond: 5,current eyeGaze_left: Position (0.1136401, 1.000652, 0.3813521), Orientation(0.03778007, 0.1981303, 0.02347261, 0.9791662), Confidence: 0.5

Timestamp: 11/24/2024 4:13:31 PM, Millisecond: 18,current eyeGaze_left: Position (0.1136401, 1.000652, 0.3813521), Orientation(0.03778007, 0.1981303, 0.02347261, 0.9791662), Confidence: 0.5

Timestamp: 11/24/2024 4:13:31 PM, Millisecond: 33,current eyeGaze_left: Position (0.1136401, 1.000652, 0.3813521), Orientation(0.03778007, 0.1981303, 0.02347261, 0.9791662), Confidence: 0.5

Timestamp: 11/24/2024 4:13:31 PM, Millisecond: 46,current eyeGaze_left: Position (0.113031, 1.00056, 0.3815058), Orientation(0.03469539, 0.2011468, 0.02428315, 0.9786453), Confidence: 0.5

Timestamp: 11/24/2024 4:13:31 PM, Millisecond: 60,current eyeGaze_left: Position (0.113031, 1.00056, 0.3815058), Orientation(0.03469539, 0.2011468, 0.02428315, 0.9786453), Confidence: 0.5

Timestamp: 11/24/2024 4:13:31 PM, Millisecond: 74,current eyeGaze_left: Position (0.1125874, 1.000563, 0.3815504), Orientation(0.008228444, 0.2192549, 0.02764476, 0.9752412), Confidence: 0.5

