
Timestamp: 11/2/2024 4:46:21 PM, Millisecond: 394,current eyeGaze_left: Position (0.1175992, 1.058661, 0.221065), Orientation(0.06666303, 0.05935471, -0.04182282, 0.9951302), Confidence: 0.5

Timestamp: 11/2/2024 4:46:21 PM, Millisecond: 409,current eyeGaze_left: Position (0.1175131, 1.058668, 0.2211188), Orientation(0.06582209, 0.05934346, -0.04180334, 0.9951875), Confidence: 0.5

Timestamp: 11/2/2024 4:46:21 PM, Millisecond: 422,current eyeGaze_left: Position (0.1175131, 1.058668, 0.2211188), Orientation(0.06582209, 0.05934346, -0.04180334, 0.9951875), Confidence: 0.5

Timestamp: 11/2/2024 4:46:21 PM, Millisecond: 436,current eyeGaze_left: Position (0.1175131, 1.058668, 0.2211188), Orientation(0.06582209, 0.05934346, -0.04180334, 0.9951875), Confidence: 0.5

Timestamp: 11/2/2024 4:46:21 PM, Millisecond: 451,current eyeGaze_left: Position (0.1174037, 1.05868, 0.221123), Orientation(0.06404261, 0.05396371, -0.04225667, 0.9955907), Confidence: 0.5

Timestamp: 11/2/2024 4:46:21 PM, Millisecond: 464,current eyeGaze_left: Position (0.1174037, 1.05868, 0.221123), Orientation(0.06404261, 0.05396371, -0.04225667, 0.9955907), Confidence: 0.5

Timestamp: 11/2/2024 4:46:21 PM, Millisecond: 479,current eyeGaze_left: Position (0.1173062, 1.058731, 0.221221), Orientation(0.06429298, 0.0539738, -0.04203401, 0.9955834), Confidence: 0.5

Timestamp: 11/2/2024 4:46:21 PM, Millisecond: 492,current eyeGaze_left: Position (0.1173062, 1.058731, 0.221221), Orientation(0.06429298, 0.0539738, -0.04203401, 0.9955834), Confidence: 0.5

Timestamp: 11/2/2024 4:46:21 PM, Millisecond: 507,current eyeGaze_left: Position (0.1173062, 1.058731, 0.221221), Orientation(0.06429298, 0.0539738, -0.04203401, 0.9955834), Confidence: 0.5

Timestamp: 11/2/2024 4:46:21 PM, Millisecond: 520,current eyeGaze_left: Position (0.1171788, 1.058792, 0.2213283), Orientation(0.09373029, 0.1021139, -0.0370971, 0.9896521), Confidence: 0.5

Timestamp: 11/2/2024 4:46:21 PM, Millisecond: 534,current eyeGaze_left: Position (0.1171788, 1.058792, 0.2213283), Orientation(0.09373029, 0.1021139, -0.0370971, 0.9896521), Confidence: 0.5

Timestamp: 11/2/2024 4:46:21 PM, Millisecond: 548,current eyeGaze_left: Position (0.117011, 1.058831, 0.2214841), Orientation(0.1219308, 0.1335592, -0.03424115, 0.9829152), Confidence: 0.5

Timestamp: 11/2/2024 4:46:21 PM, Millisecond: 561,current eyeGaze_left: Position (0.117011, 1.058831, 0.2214841), Orientation(0.1219308, 0.1335592, -0.03424115, 0.9829152), Confidence: 0.5

Timestamp: 11/2/2024 4:46:21 PM, Millisecond: 576,current eyeGaze_left: Position (0.1168782, 1.058865, 0.2215719), Orientation(0.1221297, 0.1354761, -0.03380294, 0.9826434), Confidence: 0.5

Timestamp: 11/2/2024 4:46:21 PM, Millisecond: 589,current eyeGaze_left: Position (0.1168782, 1.058865, 0.2215719), Orientation(0.1221297, 0.1354761, -0.03380294, 0.9826434), Confidence: 0.5

Timestamp: 11/2/2024 4:46:21 PM, Millisecond: 603,current eyeGaze_left: Position (0.1168782, 1.058865, 0.2215719), Orientation(0.1221297, 0.1354761, -0.03380294, 0.9826434), Confidence: 0.5

