Timestamp: 10/18/2024 12:38:30 AM, Millisecond: 731,current eyeGaze_left: Position (-0.02087814, 1.084189, 0.07168671), Orientation(0.06116828, -0.01156458, -0.01954521, 0.9978691), Confidence: 0.5

Timestamp: 10/18/2024 12:38:31 AM, Millisecond: 94,current eyeGaze_left: Position (-0.01815231, 1.091433, 0.07627954), Orientation(0.09943128, -0.04285343, -0.03384643, 0.9935448), Confidence: 0.5

Timestamp: 10/18/2024 12:38:31 AM, Millisecond: 106,current eyeGaze_left: Position (-0.01815231, 1.091433, 0.07627954), Orientation(0.09943128, -0.04285343, -0.03384643, 0.9935448), Confidence: 0.5

Timestamp: 10/18/2024 12:38:31 AM, Millisecond: 127,current eyeGaze_left: Position (-0.01740009, 1.092696, 0.07646929), Orientation(0.10564, -0.04430807, -0.03539959, 0.9927859), Confidence: 0.5

Timestamp: 10/18/2024 12:38:31 AM, Millisecond: 146,current eyeGaze_left: Position (-0.01656835, 1.093879, 0.07667632), Orientation(0.1116856, -0.05304069, -0.03764521, 0.9916129), Confidence: 0.5

Timestamp: 10/18/2024 12:38:31 AM, Millisecond: 165,current eyeGaze_left: Position (-0.01656835, 1.093879, 0.07667632), Orientation(0.1116856, -0.05304069, -0.03764521, 0.9916129), Confidence: 0.5

Timestamp: 10/18/2024 12:38:31 AM, Millisecond: 183,current eyeGaze_left: Position (-0.01566502, 1.09493, 0.07691736), Orientation(0.1083498, -0.0549906, -0.03874569, 0.9918343), Confidence: 0.5

Timestamp: 10/18/2024 12:38:31 AM, Millisecond: 201,current eyeGaze_left: Position (-0.01566502, 1.09493, 0.07691736), Orientation(0.1083498, -0.0549906, -0.03874569, 0.9918343), Confidence: 0.5

Timestamp: 10/18/2024 12:38:31 AM, Millisecond: 217,current eyeGaze_left: Position (-0.01476544, 1.095802, 0.07716301), Orientation(0.1128233, -0.05987652, -0.03977489, 0.9910116), Confidence: 0.5

Timestamp: 10/18/2024 12:38:31 AM, Millisecond: 232,current eyeGaze_left: Position (-0.01476544, 1.095802, 0.07716301), Orientation(0.1128233, -0.05987652, -0.03977489, 0.9910116), Confidence: 0.5

Timestamp: 10/18/2024 12:38:31 AM, Millisecond: 248,current eyeGaze_left: Position (-0.01476544, 1.095802, 0.07716301), Orientation(0.1128233, -0.05987652, -0.03977489, 0.9910116), Confidence: 0.5

