Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 63,current eyeGaze_left: Position (-0.1499795, 0.9888712, 0.2673041), Orientation(0.1120089, -0.02914297, 0.04204681, 0.9923894), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 78,current eyeGaze_left: Position (-0.1499697, 0.9888955, 0.267325), Orientation(0.1111451, -0.02833684, 0.0421334, 0.9925062), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 91,current eyeGaze_left: Position (-0.1499697, 0.9888955, 0.267325), Orientation(0.1111451, -0.02833684, 0.0421334, 0.9925062), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 105,current eyeGaze_left: Position (-0.1499697, 0.9888955, 0.267325), Orientation(0.1111451, -0.02833684, 0.0421334, 0.9925062), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 119,current eyeGaze_left: Position (-0.149937, 0.9889346, 0.2673177), Orientation(0.1065356, 0.01299451, 0.04980222, 0.992976), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 133,current eyeGaze_left: Position (-0.149937, 0.9889346, 0.2673177), Orientation(0.1065356, 0.01299451, 0.04980222, 0.992976), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 147,current eyeGaze_left: Position (-0.1499139, 0.9889677, 0.2673239), Orientation(0.09923821, 0.01248247, 0.04956973, 0.9937499), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 160,current eyeGaze_left: Position (-0.1499139, 0.9889677, 0.2673239), Orientation(0.09923821, 0.01248247, 0.04956973, 0.9937499), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 174,current eyeGaze_left: Position (-0.1499139, 0.9889677, 0.2673239), Orientation(0.09923821, 0.01248247, 0.04956973, 0.9937499), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 188,current eyeGaze_left: Position (-0.1499301, 0.988969, 0.2673233), Orientation(0.09423099, -0.00402745, 0.0464273, 0.9944592), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 201,current eyeGaze_left: Position (-0.1499301, 0.988969, 0.2673233), Orientation(0.09423099, -0.00402745, 0.0464273, 0.9944592), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 216,current eyeGaze_left: Position (-0.1499853, 0.9888527, 0.2673489), Orientation(0.09509089, -0.005360095, 0.04622305, 0.9943805), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 229,current eyeGaze_left: Position (-0.1499853, 0.9888527, 0.2673489), Orientation(0.09509089, -0.005360095, 0.04622305, 0.9943805), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 244,current eyeGaze_left: Position (-0.1500804, 0.9888221, 0.2673468), Orientation(0.09512131, -0.005701418, 0.04618396, 0.9943776), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 257,current eyeGaze_left: Position (-0.1500804, 0.9888221, 0.2673468), Orientation(0.09512131, -0.005701418, 0.04618396, 0.9943776), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 271,current eyeGaze_left: Position (-0.1500804, 0.9888221, 0.2673468), Orientation(0.09512131, -0.005701418, 0.04618396, 0.9943776), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 285,current eyeGaze_left: Position (-0.1501717, 0.9888115, 0.2673273), Orientation(0.09696359, -0.007564635, 0.04592702, 0.994199), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 299,current eyeGaze_left: Position (-0.1501717, 0.9888115, 0.2673273), Orientation(0.09696359, -0.007564635, 0.04592702, 0.994199), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 314,current eyeGaze_left: Position (-0.1501933, 0.9888409, 0.2672668), Orientation(0.09690759, -0.007457347, 0.04604944, 0.9941997), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 327,current eyeGaze_left: Position (-0.1501933, 0.9888409, 0.2672668), Orientation(0.09690759, -0.007457347, 0.04604944, 0.9941997), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 341,current eyeGaze_left: Position (-0.1502527, 0.9888573, 0.2672099), Orientation(0.09496246, -0.007416441, 0.0460715, 0.9943866), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 354,current eyeGaze_left: Position (-0.1502527, 0.9888573, 0.2672099), Orientation(0.09496246, -0.007416441, 0.0460715, 0.9943866), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 369,current eyeGaze_left: Position (-0.1502527, 0.9888573, 0.2672099), Orientation(0.09496246, -0.007416441, 0.0460715, 0.9943866), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 382,current eyeGaze_left: Position (-0.150328, 0.98887, 0.2671793), Orientation(0.09491729, -0.007166883, 0.04611167, 0.9943908), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 396,current eyeGaze_left: Position (-0.150328, 0.98887, 0.2671793), Orientation(0.09491729, -0.007166883, 0.04611167, 0.9943908), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 411,current eyeGaze_left: Position (-0.1503387, 0.988867, 0.2672596), Orientation(0.09395051, -0.007322269, 0.04623369, 0.9944758), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 424,current eyeGaze_left: Position (-0.1503387, 0.988867, 0.2672596), Orientation(0.09395051, -0.007322269, 0.04623369, 0.9944758), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 438,current eyeGaze_left: Position (-0.1503807, 0.9888737, 0.2673385), Orientation(0.07132135, -0.008197671, 0.04590492, 0.9963629), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 452,current eyeGaze_left: Position (-0.1503807, 0.9888737, 0.2673385), Orientation(0.07132135, -0.008197671, 0.04590492, 0.9963629), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 466,current eyeGaze_left: Position (-0.1503807, 0.9888737, 0.2673385), Orientation(0.07132135, -0.008197671, 0.04590492, 0.9963629), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 481,current eyeGaze_left: Position (-0.1504126, 0.9888147, 0.2674071), Orientation(0.04866462, -0.02134008, 0.04310372, 0.9976565), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 493,current eyeGaze_left: Position (-0.1504126, 0.9888147, 0.2674071), Orientation(0.04866462, -0.02134008, 0.04310372, 0.9976565), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 508,current eyeGaze_left: Position (-0.1503493, 0.9887361, 0.2674213), Orientation(0.04849595, -0.02138456, 0.04310614, 0.9976636), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 521,current eyeGaze_left: Position (-0.1503493, 0.9887361, 0.2674213), Orientation(0.04849595, -0.02138456, 0.04310614, 0.9976636), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 535,current eyeGaze_left: Position (-0.1503493, 0.9887361, 0.2674213), Orientation(0.04849595, -0.02138456, 0.04310614, 0.9976636), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 550,current eyeGaze_left: Position (-0.1503283, 0.9886745, 0.2674398), Orientation(0.04813731, -0.01880118, 0.04362496, 0.9977106), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 562,current eyeGaze_left: Position (-0.1503283, 0.9886745, 0.2674398), Orientation(0.04813731, -0.01880118, 0.04362496, 0.9977106), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 577,current eyeGaze_left: Position (-0.1503413, 0.9886807, 0.2674636), Orientation(0.04926538, -0.0175456, 0.04385348, 0.9976683), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 590,current eyeGaze_left: Position (-0.1503413, 0.9886807, 0.2674636), Orientation(0.04926538, -0.0175456, 0.04385348, 0.9976683), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 606,current eyeGaze_left: Position (-0.1503413, 0.9886807, 0.2674636), Orientation(0.04926538, -0.0175456, 0.04385348, 0.9976683), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 618,current eyeGaze_left: Position (-0.1502859, 0.9887278, 0.2675104), Orientation(0.04813755, -0.01757512, 0.04378838, 0.9977258), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 632,current eyeGaze_left: Position (-0.1502859, 0.9887278, 0.2675104), Orientation(0.04813755, -0.01757512, 0.04378838, 0.9977258), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 647,current eyeGaze_left: Position (-0.1502304, 0.9887539, 0.2674753), Orientation(0.04914463, -0.0198999, 0.04329694, 0.9976543), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 660,current eyeGaze_left: Position (-0.1502304, 0.9887539, 0.2674753), Orientation(0.04914463, -0.0198999, 0.04329694, 0.9976543), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 675,current eyeGaze_left: Position (-0.1502304, 0.9887539, 0.2674753), Orientation(0.04914463, -0.0198999, 0.04329694, 0.9976543), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 688,current eyeGaze_left: Position (-0.1501946, 0.9887515, 0.2674089), Orientation(0.0491101, -0.02183731, 0.04293839, 0.9976311), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 703,current eyeGaze_left: Position (-0.1501946, 0.9887515, 0.2674089), Orientation(0.0491101, -0.02183731, 0.04293839, 0.9976311), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 716,current eyeGaze_left: Position (-0.1501229, 0.9888087, 0.2673243), Orientation(0.04904722, -0.02184506, 0.04288619, 0.9976361), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 730,current eyeGaze_left: Position (-0.1501229, 0.9888087, 0.2673243), Orientation(0.04904722, -0.02184506, 0.04288619, 0.9976361), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 747,current eyeGaze_left: Position (-0.1500884, 0.9888199, 0.2673228), Orientation(0.04955022, -0.01984303, 0.04318077, 0.9976405), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 758,current eyeGaze_left: Position (-0.1500884, 0.9888199, 0.2673228), Orientation(0.04955022, -0.01984303, 0.04318077, 0.9976405), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 772,current eyeGaze_left: Position (-0.1500884, 0.9888199, 0.2673228), Orientation(0.04955022, -0.01984303, 0.04318077, 0.9976405), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 786,current eyeGaze_left: Position (-0.1500614, 0.9888051, 0.2673556), Orientation(0.04926074, -0.01991526, 0.04315266, 0.9976546), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 799,current eyeGaze_left: Position (-0.1500614, 0.9888051, 0.2673556), Orientation(0.04926074, -0.01991526, 0.04315266, 0.9976546), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 815,current eyeGaze_left: Position (-0.1500346, 0.9887658, 0.267459), Orientation(0.05042983, -0.02249258, 0.04265265, 0.9975629), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 828,current eyeGaze_left: Position (-0.1500346, 0.9887658, 0.267459), Orientation(0.05042983, -0.02249258, 0.04265265, 0.9975629), Confidence: 0.5

Timestamp: 11/2/2024 7:43:31 PM, Millisecond: 842,current eyeGaze_left: Position (-0.150049, 0.9887694, 0.2675066), Orientation(0.09538968, -0.03218568, 0.04122072, 0.9940653), Confidence: 0.5

