Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 328,current eyeGaze_left: Position (-0.07179324, 0.6965023, 0.1263005), Orientation(0.02194414, 0.00882395, -0.001701377, 0.999719), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 343,current eyeGaze_left: Position (-0.07179324, 0.6965023, 0.1263005), Orientation(0.02194414, 0.00882395, -0.001701377, 0.999719), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 358,current eyeGaze_left: Position (-0.0717005, 0.6964845, 0.1262331), Orientation(0.02206383, 0.01001891, -0.001104699, 0.9997059), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 371,current eyeGaze_left: Position (-0.0717005, 0.6964845, 0.1262331), Orientation(0.02206383, 0.01001891, -0.001104699, 0.9997059), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 386,current eyeGaze_left: Position (-0.07162003, 0.6965228, 0.1261816), Orientation(0.02257252, 0.00689016, -0.000833798, 0.9997211), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 398,current eyeGaze_left: Position (-0.07162003, 0.6965228, 0.1261816), Orientation(0.02257252, 0.00689016, -0.000833798, 0.9997211), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 414,current eyeGaze_left: Position (-0.07153887, 0.6966285, 0.1261545), Orientation(0.02366811, -0.01828306, -0.002254397, 0.9995502), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 427,current eyeGaze_left: Position (-0.07153887, 0.6966285, 0.1261545), Orientation(0.02366811, -0.01828306, -0.002254397, 0.9995502), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 441,current eyeGaze_left: Position (-0.07153887, 0.6966285, 0.1261545), Orientation(0.02366811, -0.01828306, -0.002254397, 0.9995502), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 455,current eyeGaze_left: Position (-0.07149468, 0.696718, 0.1261743), Orientation(0.02428352, -0.01954648, -0.001989672, 0.999512), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 469,current eyeGaze_left: Position (-0.07149468, 0.696718, 0.1261743), Orientation(0.02428352, -0.01954648, -0.001989672, 0.999512), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 483,current eyeGaze_left: Position (-0.07146607, 0.696782, 0.1261963), Orientation(0.02719003, -0.02039673, -0.001686014, 0.9994207), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 496,current eyeGaze_left: Position (-0.07146607, 0.696782, 0.1261963), Orientation(0.02719003, -0.02039673, -0.001686014, 0.9994207), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 511,current eyeGaze_left: Position (-0.07146607, 0.696782, 0.1261963), Orientation(0.02719003, -0.02039673, -0.001686014, 0.9994207), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 525,current eyeGaze_left: Position (-0.07144211, 0.6968083, 0.1261424), Orientation(0.02572053, -0.02040439, -0.001588314, 0.9994597), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 539,current eyeGaze_left: Position (-0.07144211, 0.6968083, 0.1261424), Orientation(0.02572053, -0.02040439, -0.001588314, 0.9994597), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 552,current eyeGaze_left: Position (-0.07146557, 0.6970337, 0.1262203), Orientation(0.02642036, -0.01836994, -0.001597132, 0.9994809), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 566,current eyeGaze_left: Position (-0.07146557, 0.6970337, 0.1262203), Orientation(0.02642036, -0.01836994, -0.001597132, 0.9994809), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 581,current eyeGaze_left: Position (-0.07150166, 0.6973013, 0.1262887), Orientation(0.02567027, -0.01872807, -0.001849325, 0.9994934), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 593,current eyeGaze_left: Position (-0.07150166, 0.6973013, 0.1262887), Orientation(0.02567027, -0.01872807, -0.001849325, 0.9994934), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 608,current eyeGaze_left: Position (-0.07150166, 0.6973013, 0.1262887), Orientation(0.02567027, -0.01872807, -0.001849325, 0.9994934), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 622,current eyeGaze_left: Position (-0.0715611, 0.6974967, 0.1262939), Orientation(0.02864345, -0.01967407, -0.002234024, 0.9993936), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 636,current eyeGaze_left: Position (-0.0715611, 0.6974967, 0.1262939), Orientation(0.02864345, -0.01967407, -0.002234024, 0.9993936), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 650,current eyeGaze_left: Position (-0.07159984, 0.697632, 0.1263621), Orientation(0.02743045, -0.0205105, -0.002656205, 0.9994098), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 663,current eyeGaze_left: Position (-0.07159984, 0.697632, 0.1263621), Orientation(0.02743045, -0.0205105, -0.002656205, 0.9994098), Confidence: 0.9980469

