
Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 162,current eyeGaze_left: Position (-0.04443578, 1.112471, 0.1911364), Orientation(0.1550754, 0.044186, 0.003916771, 0.9869063), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 177,current eyeGaze_left: Position (-0.04394544, 1.112242, 0.1905106), Orientation(0.1525273, 0.04084362, 0.003276396, 0.9874496), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 191,current eyeGaze_left: Position (-0.04394544, 1.112242, 0.1905106), Orientation(0.1525273, 0.04084362, 0.003276396, 0.9874496), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 205,current eyeGaze_left: Position (-0.04394544, 1.112242, 0.1905106), Orientation(0.1525273, 0.04084362, 0.003276396, 0.9874496), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 219,current eyeGaze_left: Position (-0.04351608, 1.112025, 0.1899211), Orientation(0.1439364, -0.000601215, -0.002382639, 0.989584), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 233,current eyeGaze_left: Position (-0.04351608, 1.112025, 0.1899211), Orientation(0.1439364, -0.000601215, -0.002382639, 0.989584), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 247,current eyeGaze_left: Position (-0.04312859, 1.111775, 0.1893559), Orientation(0.1330148, -0.01865979, -0.004667808, 0.9909276), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 260,current eyeGaze_left: Position (-0.04312859, 1.111775, 0.1893559), Orientation(0.1330148, -0.01865979, -0.004667808, 0.9909276), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 275,current eyeGaze_left: Position (-0.04312859, 1.111775, 0.1893559), Orientation(0.1330148, -0.01865979, -0.004667808, 0.9909276), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 289,current eyeGaze_left: Position (-0.04280294, 1.111523, 0.1888518), Orientation(0.1295935, -0.02224156, -0.005092858, 0.9913048), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 302,current eyeGaze_left: Position (-0.04280294, 1.111523, 0.1888518), Orientation(0.1295935, -0.02224156, -0.005092858, 0.9913048), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 317,current eyeGaze_left: Position (-0.04254341, 1.111276, 0.1884212), Orientation(0.1281982, -0.02095729, -0.004805523, 0.9915155), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 330,current eyeGaze_left: Position (-0.04254341, 1.111276, 0.1884212), Orientation(0.1281982, -0.02095729, -0.004805523, 0.9915155), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 344,current eyeGaze_left: Position (-0.042334, 1.111078, 0.1880732), Orientation(0.127128, -0.02084608, -0.004687499, 0.9916562), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 358,current eyeGaze_left: Position (-0.042334, 1.111078, 0.1880732), Orientation(0.127128, -0.02084608, -0.004687499, 0.9916562), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 372,current eyeGaze_left: Position (-0.042334, 1.111078, 0.1880732), Orientation(0.127128, -0.02084608, -0.004687499, 0.9916562), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 386,current eyeGaze_left: Position (-0.04219237, 1.110948, 0.1878135), Orientation(0.1270377, -0.02121234, -0.004710447, 0.9916599), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 399,current eyeGaze_left: Position (-0.04219237, 1.110948, 0.1878135), Orientation(0.1270377, -0.02121234, -0.004710447, 0.9916599), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 414,current eyeGaze_left: Position (-0.04209671, 1.110902, 0.1876334), Orientation(0.1273516, -0.021533, -0.004915553, 0.9916118), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 427,current eyeGaze_left: Position (-0.04209671, 1.110902, 0.1876334), Orientation(0.1273516, -0.021533, -0.004915553, 0.9916118), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 441,current eyeGaze_left: Position (-0.04209671, 1.110902, 0.1876334), Orientation(0.1273516, -0.021533, -0.004915553, 0.9916118), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 456,current eyeGaze_left: Position (-0.04203843, 1.110899, 0.1875488), Orientation(0.1284263, -0.01960713, -0.004837063, 0.9915136), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 470,current eyeGaze_left: Position (-0.04203843, 1.110899, 0.1875488), Orientation(0.1284263, -0.01960713, -0.004837063, 0.9915136), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 484,current eyeGaze_left: Position (-0.0420726, 1.110858, 0.1875302), Orientation(0.1285717, -0.01869431, -0.004722272, 0.9915128), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 496,current eyeGaze_left: Position (-0.0420726, 1.110858, 0.1875302), Orientation(0.1285717, -0.01869431, -0.004722272, 0.9915128), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 511,current eyeGaze_left: Position (-0.04213367, 1.110817, 0.1875786), Orientation(0.1337454, -0.01864472, -0.004780664, 0.9908289), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 524,current eyeGaze_left: Position (-0.04213367, 1.110817, 0.1875786), Orientation(0.1337454, -0.01864472, -0.004780664, 0.9908289), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 539,current eyeGaze_left: Position (-0.04213367, 1.110817, 0.1875786), Orientation(0.1337454, -0.01864472, -0.004780664, 0.9908289), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 553,current eyeGaze_left: Position (-0.04215499, 1.110822, 0.1877156), Orientation(0.1339378, -0.0182253, -0.004747227, 0.9908108), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 567,current eyeGaze_left: Position (-0.04215499, 1.110822, 0.1877156), Orientation(0.1339378, -0.0182253, -0.004747227, 0.9908108), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 581,current eyeGaze_left: Position (-0.04216726, 1.110845, 0.1879031), Orientation(0.1311346, -0.01824704, -0.004644726, 0.9911858), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 594,current eyeGaze_left: Position (-0.04216726, 1.110845, 0.1879031), Orientation(0.1311346, -0.01824704, -0.004644726, 0.9911858), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 609,current eyeGaze_left: Position (-0.04216726, 1.110845, 0.1879031), Orientation(0.1311346, -0.01824704, -0.004644726, 0.9911858), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 622,current eyeGaze_left: Position (-0.04221768, 1.110888, 0.1881272), Orientation(0.1297195, -0.01595729, -0.004169852, 0.9914137), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 637,current eyeGaze_left: Position (-0.04221768, 1.110888, 0.1881272), Orientation(0.1297195, -0.01595729, -0.004169852, 0.9914137), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 651,current eyeGaze_left: Position (-0.0423235, 1.110946, 0.188372), Orientation(0.1320643, -0.0159384, -0.003871089, 0.9911055), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 664,current eyeGaze_left: Position (-0.0423235, 1.110946, 0.188372), Orientation(0.1320643, -0.0159384, -0.003871089, 0.9911055), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 679,current eyeGaze_left: Position (-0.04246193, 1.111066, 0.1885983), Orientation(0.1360368, -0.01655068, -0.003747496, 0.9905584), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 692,current eyeGaze_left: Position (-0.04246193, 1.111066, 0.1885983), Orientation(0.1360368, -0.01655068, -0.003747496, 0.9905584), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 707,current eyeGaze_left: Position (-0.04246193, 1.111066, 0.1885983), Orientation(0.1360368, -0.01655068, -0.003747496, 0.9905584), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 720,current eyeGaze_left: Position (-0.04260556, 1.111194, 0.1888287), Orientation(0.1366758, -0.01641021, -0.003535023, 0.9904737), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 734,current eyeGaze_left: Position (-0.04260556, 1.111194, 0.1888287), Orientation(0.1366758, -0.01641021, -0.003535023, 0.9904737), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 748,current eyeGaze_left: Position (-0.04273209, 1.111262, 0.189088), Orientation(0.1311154, -0.01620432, -0.003243879, 0.9912294), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 762,current eyeGaze_left: Position (-0.04273209, 1.111262, 0.189088), Orientation(0.1311154, -0.01620432, -0.003243879, 0.9912294), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 776,current eyeGaze_left: Position (-0.04283915, 1.1113, 0.1893139), Orientation(0.1315582, -0.01443015, -0.002838375, 0.9911993), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 790,current eyeGaze_left: Position (-0.04283915, 1.1113, 0.1893139), Orientation(0.1315582, -0.01443015, -0.002838375, 0.9911993), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 804,current eyeGaze_left: Position (-0.04283915, 1.1113, 0.1893139), Orientation(0.1315582, -0.01443015, -0.002838375, 0.9911993), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 818,current eyeGaze_left: Position (-0.04294048, 1.11132, 0.1894969), Orientation(0.1337894, -0.01413842, -0.002638, 0.9909053), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 832,current eyeGaze_left: Position (-0.04294048, 1.11132, 0.1894969), Orientation(0.1337894, -0.01413842, -0.002638, 0.9909053), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 846,current eyeGaze_left: Position (-0.04307328, 1.111342, 0.1896551), Orientation(0.1341422, -0.01322704, -0.002223184, 0.9908715), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 859,current eyeGaze_left: Position (-0.04307328, 1.111342, 0.1896551), Orientation(0.1341422, -0.01322704, -0.002223184, 0.9908715), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 874,current eyeGaze_left: Position (-0.04307328, 1.111342, 0.1896551), Orientation(0.1341422, -0.01322704, -0.002223184, 0.9908715), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 887,current eyeGaze_left: Position (-0.0432062, 1.111379, 0.1897698), Orientation(0.1349384, -0.01280593, -0.001863357, 0.9907697), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 901,current eyeGaze_left: Position (-0.0432062, 1.111379, 0.1897698), Orientation(0.1349384, -0.01280593, -0.001863357, 0.9907697), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 915,current eyeGaze_left: Position (-0.04333146, 1.11146, 0.1898387), Orientation(0.138551, -0.009042821, -0.001349957, 0.9903131), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 929,current eyeGaze_left: Position (-0.04333146, 1.11146, 0.1898387), Orientation(0.138551, -0.009042821, -0.001349957, 0.9903131), Confidence: 0.5

Timestamp: 11/24/2024 8:13:33 PM, Millisecond: 944,current eyeGaze_left: Position (-0.04345417, 1.111508, 0.189878), Orientation(0.1462338, 0.03199256, 0.004126527, 0.988724), Confidence: 0.5

