Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 52,current eyeGaze_left: Position (-0.1005979, 1.09611, 0.08631403), Orientation(0.1761722, -0.0332998, 0.007438032, 0.9837679), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 67,current eyeGaze_left: Position (-0.1004332, 1.09632, 0.08632987), Orientation(0.1759314, -0.03314306, 0.007631655, 0.983815), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 80,current eyeGaze_left: Position (-0.1004332, 1.09632, 0.08632987), Orientation(0.1759314, -0.03314306, 0.007631655, 0.983815), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 94,current eyeGaze_left: Position (-0.1004332, 1.09632, 0.08632987), Orientation(0.1759314, -0.03314306, 0.007631655, 0.983815), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 109,current eyeGaze_left: Position (-0.1003468, 1.096512, 0.08638063), Orientation(0.1748696, -0.03276285, 0.007701803, 0.9840162), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 123,current eyeGaze_left: Position (-0.1003468, 1.096512, 0.08638063), Orientation(0.1748696, -0.03276285, 0.007701803, 0.9840162), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 136,current eyeGaze_left: Position (-0.1003107, 1.096711, 0.0864611), Orientation(0.1760213, -0.03277709, 0.007611327, 0.983811), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 151,current eyeGaze_left: Position (-0.1003107, 1.096711, 0.0864611), Orientation(0.1760213, -0.03277709, 0.007611327, 0.983811), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 165,current eyeGaze_left: Position (-0.1003034, 1.096904, 0.08659248), Orientation(0.1771015, -0.03297308, 0.007517659, 0.9836115), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 179,current eyeGaze_left: Position (-0.1003034, 1.096904, 0.08659248), Orientation(0.1771015, -0.03297308, 0.007517659, 0.9836115), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 192,current eyeGaze_left: Position (-0.1003034, 1.096904, 0.08659248), Orientation(0.1771015, -0.03297308, 0.007517659, 0.9836115), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 205,current eyeGaze_left: Position (-0.1002927, 1.097165, 0.08674765), Orientation(0.1742536, -0.0332927, 0.007372327, 0.9841102), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 219,current eyeGaze_left: Position (-0.1002927, 1.097165, 0.08674765), Orientation(0.1742536, -0.0332927, 0.007372327, 0.9841102), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 235,current eyeGaze_left: Position (-0.1002344, 1.097494, 0.08691893), Orientation(0.1744318, -0.03377852, 0.007468304, 0.9840615), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 247,current eyeGaze_left: Position (-0.1002344, 1.097494, 0.08691893), Orientation(0.1744318, -0.03377852, 0.007468304, 0.9840615), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 261,current eyeGaze_left: Position (-0.1001301, 1.097857, 0.08714157), Orientation(0.1730002, -0.03336237, 0.007903587, 0.984325), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 276,current eyeGaze_left: Position (-0.1001301, 1.097857, 0.08714157), Orientation(0.1730002, -0.03336237, 0.007903587, 0.984325), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 289,current eyeGaze_left: Position (-0.1001301, 1.097857, 0.08714157), Orientation(0.1730002, -0.03336237, 0.007903587, 0.984325), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 303,current eyeGaze_left: Position (-0.09997055, 1.098283, 0.08741006), Orientation(0.1744457, -0.03433867, 0.008233016, 0.9840336), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 318,current eyeGaze_left: Position (-0.09997055, 1.098283, 0.08741006), Orientation(0.1744457, -0.03433867, 0.008233016, 0.9840336), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 331,current eyeGaze_left: Position (-0.09987916, 1.098811, 0.08770686), Orientation(0.1708606, -0.03585427, 0.007939612, 0.9846107), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 345,current eyeGaze_left: Position (-0.09987916, 1.098811, 0.08770686), Orientation(0.1708606, -0.03585427, 0.007939612, 0.9846107), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 359,current eyeGaze_left: Position (-0.09982757, 1.099277, 0.08810299), Orientation(0.1731115, -0.03649079, 0.00791726, 0.9841943), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 373,current eyeGaze_left: Position (-0.09982757, 1.099277, 0.08810299), Orientation(0.1731115, -0.03649079, 0.00791726, 0.9841943), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 386,current eyeGaze_left: Position (-0.09982757, 1.099277, 0.08810299), Orientation(0.1731115, -0.03649079, 0.00791726, 0.9841943), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 401,current eyeGaze_left: Position (-0.09982575, 1.099598, 0.08857749), Orientation(0.1748337, -0.03648273, 0.007987801, 0.9838895), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 414,current eyeGaze_left: Position (-0.09982575, 1.099598, 0.08857749), Orientation(0.1748337, -0.03648273, 0.007987801, 0.9838895), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 428,current eyeGaze_left: Position (-0.09987421, 1.099764, 0.08912376), Orientation(0.1663347, -0.03647595, 0.007813429, 0.9853636), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 443,current eyeGaze_left: Position (-0.09987421, 1.099764, 0.08912376), Orientation(0.1663347, -0.03647595, 0.007813429, 0.9853636), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 457,current eyeGaze_left: Position (-0.09987421, 1.099764, 0.08912376), Orientation(0.1663347, -0.03647595, 0.007813429, 0.9853636), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 470,current eyeGaze_left: Position (-0.09999114, 1.09985, 0.08965339), Orientation(0.165375, -0.03641095, 0.007781348, 0.9855279), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 485,current eyeGaze_left: Position (-0.09999114, 1.09985, 0.08965339), Orientation(0.165375, -0.03641095, 0.007781348, 0.9855279), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 498,current eyeGaze_left: Position (-0.1001625, 1.099872, 0.09014865), Orientation(0.1644861, -0.03579735, 0.007612626, 0.9857002), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 512,current eyeGaze_left: Position (-0.1001625, 1.099872, 0.09014865), Orientation(0.1644861, -0.03579735, 0.007612626, 0.9857002), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 527,current eyeGaze_left: Position (-0.1001625, 1.099872, 0.09014865), Orientation(0.1644861, -0.03579735, 0.007612626, 0.9857002), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 540,current eyeGaze_left: Position (-0.1003996, 1.099879, 0.0905458), Orientation(0.1614511, -0.03600794, 0.007354591, 0.9861962), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 554,current eyeGaze_left: Position (-0.1003996, 1.099879, 0.0905458), Orientation(0.1614511, -0.03600794, 0.007354591, 0.9861962), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 568,current eyeGaze_left: Position (-0.1005585, 1.099925, 0.09091982), Orientation(0.16062, -0.03535838, 0.007333878, 0.9863556), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 581,current eyeGaze_left: Position (-0.1005585, 1.099925, 0.09091982), Orientation(0.16062, -0.03535838, 0.007333878, 0.9863556), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 597,current eyeGaze_left: Position (-0.1006681, 1.100036, 0.09124441), Orientation(0.1617956, -0.03440856, 0.007559496, 0.9861953), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 609,current eyeGaze_left: Position (-0.1006681, 1.100036, 0.09124441), Orientation(0.1617956, -0.03440856, 0.007559496, 0.9861953), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 624,current eyeGaze_left: Position (-0.1006681, 1.100036, 0.09124441), Orientation(0.1617956, -0.03440856, 0.007559496, 0.9861953), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 637,current eyeGaze_left: Position (-0.100682, 1.10018, 0.09152091), Orientation(0.1604542, -0.03340578, 0.00784192, 0.9864467), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 652,current eyeGaze_left: Position (-0.100682, 1.10018, 0.09152091), Orientation(0.1604542, -0.03340578, 0.00784192, 0.9864467), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 666,current eyeGaze_left: Position (-0.1007272, 1.100294, 0.09176348), Orientation(0.1570169, -0.03374767, 0.007627368, 0.9869897), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 680,current eyeGaze_left: Position (-0.1007272, 1.100294, 0.09176348), Orientation(0.1570169, -0.03374767, 0.007627368, 0.9869897), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 693,current eyeGaze_left: Position (-0.100803, 1.100369, 0.09196495), Orientation(0.1574529, -0.03312536, 0.007601861, 0.9869414), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 707,current eyeGaze_left: Position (-0.100803, 1.100369, 0.09196495), Orientation(0.1574529, -0.03312536, 0.007601861, 0.9869414), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 721,current eyeGaze_left: Position (-0.100803, 1.100369, 0.09196495), Orientation(0.1574529, -0.03312536, 0.007601861, 0.9869414), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 735,current eyeGaze_left: Position (-0.1009082, 1.100428, 0.09209332), Orientation(0.1581293, -0.03449046, 0.007298521, 0.9867889), Confidence: 0.5

