Timestamp: 11/2/2024 6:23:24 PM, Millisecond: 327,current eyeGaze_left: Position (-0.0250788, 1.098659, 0.03282966), Orientation(0.0423534, 0.0008917301, -0.03052471, 0.9986359), Confidence: 0.5

Timestamp: 11/2/2024 6:23:24 PM, Millisecond: 689,current eyeGaze_left: Position (-0.01891602, 1.118128, 0.03871522), Orientation(0.08673939, -0.0526618, -0.06593418, 0.992651), Confidence: 0.5

Timestamp: 11/2/2024 6:23:24 PM, Millisecond: 699,current eyeGaze_left: Position (-0.01891602, 1.118128, 0.03871522), Orientation(0.08673939, -0.0526618, -0.06593418, 0.992651), Confidence: 0.5

Timestamp: 11/2/2024 6:23:24 PM, Millisecond: 719,current eyeGaze_left: Position (-0.01836168, 1.120366, 0.04049506), Orientation(0.09648836, -0.03318201, -0.06343205, 0.9927565), Confidence: 0.5

Timestamp: 11/2/2024 6:23:24 PM, Millisecond: 737,current eyeGaze_left: Position (-0.01836168, 1.120366, 0.04049506), Orientation(0.09648836, -0.03318201, -0.06343205, 0.9927565), Confidence: 0.5

Timestamp: 11/2/2024 6:23:24 PM, Millisecond: 757,current eyeGaze_left: Position (-0.0179354, 1.122861, 0.04247536), Orientation(0.1109136, -0.0067694, -0.05915042, 0.9920452), Confidence: 0.5

Timestamp: 11/2/2024 6:23:24 PM, Millisecond: 775,current eyeGaze_left: Position (-0.0179354, 1.122861, 0.04247536), Orientation(0.1109136, -0.0067694, -0.05915042, 0.9920452), Confidence: 0.5

Timestamp: 11/2/2024 6:23:24 PM, Millisecond: 793,current eyeGaze_left: Position (-0.01789322, 1.124594, 0.04451528), Orientation(0.1214105, 0.00203307, -0.0573336, 0.9909431), Confidence: 0.5

Timestamp: 11/2/2024 6:23:24 PM, Millisecond: 808,current eyeGaze_left: Position (-0.01789322, 1.124594, 0.04451528), Orientation(0.1214105, 0.00203307, -0.0573336, 0.9909431), Confidence: 0.5

Timestamp: 11/2/2024 6:23:24 PM, Millisecond: 825,current eyeGaze_left: Position (-0.01805847, 1.125676, 0.04651288), Orientation(0.1285667, -0.001031295, -0.05688642, 0.9900674), Confidence: 0.5

Timestamp: 11/2/2024 6:23:24 PM, Millisecond: 840,current eyeGaze_left: Position (-0.01805847, 1.125676, 0.04651288), Orientation(0.1285667, -0.001031295, -0.05688642, 0.9900674), Confidence: 0.5

Timestamp: 11/2/2024 6:23:24 PM, Millisecond: 856,current eyeGaze_left: Position (-0.01827195, 1.126283, 0.04847429), Orientation(0.1328545, -0.001203447, -0.05577645, 0.9895642), Confidence: 0.5

Timestamp: 11/2/2024 6:23:24 PM, Millisecond: 870,current eyeGaze_left: Position (-0.01827195, 1.126283, 0.04847429), Orientation(0.1328545, -0.001203447, -0.05577645, 0.9895642), Confidence: 0.5

Timestamp: 11/2/2024 6:23:24 PM, Millisecond: 886,current eyeGaze_left: Position (-0.01827195, 1.126283, 0.04847429), Orientation(0.1328545, -0.001203447, -0.05577645, 0.9895642), Confidence: 0.5

Timestamp: 11/2/2024 6:23:24 PM, Millisecond: 900,current eyeGaze_left: Position (-0.01851326, 1.126459, 0.05033122), Orientation(0.133365, -0.003496913, -0.05528133, 0.9895178), Confidence: 0.5

Timestamp: 11/2/2024 6:23:24 PM, Millisecond: 916,current eyeGaze_left: Position (-0.01851326, 1.126459, 0.05033122), Orientation(0.133365, -0.003496913, -0.05528133, 0.9895178), Confidence: 0.5

Timestamp: 11/2/2024 6:23:24 PM, Millisecond: 930,current eyeGaze_left: Position (-0.01876255, 1.126421, 0.0519809), Orientation(0.1321287, -0.003922929, -0.05428276, 0.9897374), Confidence: 0.5

Timestamp: 11/2/2024 6:23:24 PM, Millisecond: 945,current eyeGaze_left: Position (-0.01876255, 1.126421, 0.0519809), Orientation(0.1321287, -0.003922929, -0.05428276, 0.9897374), Confidence: 0.5

Timestamp: 11/2/2024 6:23:24 PM, Millisecond: 960,current eyeGaze_left: Position (-0.01905226, 1.126368, 0.05337545), Orientation(0.1334623, -0.004607119, -0.05353941, 0.9895959), Confidence: 0.5

Timestamp: 11/2/2024 6:23:24 PM, Millisecond: 973,current eyeGaze_left: Position (-0.01905226, 1.126368, 0.05337545), Orientation(0.1334623, -0.004607119, -0.05353941, 0.9895959), Confidence: 0.5

Timestamp: 11/2/2024 6:23:24 PM, Millisecond: 988,current eyeGaze_left: Position (-0.01938239, 1.126281, 0.05452691), Orientation(0.1335656, -0.005797694, -0.05322303, 0.9895929), Confidence: 0.5

Timestamp: 11/2/2024 6:23:25 PM, Millisecond: 2,current eyeGaze_left: Position (-0.01938239, 1.126281, 0.05452691), Orientation(0.1335656, -0.005797694, -0.05322303, 0.9895929), Confidence: 0.5

Timestamp: 11/2/2024 6:23:25 PM, Millisecond: 16,current eyeGaze_left: Position (-0.01938239, 1.126281, 0.05452691), Orientation(0.1335656, -0.005797694, -0.05322303, 0.9895929), Confidence: 0.5

Timestamp: 11/2/2024 6:23:25 PM, Millisecond: 30,current eyeGaze_left: Position (-0.01970062, 1.12592, 0.05546227), Orientation(0.1325498, -0.006574411, -0.05382746, 0.989692), Confidence: 0.5

Timestamp: 11/2/2024 6:23:25 PM, Millisecond: 45,current eyeGaze_left: Position (-0.01970062, 1.12592, 0.05546227), Orientation(0.1325498, -0.006574411, -0.05382746, 0.989692), Confidence: 0.5

Timestamp: 11/2/2024 6:23:25 PM, Millisecond: 59,current eyeGaze_left: Position (-0.01980077, 1.125211, 0.05616318), Orientation(0.1310446, -0.003068204, -0.05450889, 0.989872), Confidence: 0.5

Timestamp: 11/2/2024 6:23:25 PM, Millisecond: 72,current eyeGaze_left: Position (-0.01980077, 1.125211, 0.05616318), Orientation(0.1310446, -0.003068204, -0.05450889, 0.989872), Confidence: 0.5

Timestamp: 11/2/2024 6:23:25 PM, Millisecond: 88,current eyeGaze_left: Position (-0.01985036, 1.124265, 0.05649161), Orientation(0.1270941, -0.002931877, -0.05566071, 0.9903234), Confidence: 0.5

Timestamp: 11/2/2024 6:23:25 PM, Millisecond: 100,current eyeGaze_left: Position (-0.01985036, 1.124265, 0.05649161), Orientation(0.1270941, -0.002931877, -0.05566071, 0.9903234), Confidence: 0.5

Timestamp: 11/2/2024 6:23:25 PM, Millisecond: 115,current eyeGaze_left: Position (-0.01985036, 1.124265, 0.05649161), Orientation(0.1270941, -0.002931877, -0.05566071, 0.9903234), Confidence: 0.5

Timestamp: 11/2/2024 6:23:25 PM, Millisecond: 129,current eyeGaze_left: Position (-0.01996939, 1.123037, 0.05639646), Orientation(0.1233094, -0.00215477, -0.05611682, 0.9907781), Confidence: 0.5

Timestamp: 11/2/2024 6:23:25 PM, Millisecond: 143,current eyeGaze_left: Position (-0.01996939, 1.123037, 0.05639646), Orientation(0.1233094, -0.00215477, -0.05611682, 0.9907781), Confidence: 0.5

Timestamp: 11/2/2024 6:23:25 PM, Millisecond: 158,current eyeGaze_left: Position (-0.02013251, 1.121645, 0.05586201), Orientation(0.1217754, -0.0001597824, -0.05583359, 0.990986), Confidence: 0.5

Timestamp: 11/2/2024 6:23:25 PM, Millisecond: 171,current eyeGaze_left: Position (-0.02013251, 1.121645, 0.05586201), Orientation(0.1217754, -0.0001597824, -0.05583359, 0.990986), Confidence: 0.5

Timestamp: 11/2/2024 6:23:25 PM, Millisecond: 187,current eyeGaze_left: Position (-0.02013251, 1.121645, 0.05586201), Orientation(0.1217754, -0.0001597824, -0.05583359, 0.990986), Confidence: 0.5

Timestamp: 11/2/2024 6:23:25 PM, Millisecond: 199,current eyeGaze_left: Position (-0.02029559, 1.120084, 0.05501104), Orientation(0.1216745, -0.0006039836, -0.0555044, 0.9910169), Confidence: 0.5

Timestamp: 11/2/2024 6:23:25 PM, Millisecond: 213,current eyeGaze_left: Position (-0.02029559, 1.120084, 0.05501104), Orientation(0.1216745, -0.0006039836, -0.0555044, 0.9910169), Confidence: 0.5

Timestamp: 11/2/2024 6:23:25 PM, Millisecond: 228,current eyeGaze_left: Position (-0.02031082, 1.11838, 0.05397728), Orientation(0.126719, -0.0002088954, -0.05420384, 0.9904566), Confidence: 0.5

Timestamp: 11/2/2024 6:23:25 PM, Millisecond: 241,current eyeGaze_left: Position (-0.02031082, 1.11838, 0.05397728), Orientation(0.126719, -0.0002088954, -0.05420384, 0.9904566), Confidence: 0.5

Timestamp: 11/2/2024 6:23:25 PM, Millisecond: 256,current eyeGaze_left: Position (-0.02011863, 1.116795, 0.05285504), Orientation(0.1248503, -0.002034352, -0.05296598, 0.9907588), Confidence: 0.5

Timestamp: 11/2/2024 6:23:25 PM, Millisecond: 269,current eyeGaze_left: Position (-0.02011863, 1.116795, 0.05285504), Orientation(0.1248503, -0.002034352, -0.05296598, 0.9907588), Confidence: 0.5

Timestamp: 11/2/2024 6:23:25 PM, Millisecond: 283,current eyeGaze_left: Position (-0.02011863, 1.116795, 0.05285504), Orientation(0.1248503, -0.002034352, -0.05296598, 0.9907588), Confidence: 0.5

Timestamp: 11/2/2024 6:23:25 PM, Millisecond: 298,current eyeGaze_left: Position (-0.01986834, 1.115387, 0.0516824), Orientation(0.116337, -0.006261464, -0.05248738, 0.9918023), Confidence: 0.5

