Timestamp: 11/24/2024 5:33:20 PM, Millisecond: 458,current eyeGaze_left: Position (0.005380243, 1.066597, 0.08196969), Orientation(0.0653607, -0.00516316, -0.02884024, 0.9974315), Confidence: 0.5

Timestamp: 11/24/2024 5:33:20 PM, Millisecond: 471,current eyeGaze_left: Position (0.005358092, 1.066437, 0.08197006), Orientation(0.06449943, -0.006141907, -0.02885066, 0.9974818), Confidence: 0.5

Timestamp: 11/24/2024 5:33:20 PM, Millisecond: 485,current eyeGaze_left: Position (0.005358092, 1.066437, 0.08197006), Orientation(0.06449943, -0.006141907, -0.02885066, 0.9974818), Confidence: 0.5

Timestamp: 11/24/2024 5:33:20 PM, Millisecond: 499,current eyeGaze_left: Position (0.005291216, 1.066412, 0.08197168), Orientation(0.06449213, -0.006106602, -0.02874746, 0.9974853), Confidence: 0.5

Timestamp: 11/24/2024 5:33:20 PM, Millisecond: 513,current eyeGaze_left: Position (0.005291216, 1.066412, 0.08197168), Orientation(0.06449213, -0.006106602, -0.02874746, 0.9974853), Confidence: 0.5

Timestamp: 11/24/2024 5:33:20 PM, Millisecond: 527,current eyeGaze_left: Position (0.005240075, 1.066382, 0.08197819), Orientation(0.06446268, -0.006302985, -0.02866834, 0.9974883), Confidence: 0.5

Timestamp: 11/24/2024 5:33:20 PM, Millisecond: 540,current eyeGaze_left: Position (0.005240075, 1.066382, 0.08197819), Orientation(0.06446268, -0.006302985, -0.02866834, 0.9974883), Confidence: 0.5

Timestamp: 11/24/2024 5:33:20 PM, Millisecond: 555,current eyeGaze_left: Position (0.005240075, 1.066382, 0.08197819), Orientation(0.06446268, -0.006302985, -0.02866834, 0.9974883), Confidence: 0.5

Timestamp: 11/24/2024 5:33:20 PM, Millisecond: 569,current eyeGaze_left: Position (0.005267601, 1.066494, 0.08204161), Orientation(0.06421452, -0.007195137, -0.02883452, 0.9974936), Confidence: 0.5

Timestamp: 11/24/2024 5:33:20 PM, Millisecond: 582,current eyeGaze_left: Position (0.005267601, 1.066494, 0.08204161), Orientation(0.06421452, -0.007195137, -0.02883452, 0.9974936), Confidence: 0.5

Timestamp: 11/24/2024 5:33:20 PM, Millisecond: 597,current eyeGaze_left: Position (0.005256061, 1.066527, 0.08205298), Orientation(0.06428543, -0.007206388, -0.02881139, 0.9974896), Confidence: 0.5

Timestamp: 11/24/2024 5:33:20 PM, Millisecond: 610,current eyeGaze_left: Position (0.005256061, 1.066527, 0.08205298), Orientation(0.06428543, -0.007206388, -0.02881139, 0.9974896), Confidence: 0.5

Timestamp: 11/24/2024 5:33:20 PM, Millisecond: 624,current eyeGaze_left: Position (0.005256061, 1.066527, 0.08205298), Orientation(0.06428543, -0.007206388, -0.02881139, 0.9974896), Confidence: 0.5

Timestamp: 11/24/2024 5:33:20 PM, Millisecond: 638,current eyeGaze_left: Position (0.005242921, 1.066515, 0.08206753), Orientation(0.06406315, -0.005223089, -0.02847923, 0.9975258), Confidence: 0.5

Timestamp: 11/24/2024 5:33:20 PM, Millisecond: 652,current eyeGaze_left: Position (0.005242921, 1.066515, 0.08206753), Orientation(0.06406315, -0.005223089, -0.02847923, 0.9975258), Confidence: 0.5

Timestamp: 11/24/2024 5:33:20 PM, Millisecond: 666,current eyeGaze_left: Position (0.005157329, 1.066444, 0.08205076), Orientation(0.06410123, -0.004292135, -0.02844667, 0.9975288), Confidence: 0.5

Timestamp: 11/24/2024 5:33:20 PM, Millisecond: 680,current eyeGaze_left: Position (0.005157329, 1.066444, 0.08205076), Orientation(0.06410123, -0.004292135, -0.02844667, 0.9975288), Confidence: 0.5

Timestamp: 11/24/2024 5:33:20 PM, Millisecond: 694,current eyeGaze_left: Position (0.005136359, 1.066397, 0.08208096), Orientation(0.06303199, -0.004885584, -0.02855013, 0.997591), Confidence: 0.5

Timestamp: 11/24/2024 5:33:20 PM, Millisecond: 707,current eyeGaze_left: Position (0.005136359, 1.066397, 0.08208096), Orientation(0.06303199, -0.004885584, -0.02855013, 0.997591), Confidence: 0.5

Timestamp: 11/24/2024 5:33:20 PM, Millisecond: 722,current eyeGaze_left: Position (0.005136359, 1.066397, 0.08208096), Orientation(0.06303199, -0.004885584, -0.02855013, 0.997591), Confidence: 0.5

Timestamp: 11/24/2024 5:33:20 PM, Millisecond: 735,current eyeGaze_left: Position (0.005147513, 1.066376, 0.08211584), Orientation(0.06530999, -0.003805391, -0.02838409, 0.997454), Confidence: 0.5

Timestamp: 11/24/2024 5:33:20 PM, Millisecond: 749,current eyeGaze_left: Position (0.005147513, 1.066376, 0.08211584), Orientation(0.06530999, -0.003805391, -0.02838409, 0.997454), Confidence: 0.5

Timestamp: 11/24/2024 5:33:20 PM, Millisecond: 764,current eyeGaze_left: Position (0.005269356, 1.066348, 0.08224077), Orientation(0.06539824, -0.006209746, -0.02865165, 0.9974284), Confidence: 0.5

Timestamp: 11/24/2024 5:33:20 PM, Millisecond: 777,current eyeGaze_left: Position (0.005269356, 1.066348, 0.08224077), Orientation(0.06539824, -0.006209746, -0.02865165, 0.9974284), Confidence: 0.5

Timestamp: 11/24/2024 5:33:20 PM, Millisecond: 792,current eyeGaze_left: Position (0.005269356, 1.066348, 0.08224077), Orientation(0.06539824, -0.006209746, -0.02865165, 0.9974284), Confidence: 0.5

Timestamp: 11/24/2024 5:33:20 PM, Millisecond: 805,current eyeGaze_left: Position (0.005315866, 1.066378, 0.08228683), Orientation(0.06627471, -0.005998339, -0.02849784, 0.9973764), Confidence: 0.5

Timestamp: 11/24/2024 5:33:20 PM, Millisecond: 819,current eyeGaze_left: Position (0.005315866, 1.066378, 0.08228683), Orientation(0.06627471, -0.005998339, -0.02849784, 0.9973764), Confidence: 0.5

Timestamp: 11/24/2024 5:33:20 PM, Millisecond: 833,current eyeGaze_left: Position (0.005332977, 1.066426, 0.08231907), Orientation(0.06646991, -0.006433214, -0.02860832, 0.9973575), Confidence: 0.5

Timestamp: 11/24/2024 5:33:20 PM, Millisecond: 847,current eyeGaze_left: Position (0.005332977, 1.066426, 0.08231907), Orientation(0.06646991, -0.006433214, -0.02860832, 0.9973575), Confidence: 0.5

Timestamp: 11/24/2024 5:33:20 PM, Millisecond: 862,current eyeGaze_left: Position (0.005238153, 1.066511, 0.08230461), Orientation(0.06250779, -0.006669011, -0.02869628, 0.9976096), Confidence: 0.5

Timestamp: 11/24/2024 5:33:20 PM, Millisecond: 875,current eyeGaze_left: Position (0.005238153, 1.066511, 0.08230461), Orientation(0.06250779, -0.006669011, -0.02869628, 0.9976096), Confidence: 0.5

