Timestamp: 11/24/2024 8:34:52 PM, Millisecond: 65,current eyeGaze_left: Position (-0.08753797, 1.126562, 0.09664422), Orientation(0.1621792, 0.009542272, 0.01581979, 0.9865884), Confidence: 0.5

Timestamp: 11/24/2024 8:34:52 PM, Millisecond: 79,current eyeGaze_left: Position (-0.08753797, 1.126562, 0.09664422), Orientation(0.1621792, 0.009542272, 0.01581979, 0.9865884), Confidence: 0.5

Timestamp: 11/24/2024 8:34:52 PM, Millisecond: 93,current eyeGaze_left: Position (-0.08753797, 1.126562, 0.09664422), Orientation(0.1621792, 0.009542272, 0.01581979, 0.9865884), Confidence: 0.5

Timestamp: 11/24/2024 8:34:52 PM, Millisecond: 107,current eyeGaze_left: Position (-0.08763535, 1.126642, 0.09671776), Orientation(0.1634341, 0.008507831, 0.01576997, 0.9863914), Confidence: 0.5

Timestamp: 11/24/2024 8:34:52 PM, Millisecond: 121,current eyeGaze_left: Position (-0.08763535, 1.126642, 0.09671776), Orientation(0.1634341, 0.008507831, 0.01576997, 0.9863914), Confidence: 0.5

Timestamp: 11/24/2024 8:34:52 PM, Millisecond: 135,current eyeGaze_left: Position (-0.08769031, 1.126693, 0.09678208), Orientation(0.1635973, 0.008443149, 0.01574502, 0.9863654), Confidence: 0.5

Timestamp: 11/24/2024 8:34:52 PM, Millisecond: 147,current eyeGaze_left: Position (-0.08769031, 1.126693, 0.09678208), Orientation(0.1635973, 0.008443149, 0.01574502, 0.9863654), Confidence: 0.5

Timestamp: 11/24/2024 8:34:52 PM, Millisecond: 162,current eyeGaze_left: Position (-0.08769031, 1.126693, 0.09678208), Orientation(0.1635973, 0.008443149, 0.01574502, 0.9863654), Confidence: 0.5

Timestamp: 11/24/2024 8:34:52 PM, Millisecond: 175,current eyeGaze_left: Position (-0.08767371, 1.126727, 0.09681374), Orientation(0.1622692, -0.001950252, 0.01409515, 0.986644), Confidence: 0.5

Timestamp: 11/24/2024 8:34:52 PM, Millisecond: 189,current eyeGaze_left: Position (-0.08767371, 1.126727, 0.09681374), Orientation(0.1622692, -0.001950252, 0.01409515, 0.986644), Confidence: 0.5

Timestamp: 11/24/2024 8:34:52 PM, Millisecond: 203,current eyeGaze_left: Position (-0.08760841, 1.126689, 0.09680703), Orientation(0.1582748, -0.007138955, 0.01325877, 0.9872804), Confidence: 0.5

Timestamp: 11/24/2024 8:34:52 PM, Millisecond: 217,current eyeGaze_left: Position (-0.08760841, 1.126689, 0.09680703), Orientation(0.1582748, -0.007138955, 0.01325877, 0.9872804), Confidence: 0.5

Timestamp: 11/24/2024 8:34:52 PM, Millisecond: 231,current eyeGaze_left: Position (-0.0875466, 1.126647, 0.09680251), Orientation(0.1546432, -0.01615232, 0.01187665, 0.9877672), Confidence: 0.5

Timestamp: 11/24/2024 8:34:52 PM, Millisecond: 245,current eyeGaze_left: Position (-0.0875466, 1.126647, 0.09680251), Orientation(0.1546432, -0.01615232, 0.01187665, 0.9877672), Confidence: 0.5

Timestamp: 11/24/2024 8:34:52 PM, Millisecond: 259,current eyeGaze_left: Position (-0.0875466, 1.126647, 0.09680251), Orientation(0.1546432, -0.01615232, 0.01187665, 0.9877672), Confidence: 0.5

Timestamp: 11/24/2024 8:34:52 PM, Millisecond: 274,current eyeGaze_left: Position (-0.08747774, 1.126613, 0.09680314), Orientation(0.1538015, -0.01643532, 0.01192183, 0.9878932), Confidence: 0.5

Timestamp: 11/24/2024 8:34:52 PM, Millisecond: 286,current eyeGaze_left: Position (-0.08747774, 1.126613, 0.09680314), Orientation(0.1538015, -0.01643532, 0.01192183, 0.9878932), Confidence: 0.5

Timestamp: 11/24/2024 8:34:52 PM, Millisecond: 300,current eyeGaze_left: Position (-0.08739522, 1.126667, 0.09685466), Orientation(0.1544441, -0.01456095, 0.0120103, 0.9878213), Confidence: 0.5

Timestamp: 11/24/2024 8:34:52 PM, Millisecond: 314,current eyeGaze_left: Position (-0.08739522, 1.126667, 0.09685466), Orientation(0.1544441, -0.01456095, 0.0120103, 0.9878213), Confidence: 0.5

Timestamp: 11/24/2024 8:34:52 PM, Millisecond: 329,current eyeGaze_left: Position (-0.08739522, 1.126667, 0.09685466), Orientation(0.1544441, -0.01456095, 0.0120103, 0.9878213), Confidence: 0.5

Timestamp: 11/24/2024 8:34:52 PM, Millisecond: 342,current eyeGaze_left: Position (-0.08730581, 1.12672, 0.09688634), Orientation(0.1597912, -0.01368974, 0.01219936, 0.9869806), Confidence: 0.5

Timestamp: 11/24/2024 8:34:52 PM, Millisecond: 356,current eyeGaze_left: Position (-0.08730581, 1.12672, 0.09688634), Orientation(0.1597912, -0.01368974, 0.01219936, 0.9869806), Confidence: 0.5

Timestamp: 11/24/2024 8:34:52 PM, Millisecond: 370,current eyeGaze_left: Position (-0.08720186, 1.126774, 0.09689436), Orientation(0.1602421, -0.0138432, 0.01211524, 0.9869064), Confidence: 0.5

Timestamp: 11/24/2024 8:34:52 PM, Millisecond: 384,current eyeGaze_left: Position (-0.08720186, 1.126774, 0.09689436), Orientation(0.1602421, -0.0138432, 0.01211524, 0.9869064), Confidence: 0.5

