Timestamp: 10/18/2024 12:46:25 AM, Millisecond: 973,current eyeGaze_left: Position (-0.009546809, 1.084877, 0.1023819), Orientation(0.08508332, -0.005638974, -0.02403569, 0.9960679), Confidence: 0.5

Timestamp: 10/18/2024 12:46:25 AM, Millisecond: 986,current eyeGaze_left: Position (-0.00946768, 1.084845, 0.1024692), Orientation(0.08325545, -0.005512431, -0.02400764, 0.9962237), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 0,current eyeGaze_left: Position (-0.00946768, 1.084845, 0.1024692), Orientation(0.08325545, -0.005512431, -0.02400764, 0.9962237), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 14,current eyeGaze_left: Position (-0.009508576, 1.084782, 0.1025073), Orientation(0.0851239, -0.003236106, -0.02366301, 0.9960842), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 28,current eyeGaze_left: Position (-0.009508576, 1.084782, 0.1025073), Orientation(0.0851239, -0.003236106, -0.02366301, 0.9960842), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 42,current eyeGaze_left: Position (-0.009508576, 1.084782, 0.1025073), Orientation(0.0851239, -0.003236106, -0.02366301, 0.9960842), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 55,current eyeGaze_left: Position (-0.009534504, 1.08473, 0.1025375), Orientation(0.08320858, -0.003134016, -0.0236279, 0.9962471), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 70,current eyeGaze_left: Position (-0.009534504, 1.08473, 0.1025375), Orientation(0.08320858, -0.003134016, -0.0236279, 0.9962471), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 84,current eyeGaze_left: Position (-0.009606894, 1.084784, 0.1025536), Orientation(0.0811038, -0.003235865, -0.02368836, 0.9964188), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 97,current eyeGaze_left: Position (-0.009606894, 1.084784, 0.1025536), Orientation(0.0811038, -0.003235865, -0.02368836, 0.9964188), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 112,current eyeGaze_left: Position (-0.009598047, 1.084784, 0.1025709), Orientation(0.08102849, -0.006912113, -0.02404019, 0.9963979), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 125,current eyeGaze_left: Position (-0.009598047, 1.084784, 0.1025709), Orientation(0.08102849, -0.006912113, -0.02404019, 0.9963979), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 140,current eyeGaze_left: Position (-0.009598047, 1.084784, 0.1025709), Orientation(0.08102849, -0.006912113, -0.02404019, 0.9963979), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 153,current eyeGaze_left: Position (-0.009581767, 1.084812, 0.1025779), Orientation(0.08739033, -0.004479751, -0.02381665, 0.9958794), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 167,current eyeGaze_left: Position (-0.009581767, 1.084812, 0.1025779), Orientation(0.08739033, -0.004479751, -0.02381665, 0.9958794), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 181,current eyeGaze_left: Position (-0.009464134, 1.084879, 0.1026617), Orientation(0.08745685, -0.006005139, -0.0239822, 0.9958615), Confidence: 0.5

