Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 409,current eyeGaze_left: Position (-0.00164846, 1.07443, 0.1158729), Orientation(0.04365518, -0.01521415, -0.03212474, 0.9984142), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 422,current eyeGaze_left: Position (-0.00164846, 1.07443, 0.1158729), Orientation(0.04365518, -0.01521415, -0.03212474, 0.9984142), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 436,current eyeGaze_left: Position (-0.00164846, 1.07443, 0.1158729), Orientation(0.04365518, -0.01521415, -0.03212474, 0.9984142), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 450,current eyeGaze_left: Position (-0.001722444, 1.07443, 0.1158831), Orientation(0.04358869, -0.0147682, -0.0322414, 0.9984199), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 464,current eyeGaze_left: Position (-0.001722444, 1.07443, 0.1158831), Orientation(0.04358869, -0.0147682, -0.0322414, 0.9984199), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 477,current eyeGaze_left: Position (-0.001757957, 1.07446, 0.1158848), Orientation(0.04101503, -0.01513041, -0.0322406, 0.9985237), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 491,current eyeGaze_left: Position (-0.001757957, 1.07446, 0.1158848), Orientation(0.04101503, -0.01513041, -0.0322406, 0.9985237), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 506,current eyeGaze_left: Position (-0.001773052, 1.074534, 0.1158965), Orientation(0.04105346, -0.01530638, -0.03204413, 0.9985257), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 519,current eyeGaze_left: Position (-0.001773052, 1.074534, 0.1158965), Orientation(0.04105346, -0.01530638, -0.03204413, 0.9985257), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 533,current eyeGaze_left: Position (-0.001773052, 1.074534, 0.1158965), Orientation(0.04105346, -0.01530638, -0.03204413, 0.9985257), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 547,current eyeGaze_left: Position (-0.001796219, 1.074555, 0.1158882), Orientation(0.04110054, -0.01536901, -0.0320271, 0.9985234), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 561,current eyeGaze_left: Position (-0.001796219, 1.074555, 0.1158882), Orientation(0.04110054, -0.01536901, -0.0320271, 0.9985234), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 575,current eyeGaze_left: Position (-0.001803827, 1.074509, 0.1159013), Orientation(0.04218576, -0.01518922, -0.03198281, 0.9984822), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 589,current eyeGaze_left: Position (-0.001803827, 1.074509, 0.1159013), Orientation(0.04218576, -0.01518922, -0.03198281, 0.9984822), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 603,current eyeGaze_left: Position (-0.001803827, 1.074509, 0.1159013), Orientation(0.04218576, -0.01518922, -0.03198281, 0.9984822), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 616,current eyeGaze_left: Position (-0.001752649, 1.074364, 0.1159399), Orientation(0.04173624, -0.0150524, -0.03198969, 0.998503), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 630,current eyeGaze_left: Position (-0.001752649, 1.074364, 0.1159399), Orientation(0.04173624, -0.0150524, -0.03198969, 0.998503), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 645,current eyeGaze_left: Position (-0.001722846, 1.074352, 0.1159418), Orientation(0.04211266, -0.01571096, -0.03207327, 0.9984744), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 658,current eyeGaze_left: Position (-0.001722846, 1.074352, 0.1159418), Orientation(0.04211266, -0.01571096, -0.03207327, 0.9984744), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 673,current eyeGaze_left: Position (-0.001722846, 1.074352, 0.1159418), Orientation(0.04211266, -0.01571096, -0.03207327, 0.9984744), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 686,current eyeGaze_left: Position (-0.00167172, 1.074384, 0.1159619), Orientation(0.04187371, -0.01601436, -0.03225266, 0.9984739), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 701,current eyeGaze_left: Position (-0.00167172, 1.074384, 0.1159619), Orientation(0.04187371, -0.01601436, -0.03225266, 0.9984739), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 714,current eyeGaze_left: Position (-0.001635242, 1.074483, 0.1160647), Orientation(0.04233134, -0.01657624, -0.03232146, 0.9984431), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 728,current eyeGaze_left: Position (-0.001635242, 1.074483, 0.1160647), Orientation(0.04233134, -0.01657624, -0.03232146, 0.9984431), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 743,current eyeGaze_left: Position (-0.001561172, 1.074536, 0.116078), Orientation(0.04154247, -0.01627397, -0.03236825, 0.9984797), Confidence: 0.5

Timestamp: 10/18/2024 12:50:23 AM, Millisecond: 756,current eyeGaze_left: Position (-0.001561172, 1.074536, 0.116078), Orientation(0.04154247, -0.01627397, -0.03236825, 0.9984797), Confidence: 0.5

