Timestamp: 11/24/2024 4:48:53 PM, Millisecond: 706,current eyeGaze_left: Position (0.07385498, 1.020515, 0.2690538), Orientation(0.08771168, 0.01844271, 0.01051928, 0.9959196), Confidence: 0.5

Timestamp: 11/24/2024 4:48:53 PM, Millisecond: 720,current eyeGaze_left: Position (0.07378697, 1.020311, 0.269064), Orientation(0.08718184, 0.01746385, 0.01088993, 0.9959799), Confidence: 0.5

Timestamp: 11/24/2024 4:48:53 PM, Millisecond: 735,current eyeGaze_left: Position (0.07378697, 1.020311, 0.269064), Orientation(0.08718184, 0.01746385, 0.01088993, 0.9959799), Confidence: 0.5

Timestamp: 11/24/2024 4:48:53 PM, Millisecond: 749,current eyeGaze_left: Position (0.07368879, 1.02018, 0.2690526), Orientation(0.09025797, 0.0179096, 0.01110674, 0.9956954), Confidence: 0.5

Timestamp: 11/24/2024 4:48:53 PM, Millisecond: 763,current eyeGaze_left: Position (0.07368879, 1.02018, 0.2690526), Orientation(0.09025797, 0.0179096, 0.01110674, 0.9956954), Confidence: 0.5

Timestamp: 11/24/2024 4:48:53 PM, Millisecond: 777,current eyeGaze_left: Position (0.07368879, 1.02018, 0.2690526), Orientation(0.09025797, 0.0179096, 0.01110674, 0.9956954), Confidence: 0.5

Timestamp: 11/24/2024 4:48:53 PM, Millisecond: 790,current eyeGaze_left: Position (0.07358399, 1.020077, 0.2689891), Orientation(0.08490885, 0.01792004, 0.01153969, 0.9961606), Confidence: 0.5

Timestamp: 11/24/2024 4:48:53 PM, Millisecond: 805,current eyeGaze_left: Position (0.07358399, 1.020077, 0.2689891), Orientation(0.08490885, 0.01792004, 0.01153969, 0.9961606), Confidence: 0.5

Timestamp: 11/24/2024 4:48:53 PM, Millisecond: 818,current eyeGaze_left: Position (0.07347065, 1.020018, 0.2688753), Orientation(0.0901652, 0.0182747, 0.01169868, 0.9956903), Confidence: 0.5

Timestamp: 11/24/2024 4:48:53 PM, Millisecond: 833,current eyeGaze_left: Position (0.07347065, 1.020018, 0.2688753), Orientation(0.0901652, 0.0182747, 0.01169868, 0.9956903), Confidence: 0.5

Timestamp: 11/24/2024 4:48:53 PM, Millisecond: 847,current eyeGaze_left: Position (0.07347065, 1.020018, 0.2688753), Orientation(0.0901652, 0.0182747, 0.01169868, 0.9956903), Confidence: 0.5

Timestamp: 11/24/2024 4:48:53 PM, Millisecond: 860,current eyeGaze_left: Position (0.07333358, 1.019879, 0.2687764), Orientation(0.08950492, 0.01820258, 0.01226429, 0.9957445), Confidence: 0.5

Timestamp: 11/24/2024 4:48:53 PM, Millisecond: 874,current eyeGaze_left: Position (0.07333358, 1.019879, 0.2687764), Orientation(0.08950492, 0.01820258, 0.01226429, 0.9957445), Confidence: 0.5

Timestamp: 11/24/2024 4:48:53 PM, Millisecond: 888,current eyeGaze_left: Position (0.07318566, 1.019718, 0.2686839), Orientation(0.09150201, 0.0171734, 0.01248693, 0.9955783), Confidence: 0.5

Timestamp: 11/24/2024 4:48:53 PM, Millisecond: 902,current eyeGaze_left: Position (0.07318566, 1.019718, 0.2686839), Orientation(0.09150201, 0.0171734, 0.01248693, 0.9955783), Confidence: 0.5

Timestamp: 11/24/2024 4:48:53 PM, Millisecond: 916,current eyeGaze_left: Position (0.07318566, 1.019718, 0.2686839), Orientation(0.09150201, 0.0171734, 0.01248693, 0.9955783), Confidence: 0.5

Timestamp: 11/24/2024 4:48:53 PM, Millisecond: 930,current eyeGaze_left: Position (0.07305616, 1.019637, 0.2685788), Orientation(0.09185404, 0.01851043, 0.01286296, 0.9955173), Confidence: 0.5

Timestamp: 11/24/2024 4:48:53 PM, Millisecond: 945,current eyeGaze_left: Position (0.07305616, 1.019637, 0.2685788), Orientation(0.09185404, 0.01851043, 0.01286296, 0.9955173), Confidence: 0.5

Timestamp: 11/24/2024 4:48:53 PM, Millisecond: 958,current eyeGaze_left: Position (0.07299113, 1.019739, 0.2684664), Orientation(0.09335292, 0.01528127, 0.01256351, 0.9954367), Confidence: 0.5

Timestamp: 11/24/2024 4:48:53 PM, Millisecond: 972,current eyeGaze_left: Position (0.07299113, 1.019739, 0.2684664), Orientation(0.09335292, 0.01528127, 0.01256351, 0.9954367), Confidence: 0.5

Timestamp: 11/24/2024 4:48:53 PM, Millisecond: 986,current eyeGaze_left: Position (0.07302612, 1.019839, 0.2683913), Orientation(0.09742901, 0.01669928, 0.01262357, 0.9950223), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 0,current eyeGaze_left: Position (0.07302612, 1.019839, 0.2683913), Orientation(0.09742901, 0.01669928, 0.01262357, 0.9950223), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 14,current eyeGaze_left: Position (0.07302612, 1.019839, 0.2683913), Orientation(0.09742901, 0.01669928, 0.01262357, 0.9950223), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 28,current eyeGaze_left: Position (0.07314266, 1.019893, 0.2683669), Orientation(0.09763881, 0.0162506, 0.01271956, 0.9950079), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 41,current eyeGaze_left: Position (0.07314266, 1.019893, 0.2683669), Orientation(0.09763881, 0.0162506, 0.01271956, 0.9950079), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 55,current eyeGaze_left: Position (0.07329536, 1.01995, 0.268381), Orientation(0.09400138, 0.01582533, 0.01265291, 0.9953659), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 69,current eyeGaze_left: Position (0.07329536, 1.01995, 0.268381), Orientation(0.09400138, 0.01582533, 0.01265291, 0.9953659), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 84,current eyeGaze_left: Position (0.07342999, 1.019949, 0.2684244), Orientation(0.0934809, 0.01533103, 0.01250418, 0.9954245), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 97,current eyeGaze_left: Position (0.07342999, 1.019949, 0.2684244), Orientation(0.0934809, 0.01533103, 0.01250418, 0.9954245), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 112,current eyeGaze_left: Position (0.07342999, 1.019949, 0.2684244), Orientation(0.0934809, 0.01533103, 0.01250418, 0.9954245), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 125,current eyeGaze_left: Position (0.07349226, 1.019845, 0.2684962), Orientation(0.09314612, 0.01544794, 0.01235248, 0.995456), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 138,current eyeGaze_left: Position (0.07349226, 1.019845, 0.2684962), Orientation(0.09314612, 0.01544794, 0.01235248, 0.995456), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 153,current eyeGaze_left: Position (0.07346775, 1.019608, 0.2685949), Orientation(0.09305286, 0.01726118, 0.01296685, 0.9954271), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 167,current eyeGaze_left: Position (0.07346775, 1.019608, 0.2685949), Orientation(0.09305286, 0.01726118, 0.01296685, 0.9954271), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 181,current eyeGaze_left: Position (0.07346775, 1.019608, 0.2685949), Orientation(0.09305286, 0.01726118, 0.01296685, 0.9954271), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 195,current eyeGaze_left: Position (0.07342485, 1.0193, 0.2687809), Orientation(0.09255486, 0.01854725, 0.01394024, 0.9954372), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 208,current eyeGaze_left: Position (0.07342485, 1.0193, 0.2687809), Orientation(0.09255486, 0.01854725, 0.01394024, 0.9954372), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 223,current eyeGaze_left: Position (0.07335956, 1.019056, 0.2689397), Orientation(0.09417132, 0.01922167, 0.01446985, 0.9952652), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 235,current eyeGaze_left: Position (0.07335956, 1.019056, 0.2689397), Orientation(0.09417132, 0.01922167, 0.01446985, 0.9952652), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 250,current eyeGaze_left: Position (0.07335956, 1.019056, 0.2689397), Orientation(0.09417132, 0.01922167, 0.01446985, 0.9952652), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 264,current eyeGaze_left: Position (0.07327881, 1.019022, 0.2688983), Orientation(0.09434128, 0.01693224, 0.01426758, 0.9952938), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 278,current eyeGaze_left: Position (0.07327881, 1.019022, 0.2688983), Orientation(0.09434128, 0.01693224, 0.01426758, 0.9952938), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 292,current eyeGaze_left: Position (0.07325588, 1.019027, 0.268771), Orientation(0.09570976, 0.01575856, 0.01400681, 0.995186), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 305,current eyeGaze_left: Position (0.07325588, 1.019027, 0.268771), Orientation(0.09570976, 0.01575856, 0.01400681, 0.995186), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 320,current eyeGaze_left: Position (0.07325756, 1.018925, 0.268633), Orientation(0.09517179, 0.01544946, 0.01423278, 0.9952391), Confidence: 0.5

