Timestamp: 11/2/2024 4:28:14 PM, Millisecond: 985,current eyeGaze_left: Position (0.02149539, 1.121422, 0.2180868), Orientation(0.167481, 0.008266165, -0.04395388, 0.9848604), Confidence: 0.5

Timestamp: 11/2/2024 4:28:14 PM, Millisecond: 999,current eyeGaze_left: Position (0.02149539, 1.121422, 0.2180868), Orientation(0.167481, 0.008266165, -0.04395388, 0.9848604), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 13,current eyeGaze_left: Position (0.02149539, 1.121422, 0.2180868), Orientation(0.167481, 0.008266165, -0.04395388, 0.9848604), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 27,current eyeGaze_left: Position (0.02162869, 1.121358, 0.2178105), Orientation(0.1671913, 0.006859133, -0.04431247, 0.9849045), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 40,current eyeGaze_left: Position (0.02162869, 1.121358, 0.2178105), Orientation(0.1671913, 0.006859133, -0.04431247, 0.9849045), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 55,current eyeGaze_left: Position (0.02186641, 1.121169, 0.2173746), Orientation(0.1664709, 0.005744136, -0.04437236, 0.9850308), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 68,current eyeGaze_left: Position (0.02186641, 1.121169, 0.2173746), Orientation(0.1664709, 0.005744136, -0.04437236, 0.9850308), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 82,current eyeGaze_left: Position (0.02202329, 1.121062, 0.21673), Orientation(0.1658572, 0.008054413, -0.04353096, 0.9851557), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 97,current eyeGaze_left: Position (0.02202329, 1.121062, 0.21673), Orientation(0.1658572, 0.008054413, -0.04353096, 0.9851557), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 111,current eyeGaze_left: Position (0.02202329, 1.121062, 0.21673), Orientation(0.1658572, 0.008054413, -0.04353096, 0.9851557), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 125,current eyeGaze_left: Position (0.02230806, 1.120939, 0.2160631), Orientation(0.1660602, 0.00660348, -0.04280942, 0.9851638), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 138,current eyeGaze_left: Position (0.02230806, 1.120939, 0.2160631), Orientation(0.1660602, 0.00660348, -0.04280942, 0.9851638), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 153,current eyeGaze_left: Position (0.02245181, 1.120832, 0.2154188), Orientation(0.1649632, 0.005819725, -0.04210711, 0.9853833), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 166,current eyeGaze_left: Position (0.02245181, 1.120832, 0.2154188), Orientation(0.1649632, 0.005819725, -0.04210711, 0.9853833), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 181,current eyeGaze_left: Position (0.02245181, 1.120832, 0.2154188), Orientation(0.1649632, 0.005819725, -0.04210711, 0.9853833), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 194,current eyeGaze_left: Position (0.0224314, 1.120717, 0.214865), Orientation(0.164634, 0.006619989, -0.04159028, 0.9854554), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 209,current eyeGaze_left: Position (0.0224314, 1.120717, 0.214865), Orientation(0.164634, 0.006619989, -0.04159028, 0.9854554), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 222,current eyeGaze_left: Position (0.02235397, 1.120722, 0.2143993), Orientation(0.1662023, 0.006751779, -0.04115157, 0.9852096), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 235,current eyeGaze_left: Position (0.02235397, 1.120722, 0.2143993), Orientation(0.1662023, 0.006751779, -0.04115157, 0.9852096), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 250,current eyeGaze_left: Position (0.02224473, 1.120831, 0.2139708), Orientation(0.1668896, 0.006121132, -0.04089252, 0.9851083), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 264,current eyeGaze_left: Position (0.02224473, 1.120831, 0.2139708), Orientation(0.1668896, 0.006121132, -0.04089252, 0.9851083), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 278,current eyeGaze_left: Position (0.02224473, 1.120831, 0.2139708), Orientation(0.1668896, 0.006121132, -0.04089252, 0.9851083), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 292,current eyeGaze_left: Position (0.02204616, 1.120984, 0.2135893), Orientation(0.1661753, 0.00570017, -0.04048879, 0.9852482), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 306,current eyeGaze_left: Position (0.02204616, 1.120984, 0.2135893), Orientation(0.1661753, 0.00570017, -0.04048879, 0.9852482), Confidence: 0.5

