Timestamp: 2/4/2025 2:46:54 PM, Millisecond: 579,current eyeGaze_left: Position (0.03246574, 0.6450862, 0.04431724), Orientation(0.1203517, -0.0785628, -0.07184919, 0.9870062), Confidence: 0.9980469

Timestamp: 2/4/2025 2:46:54 PM, Millisecond: 592,current eyeGaze_left: Position (0.03154499, 0.6444705, 0.04408438), Orientation(0.1200495, -0.07779021, -0.07055134, 0.9871978), Confidence: 0.9980469

Timestamp: 2/4/2025 2:46:54 PM, Millisecond: 606,current eyeGaze_left: Position (0.03154499, 0.6444705, 0.04408438), Orientation(0.1200495, -0.07779021, -0.07055134, 0.9871978), Confidence: 0.9980469

Timestamp: 2/4/2025 2:46:54 PM, Millisecond: 621,current eyeGaze_left: Position (0.03074466, 0.6443706, 0.04406629), Orientation(0.1215399, -0.07937951, -0.0683727, 0.9870421), Confidence: 0.9980469

Timestamp: 2/4/2025 2:46:54 PM, Millisecond: 634,current eyeGaze_left: Position (0.03074466, 0.6443706, 0.04406629), Orientation(0.1215399, -0.07937951, -0.0683727, 0.9870421), Confidence: 0.9980469

Timestamp: 2/4/2025 2:46:54 PM, Millisecond: 648,current eyeGaze_left: Position (0.03074466, 0.6443706, 0.04406629), Orientation(0.1215399, -0.07937951, -0.0683727, 0.9870421), Confidence: 0.9980469

Timestamp: 2/4/2025 2:46:54 PM, Millisecond: 662,current eyeGaze_left: Position (0.02997439, 0.6447514, 0.04402097), Orientation(0.1233717, -0.07852416, -0.06578888, 0.9870589), Confidence: 0.9980469

Timestamp: 2/4/2025 2:46:54 PM, Millisecond: 677,current eyeGaze_left: Position (0.02997439, 0.6447514, 0.04402097), Orientation(0.1233717, -0.07852416, -0.06578888, 0.9870589), Confidence: 0.9980469

Timestamp: 2/4/2025 2:46:54 PM, Millisecond: 690,current eyeGaze_left: Position (0.0293425, 0.6453159, 0.0439866), Orientation(0.1267025, -0.07800317, -0.06431499, 0.9867754), Confidence: 0.9980469

Timestamp: 2/4/2025 2:46:54 PM, Millisecond: 703,current eyeGaze_left: Position (0.0293425, 0.6453159, 0.0439866), Orientation(0.1267025, -0.07800317, -0.06431499, 0.9867754), Confidence: 0.9980469

Timestamp: 2/4/2025 2:46:54 PM, Millisecond: 718,current eyeGaze_left: Position (0.02896024, 0.6456539, 0.04390673), Orientation(0.1266876, -0.07743413, -0.06403819, 0.9868402), Confidence: 0.9980469

Timestamp: 2/4/2025 2:46:54 PM, Millisecond: 732,current eyeGaze_left: Position (0.02896024, 0.6456539, 0.04390673), Orientation(0.1266876, -0.07743413, -0.06403819, 0.9868402), Confidence: 0.9980469

Timestamp: 2/4/2025 2:46:54 PM, Millisecond: 746,current eyeGaze_left: Position (0.02896024, 0.6456539, 0.04390673), Orientation(0.1266876, -0.07743413, -0.06403819, 0.9868402), Confidence: 0.9980469

Timestamp: 2/4/2025 2:46:54 PM, Millisecond: 760,current eyeGaze_left: Position (0.02859983, 0.6456497, 0.04395013), Orientation(0.1242744, -0.07672334, -0.06472956, 0.9871572), Confidence: 0.9980469

